X-coordinate,Electric Potential,,,,,,
-6.46,1.42E-05,,,,,,
-6.44,1.42E-05,,,,,,
-6.42,1.43E-05,,,,,,
-6.4,1.44E-05,,,,,,
-6.38,1.45E-05,,,,,,
-6.36,1.46E-05,,,,,,
-6.34,1.47E-05,,,,,,
-6.32,1.48E-05,,,,,,
-6.3,1.49E-05,,,,,,
-6.28,1.50E-05,,,,,,
-6.26,1.51E-05,,,,,,
-6.24,1.52E-05,,,,,,
-6.22,1.53E-05,,,,,,
-6.2,1.54E-05,,,,,,
-6.18,1.55E-05,,,,,,
-6.16,1.56E-05,,,,,,
-6.14,1.57E-05,,,,,,
-6.12,1.58E-05,,,,,,
-6.1,1.59E-05,,,,,,
-6.08,1.60E-05,,,,,,
-6.06,1.61E-05,,,,,,
-6.04,1.62E-05,,,,,,
-6.02,1.63E-05,,,,,,
-6,1.64E-05,,,,,,
-5.98,1.65E-05,,,,,,
-5.96,1.66E-05,,,,,,
-5.94,1.67E-05,,,,,,
-5.92,1.69E-05,,,,,,
-5.9,1.70E-05,,,,,,
-5.88,1.71E-05,,,,,,
-5.86,1.72E-05,,,,,,
-5.84,1.73E-05,,,,,,
-5.82,1.74E-05,,,,,,
-5.8,1.76E-05,,,,,,
-5.78,1.77E-05,,,,,,
-5.76,1.78E-05,,,,,,
-5.74,1.79E-05,,,,,,
-5.72,1.81E-05,,,,,,
-5.7,1.82E-05,,,,,,
-5.68,1.83E-05,,,,,,
-5.66,1.84E-05,,,,,,
-5.64,1.86E-05,,,,,,
-5.62,1.87E-05,,,,,,
-5.6,1.88E-05,,,,,,
-5.58,1.90E-05,,,,,,
-5.56,1.91E-05,,,,,,
-5.54,1.92E-05,,,,,,
-5.52,1.94E-05,,,,,,
-5.5,1.95E-05,,,,,,
-5.48,1.97E-05,,,,,,
-5.46,1.98E-05,,,,,,
-5.44,2.00E-05,,,,,,
-5.42,2.01E-05,,,,,,
-5.4,2.03E-05,,,,,,
-5.38,2.04E-05,,,,,,
-5.36,2.06E-05,,,,,,
-5.34,2.07E-05,,,,,,
-5.32,2.09E-05,,,,,,
-5.3,2.10E-05,,,,,,
-5.28,2.12E-05,,,,,,
-5.26,2.13E-05,,,,,,
