"Z-coordinate","Electric Potential"
"-0.001","0.001642924788464624"
"-9.83E-4","0.0016780730044270718"
"-9.66E-4","0.0017149996081106801"
"-9.49E-4","0.001753829276399723"
"-9.32E-4","0.0017946968251251678"
"-9.15E-4","0.0018377480710825194"
"-8.98E-4","0.0018831407576484528"
"-8.810000000000001E-4","0.0019310455444230229"
"-8.640000000000001E-4","0.001981647059503463"
"-8.470000000000001E-4","0.002035145010434029"
"-8.300000000000001E-4","0.002091755346561764"
"-8.130000000000001E-4","0.00215171146054587"
"-7.960000000000002E-4","0.0022152654103961993"
"-7.790000000000002E-4","0.0022826891346778766"
"-7.620000000000002E-4","0.0023542756213933373"
"-7.450000000000002E-4","0.002430339975313807"
"-7.280000000000002E-4","0.0025112203069510325"
"-7.110000000000003E-4","0.0025972783377249307"
"-6.940000000000003E-4","0.002688899577210626"
"-6.770000000000003E-4","0.002786492876913863"
"-6.600000000000003E-4","0.0028904890954423042"
"-6.430000000000003E-4","0.0030013385170680794"
"-6.260000000000004E-4","0.0031195065400308436"
"-6.090000000000004E-4","0.0032454669814563054"
"-5.920000000000004E-4","0.003379692116541015"
"-5.750000000000004E-4","0.0035226382577368876"
"-5.580000000000004E-4","0.00367472525459707"
"-5.410000000000005E-4","0.0038363077123190112"
"-5.240000000000005E-4","0.00400763492550984"
"-5.070000000000005E-4","0.004188795414449765"
"-4.900000000000005E-4","0.00437964040793197"
"-4.7300000000000055E-4","0.004579678455863297"
"-4.5600000000000057E-4","0.004787930308717116"
"-4.390000000000006E-4","0.0050027288745325554"
"-4.220000000000006E-4","0.005221442868970835"
"-4.0500000000000063E-4","0.005440093825186463"
"-3.8800000000000065E-4","0.005652823073495655"
"-3.7100000000000067E-4","0.005851146051647952"
"-3.540000000000007E-4","0.00602290258679717"
"-3.370000000000007E-4","0.0061507683900206035"
"-3.2000000000000073E-4","0.006210126476008614"
"-3.0300000000000075E-4","0.006165993630884977"
"-2.8600000000000077E-4","0.005968532934556284"
"-2.690000000000008E-4","0.005546418304539537"
"-2.520000000000008E-4","0.0047968798254019295"
"-2.350000000000008E-4","0.0035705202539858"
"-2.180000000000008E-4","0.0016477130421022506"
"-2.010000000000008E-4","-0.0012988923898742183"
"-1.8400000000000079E-4","-0.005765444166460153"
"-1.6700000000000078E-4","-0.01251927515199942"
"-1.5000000000000077E-4","-0.022776339737639716"
"-1.3300000000000077E-4","-0.038520613364057654"
"-1.1600000000000076E-4","-0.06310409181954006"
"-9.900000000000075E-5","-0.10242637611887187"
"-8.200000000000075E-5","-0.16735290029359215"
"-6.500000000000074E-5","-0.2787676189321595"
"-4.800000000000074E-5","-0.4774618310765421"
"-3.100000000000074E-5","-0.8363815369559809"
"-1.400000000000074E-5","-1.4335940023625193"
"2.9999999999992598E-6","-2.0223609853614435"
"1.999999999999926E-5","-1.8480083358254389"
"3.699999999999926E-5","-1.687242112763247"
"5.399999999999926E-5","-1.5892700451610782"
"7.099999999999926E-5","-1.5429581353947477"
"8.799999999999927E-5","-1.5040778783752469"
"1.0499999999999927E-4","-1.4619018477018815"
"1.2199999999999928E-4","-1.4307692540444568"
"1.3899999999999929E-4","-1.4153026123613368"
"1.559999999999993E-4","-1.4122991838044032"
"1.729999999999993E-4","-1.4135401731522772"
"1.899999999999993E-4","-1.4126255324269223"
