X-coordinate,Electric Potential,,,,,
-6.46,-2.31E-07,,,,,
-6.44,-2.33E-07,,,,,
-6.42,-2.34E-07,,,,,
-6.4,-2.35E-07,,,,,
-6.38,-2.37E-07,,,,,
-6.36,-2.38E-07,,,,,
-6.34,-2.40E-07,,,,,
-6.32,-2.41E-07,,,,,
-6.3,-2.43E-07,,,,,
-6.28,-2.44E-07,,,,,
-6.26,-2.46E-07,,,,,
-6.24,-2.48E-07,,,,,
-6.22,-2.49E-07,,,,,
-6.2,-2.51E-07,,,,,
-6.18,-2.52E-07,,,,,
-6.16,-2.54E-07,,,,,
-6.14,-2.56E-07,,,,,
-6.12,-2.57E-07,,,,,
-6.1,-2.59E-07,,,,,
-6.08,-2.61E-07,,,,,
-6.06,-2.63E-07,,,,,
-6.04,-2.64E-07,,,,,
-6.02,-2.66E-07,,,,,
-6,-2.68E-07,,,,,
-5.98,-2.70E-07,,,,,
-5.96,-2.71E-07,,,,,
-5.94,-2.73E-07,,,,,
-5.92,-2.75E-07,,,,,
-5.9,-2.77E-07,,,,,
-5.88,-2.79E-07,,,,,
-5.86,-2.81E-07,,,,,
-5.84,-2.83E-07,,,,,
-5.82,-2.85E-07,,,,,
-5.8,-2.86E-07,,,,,
-5.78,-2.88E-07,,,,,
-5.76,-2.90E-07,,,,,
-5.74,-2.93E-07,,,,,
-5.72,-2.95E-07,,,,,
-5.7,-2.97E-07,,,,,
-5.68,-2.99E-07,,,,,
-5.66,-3.01E-07,,,,,
-5.64,-3.03E-07,,,,,
-5.62,-3.05E-07,,,,,
-5.6,-3.07E-07,,,,,
-5.58,-3.09E-07,,,,,
-5.56,-3.12E-07,,,,,
-5.54,-3.14E-07,,,,,
-5.52,-3.16E-07,,,,,
-5.5,-3.19E-07,,,,,
-5.48,-3.21E-07,,,,,
-5.46,-3.23E-07,,,,,
-5.44,-3.26E-07,,,,,
-5.42,-3.28E-07,,,,,
-5.4,-3.30E-07,,,,,
-5.38,-3.33E-07,,,,,
-5.36,-3.35E-07,,,,,
-5.34,-3.38E-07,,,,,
-5.32,-3.40E-07,,,,,
-5.3,-3.43E-07,,,,,
-5.28,-3.46E-07,,,,,
-5.26,-3.48E-07,,,,,
-5.24,-3.51E-07,,,,,
-5.22,-3.53E-07,,,,,
-5.2,-3.56E-07,,,,,
-5.18,-3.59E-07,,,,,
-5.16,-3.62E-07,,,,,
-5.14,-3.65E-07,,,,,
-5.12,-3.67E-07,,,,,
-5.1,-3.70E-07,,,,,
-5.08,-3.73E-07,,,,,
-5.06,-3.76E-07,,,,,
-5.04,-3.79E-07,,,,,
-5.02,-3.82E-07,,,,,
-5,-3.85E-07,,,,,
-4.98,-3.88E-07,,,,,
-4.96,-3.91E-07,,,,,
-4.94,-3.95E-07,,,,,
-4.92,-3.98E-07,,,,,
-4.9,-4.01E-07,,,,,
-4.88,-4.04E-07,,,,,
-4.86,-4.08E-07,,,,,
-4.84,-4.11E-07,,,,,
-4.82,-4.14E-07,,,,,
-4.8,-4.18E-07,,,,,
-4.78,-4.21E-07,,,,,
-4.76,-4.25E-07,,,,,
-4.74,-4.28E-07,,,,,
-4.72,-4.32E-07,,,,,
-4.7,-4.36E-07,,,,,
-4.68,-4.39E-07,,,,,
-4.66,-4.43E-07,,,,,
-4.64,-4.47E-07,,,,,
-4.62,-4.51E-07,,,,,
-4.6,-4.55E-07,,,,,
-4.58,-4.59E-07,,,,,
-4.56,-4.63E-07,,,,,
-4.54,-4.67E-07,,,,,
-4.52,-4.71E-07,,,,,
-4.5,-4.75E-07,,,,,
-4.48,-4.79E-07,,,,,
-4.46,-4.84E-07,,,,,
-4.44,-4.88E-07,,,,,
-4.42,-4.93E-07,,,,,
-4.4,-4.97E-07,,,,,
-4.38,-5.02E-07,,,,,
-4.36,-5.06E-07,,,,,
-4.34,-5.11E-07,,,,,
-4.32,-5.15E-07,,,,,
-4.3,-5.20E-07,,,,,
-4.28,-5.25E-07,,,,,
-4.26,-5.30E-07,,,,,
-4.24,-5.35E-07,,,,,
-4.22,-5.40E-07,,,,,
-4.2,-5.45E-07,,,,,
-4.18,-5.50E-07,,,,,
-4.16,-5.56E-07,,,,,
-4.14,-5.61E-07,,,,,
-4.12,-5.67E-07,,,,,
-4.1,-5.72E-07,,,,,
-4.08,-5.78E-07,,,,,
-4.06,-5.83E-07,,,,,
-4.04,-5.89E-07,,,,,
-4.02,-5.95E-07,,,,,
-4,-6.01E-07,,,,,
-3.98,-6.07E-07,,,,,
-3.96,-6.13E-07,,,,,
-3.94,-6.19E-07,,,,,
-3.92,-6.26E-07,,,,,
-3.9,-6.32E-07,,,,,
-3.88,-6.39E-07,,,,,
-3.86,-6.45E-07,,,,,
-3.84,-6.52E-07,,,,,
-3.82,-6.59E-07,,,,,
-3.8,-6.66E-07,,,,,
-3.78,-6.73E-07,,,,,
-3.76,-6.80E-07,,,,,
-3.74,-6.87E-07,,,,,
-3.72,-6.94E-07,,,,,
-3.7,-7.02E-07,,,,,
-3.68,-7.10E-07,,,,,
-3.66,-7.17E-07,,,,,
-3.64,-7.25E-07,,,,,
-3.62,-7.33E-07,,,,,
-3.6,-7.41E-07,,,,,
-3.58,-7.50E-07,,,,,
-3.56,-7.58E-07,,,,,
-3.54,-7.66E-07,,,,,
-3.52,-7.75E-07,,,,,
-3.5,-7.84E-07,,,,,
-3.48,-7.93E-07,,,,,
-3.46,-8.02E-07,,,,,
-3.44,-8.11E-07,,,,,
-3.42,-8.21E-07,,,,,
-3.4,-8.31E-07,,,,,
-3.38,-8.40E-07,,,,,
-3.36,-8.50E-07,,,,,
-3.34,-8.61E-07,,,,,
-3.32,-8.71E-07,,,,,
-3.3,-8.81E-07,,,,,
-3.28,-8.92E-07,,,,,
-3.26,-9.03E-07,,,,,
-3.24,-9.14E-07,,,,,
-3.22,-9.26E-07,,,,,
-3.2,-9.37E-07,,,,,
-3.18,-9.49E-07,,,,,
-3.16,-9.61E-07,,,,,
-3.14,-9.73E-07,,,,,
-3.12,-9.86E-07,,,,,
-3.1,-9.98E-07,,,,,
-3.08,-1.01E-06,,,,,
-3.06,-1.02E-06,,,,,
-3.04,-1.04E-06,,,,,
-3.02,-1.05E-06,,,,,
-3,-1.07E-06,,,,,
-2.98,-1.08E-06,,,,,
-2.96,-1.09E-06,,,,,
-2.94,-1.11E-06,,,,,
-2.92,-1.12E-06,,,,,
-2.9,-1.14E-06,,,,,
-2.88,-1.16E-06,,,,,
-2.86,-1.17E-06,,,,,
-2.84,-1.19E-06,,,,,
-2.82,-1.21E-06,,,,,
-2.8,-1.22E-06,,,,,
-2.78,-1.24E-06,,,,,
-2.76,-1.26E-06,,,,,
-2.74,-1.28E-06,,,,,
-2.72,-1.29E-06,,,,,
-2.7,-1.31E-06,,,,,
-2.68,-1.33E-06,,,,,
-2.66,-1.35E-06,,,,,
-2.64,-1.37E-06,,,,,
-2.62,-1.39E-06,,,,,
-2.6,-1.42E-06,,,,,
-2.58,-1.44E-06,,,,,
-2.56,-1.46E-06,,,,,
-2.54,-1.48E-06,,,,,
-2.52,-1.51E-06,,,,,
-2.5,-1.53E-06,,,,,
-2.48,-1.56E-06,,,,,
-2.46,-1.58E-06,,,,,
-2.44,-1.61E-06,,,,,
-2.42,-1.63E-06,,,,,
-2.4,-1.66E-06,,,,,
-2.38,-1.69E-06,,,,,
-2.36,-1.72E-06,,,,,
-2.34,-1.75E-06,,,,,
-2.32,-1.78E-06,,,,,
-2.3,-1.81E-06,,,,,
-2.28,-1.84E-06,,,,,
-2.26,-1.87E-06,,,,,
-2.24,-1.90E-06,,,,,
-2.22,-1.94E-06,,,,,
-2.2,-1.97E-06,,,,,
-2.18,-2.01E-06,,,,,
-2.16,-2.05E-06,,,,,
-2.14,-2.09E-06,,,,,
-2.12,-2.12E-06,,,,,
-2.1,-2.17E-06,,,,,
-2.08,-2.21E-06,,,,,
-2.06,-2.25E-06,,,,,
-2.04,-2.29E-06,,,,,
-2.02,-2.34E-06,,,,,
-2,-2.39E-06,,,,,
-1.98,-2.43E-06,,,,,
-1.96,-2.48E-06,,,,,
-1.94,-2.53E-06,,,,,
-1.92,-2.59E-06,,,,,
-1.9,-2.64E-06,,,,,
-1.88,-2.70E-06,,,,,
-1.86,-2.75E-06,,,,,
-1.84,-2.81E-06,,,,,
-1.82,-2.88E-06,,,,,
-1.8,-2.94E-06,,,,,
-1.78,-3.01E-06,,,,,
-1.76,-3.07E-06,,,,,
-1.74,-3.14E-06,,,,,
-1.72,-3.22E-06,,,,,
-1.7,-3.29E-06,,,,,
-1.68,-3.37E-06,,,,,
-1.66,-3.45E-06,,,,,
-1.64,-3.54E-06,,,,,
-1.62,-3.62E-06,,,,,
-1.6,-3.71E-06,,,,,
