Y-coordinate,Electric Potential,,,,,
-0.648,-7.53E-07,,,,,
-0.646,-7.57E-07,,,,,
-0.644,-7.62E-07,,,,,
-0.642,-7.67E-07,,,,,
-0.64,-7.71E-07,,,,,
-0.638,-7.76E-07,,,,,
-0.636,-7.81E-07,,,,,
-0.634,-7.86E-07,,,,,
-0.632,-7.91E-07,,,,,
-0.63,-7.96E-07,,,,,
-0.628,-8.01E-07,,,,,
-0.626,-8.06E-07,,,,,
-0.624,-8.11E-07,,,,,
-0.622,-8.16E-07,,,,,
-0.62,-8.21E-07,,,,,
-0.618,-8.27E-07,,,,,
-0.616,-8.32E-07,,,,,
-0.614,-8.37E-07,,,,,
-0.612,-8.43E-07,,,,,
-0.61,-8.48E-07,,,,,
-0.608,-8.54E-07,,,,,
-0.606,-8.59E-07,,,,,
-0.604,-8.65E-07,,,,,
-0.602,-8.70E-07,,,,,
-0.6,-8.76E-07,,,,,
-0.598,-8.82E-07,,,,,
-0.596,-8.88E-07,,,,,
-0.594,-8.94E-07,,,,,
-0.592,-9.00E-07,,,,,
-0.59,-9.06E-07,,,,,
-0.588,-9.12E-07,,,,,
-0.586,-9.18E-07,,,,,
-0.584,-9.24E-07,,,,,
-0.582,-9.30E-07,,,,,
-0.58,-9.37E-07,,,,,
-0.578,-9.43E-07,,,,,
-0.576,-9.50E-07,,,,,
-0.574,-9.56E-07,,,,,
-0.572,-9.63E-07,,,,,
-0.57,-9.69E-07,,,,,
-0.568,-9.76E-07,,,,,
-0.566,-9.83E-07,,,,,
-0.564,-9.90E-07,,,,,
-0.562,-9.97E-07,,,,,
-0.56,-1.00E-06,,,,,
-0.558,-1.01E-06,,,,,
-0.556,-1.02E-06,,,,,
-0.554,-1.03E-06,,,,,
-0.552,-1.03E-06,,,,,
-0.55,-1.04E-06,,,,,
-0.548,-1.05E-06,,,,,
-0.546,-1.06E-06,,,,,
-0.544,-1.06E-06,,,,,
-0.542,-1.07E-06,,,,,
-0.54,-1.08E-06,,,,,
-0.538,-1.09E-06,,,,,
-0.536,-1.09E-06,,,,,
-0.534,-1.10E-06,,,,,
-0.532,-1.11E-06,,,,,
-0.53,-1.12E-06,,,,,
-0.528,-1.13E-06,,,,,
-0.526,-1.14E-06,,,,,
-0.524,-1.14E-06,,,,,
-0.522,-1.15E-06,,,,,
-0.52,-1.16E-06,,,,,
-0.518,-1.17E-06,,,,,
-0.516,-1.18E-06,,,,,
-0.514,-1.19E-06,,,,,
-0.512,-1.20E-06,,,,,
-0.51,-1.21E-06,,,,,
-0.508,-1.22E-06,,,,,
-0.506,-1.23E-06,,,,,
-0.504,-1.24E-06,,,,,
-0.502,-1.25E-06,,,,,
-0.5,-1.26E-06,,,,,
-0.498,-1.26E-06,,,,,
-0.496,-1.28E-06,,,,,
-0.494,-1.29E-06,,,,,
-0.492,-1.30E-06,,,,,
-0.49,-1.31E-06,,,,,
-0.488,-1.32E-06,,,,,
-0.486,-1.33E-06,,,,,
-0.484,-1.34E-06,,,,,
-0.482,-1.35E-06,,,,,
-0.48,-1.36E-06,,,,,
-0.478,-1.37E-06,,,,,
-0.476,-1.38E-06,,,,,
-0.474,-1.39E-06,,,,,
-0.472,-1.41E-06,,,,,
-0.47,-1.42E-06,,,,,
-0.468,-1.43E-06,,,,,
-0.466,-1.44E-06,,,,,
-0.464,-1.45E-06,,,,,
-0.462,-1.47E-06,,,,,
-0.46,-1.48E-06,,,,,
