"Y-coordinate","Electric Potential"
"-1.0","5.2543131435629326E-9"
"-0.998","5.275645624479078E-9"
"-0.996","5.297108233968674E-9"
"-0.994","5.318702053200175E-9"
"-0.992","5.340428144339726E-9"
"-0.99","5.3622875864742364E-9"
"-0.988","5.384281483150635E-9"
"-0.986","5.406410925605905E-9"
"-0.984","5.4286770401780795E-9"
"-0.982","5.45108095260298E-9"
"-0.98","5.473623800871278E-9"
"-0.978","5.496306725541822E-9"
"-0.976","5.519130899589129E-9"
"-0.974","5.542097509491281E-9"
"-0.972","5.565207714833197E-9"
"-0.97","5.588462735438143E-9"
"-0.968","5.61186378526283E-9"
"-0.966","5.635412072004213E-9"
"-0.964","5.659108838646095E-9"
"-0.962","5.68295534664259E-9"
"-0.96","5.706952858725685E-9"
"-0.958","5.731102640506639E-9"
"-0.956","5.755405986930038E-9"
"-0.954","5.779864204367887E-9"
"-0.952","5.804478610587204E-9"
"-0.95","5.82925053576703E-9"
"-0.948","5.854181332741945E-9"
"-0.946","5.879272362016478E-9"
"-0.944","5.904524994184213E-9"
"-0.942","5.9299406166331174E-9"
"-0.94","5.955520637605473E-9"
"-0.938","5.9812664817809356E-9"
"-0.9359999999999999","6.00717958017399E-9"
"-0.9339999999999999","6.033261385874595E-9"
"-0.9319999999999999","6.059513379086227E-9"
"-0.9299999999999999","6.085937016351161E-9"
"-0.9279999999999999","6.112533812350108E-9"
"-0.9259999999999999","6.139305280744613E-9"
"-0.9239999999999999","6.166252951933358E-9"
"-0.9219999999999999","6.193378386313751E-9"
"-0.9199999999999999","6.2206831413639695E-9"
"-0.9179999999999999","6.248168800086735E-9"
"-0.9159999999999999","6.2758369570931254E-9"
"-0.9139999999999999","6.303689245433076E-9"
"-0.9119999999999999","6.331727290638345E-9"
"-0.9099999999999999","6.359952761199639E-9"
"-0.9079999999999999","6.388367310779784E-9"
"-0.9059999999999999","6.416972648544898E-9"
"-0.9039999999999999","6.445770472518316E-9"
"-0.9019999999999999","6.474762534037645E-9"
"-0.8999999999999999","6.5039505571676414E-9"
"-0.8979999999999999","6.533336328079072E-9"
"-0.8959999999999999","6.562921634535996E-9"
"-0.8939999999999999","6.5927082776612865E-9"
"-0.8919999999999999","6.622698089294879E-9"
"-0.8899999999999999","6.652892941938079E-9"
"-0.8879999999999999","6.683294671427558E-9"
"-0.8859999999999999","6.713905205287227E-9"
"-0.8839999999999999","6.74472644610246E-9"
"-0.8819999999999999","6.775760328221863E-9"
"-0.8799999999999999","6.807008807822695E-9"
"-0.8779999999999999","6.838473878215113E-9"
"-0.8759999999999999","6.870157542896087E-9"
"-0.8739999999999999","6.9020618331431305E-9"
"-0.8719999999999999","6.934188783665008E-9"
"-0.8699999999999999","6.966540488756928E-9"
"-0.8679999999999999","6.999119045240686E-9"
"-0.8659999999999999","7.031926574960872E-9"
"-0.8639999999999999","7.0649652255075266E-9"
"-0.8619999999999999","7.09823719188222E-9"
"-0.8599999999999999","7.131744637536626E-9"
"-0.8579999999999999","7.165489820434382E-9"
"-0.8559999999999999","7.199474988496519E-9"
"-0.8539999999999999","7.23370241088239E-9"
"-0.8519999999999999","7.268174407099397E-9"
"-0.8499999999999999","7.302893308699156E-9"
"-0.8479999999999999","7.337861464881562E-9"
"-0.8459999999999999","7.373081288441036E-9"
"-0.8439999999999999","7.40855518058849E-9"
"-0.8419999999999999","7.444285606654333E-9"
"-0.8399999999999999","7.48027502545754E-9"
"-0.8379999999999999","7.51652596737753E-9"
"-0.8359999999999999","7.553040953230189E-9"
"-0.8339999999999999","7.589822556521859E-9"
"-0.8319999999999999","7.626873376803545E-9"
"-0.8299999999999998","7.664196066129303E-9"
"-0.8279999999999998","7.701793259309974E-9"
"-0.8259999999999998","7.739667677724048E-9"
"-0.8239999999999998","7.777822040551267E-9"
"-0.8219999999999998","7.81625911592597E-9"
"-0.8199999999999998","7.854981699759796E-9"
"-0.8179999999999998","7.893992628255784E-9"
"-0.8159999999999998","7.933294774024524E-9"
"-0.8139999999999998","7.972891040581083E-9"
"-0.8119999999999998","8.012784353559215E-9"
"-0.8099999999999998","8.052977718467936E-9"
"-0.8079999999999998","8.093474124173118E-9"
"-0.8059999999999998","8.134276629868563E-9"
"-0.8039999999999998","8.17538833994034E-9"
"-0.8019999999999998","8.21681237670419E-9"
"-0.7999999999999998","8.258551897322515E-9"
"-0.7979999999999998","8.300610134248089E-9"
"-0.7959999999999998","8.34299032260988E-9"
"-0.7939999999999998","8.385695778229833E-9"
"-0.7919999999999998","8.428729808444939E-9"
"-0.7899999999999998","8.472095810538693E-9"
"-0.7879999999999998","8.515797188124553E-9"
"-0.7859999999999998","8.55983742106448E-9"
"-0.7839999999999998","8.604220024567773E-9"
"-0.7819999999999998","8.648948543868384E-9"
"-0.7799999999999998","8.694026585964932E-9"
"-0.7779999999999998","8.739457793823945E-9"
"-0.7759999999999998","8.785245876365626E-9"
"-0.7739999999999998","8.831394578887479E-9"
"-0.7719999999999998","8.877907675244214E-9"
"-0.7699999999999998","8.924789039557805E-9"
"-0.7679999999999998","8.972042538776622E-9"
"-0.7659999999999998","9.01967215247107E-9"
"-0.7639999999999998","9.067681853282614E-9"
"-0.7619999999999998","9.116075715173182E-9"
"-0.7599999999999998","9.164857827303623E-9"
"-0.7579999999999998","9.214032351063884E-9"
"-0.7559999999999998","9.263603525891483E-9"
"-0.7539999999999998","9.31357562299096E-9"
"-0.7519999999999998","9.363952945095677E-9"
"-0.7499999999999998","9.414739916640646E-9"
"-0.7479999999999998","9.465940965602839E-9"
