"Y-coordinate","Electric Potential"
"-1.0","-7.919132197113671E-9"
"-0.9998","-7.921360727231928E-9"
"-0.9996","-7.92359012250306E-9"
"-0.9994000000000001","-7.92582016373054E-9"
"-0.9992000000000001","-7.928051082907494E-9"
"-0.9990000000000001","-7.930282738722569E-9"
"-0.9988000000000001","-7.932515189949585E-9"
"-0.9986000000000002","-7.93474831644874E-9"
"-0.9984000000000002","-7.936982238286979E-9"
"-0.9982000000000002","-7.93921707985981E-9"
"-0.9980000000000002","-7.941452573831235E-9"
"-0.9978000000000002","-7.94368891261402E-9"
"-0.9976000000000003","-7.945925926249442E-9"
"-0.9974000000000003","-7.948163687503106E-9"
"-0.9972000000000003","-7.950402346490068E-9"
"-0.9970000000000003","-7.952641762900159E-9"
"-0.9968000000000004","-7.954881942620535E-9"
"-0.9966000000000004","-7.95712282927439E-9"
"-0.9964000000000004","-7.959364564980562E-9"
"-0.9962000000000004","-7.961607102465462E-9"
"-0.9960000000000004","-7.963850390062472E-9"
"-0.9958000000000005","-7.966094377808407E-9"
"-0.9956000000000005","-7.968339268217259E-9"
"-0.9954000000000005","-7.970584888464936E-9"
"-0.9952000000000005","-7.97283140186929E-9"
"-0.9950000000000006","-7.975078438205734E-9"
"-0.9948000000000006","-7.977326339865917E-9"
"-0.9946000000000006","-7.979575131209119E-9"
"-0.9944000000000006","-7.981824687305552E-9"
"-0.9942000000000006","-7.984074880070089E-9"
"-0.9940000000000007","-7.986325965104313E-9"
"-0.9938000000000007","-7.988577753631313E-9"
"-0.9936000000000007","-7.990830352426767E-9"
"-0.9934000000000007","-7.99308383095117E-9"
"-0.9932000000000007","-7.995338042897342E-9"
"-0.9930000000000008","-7.997592974108126E-9"
"-0.9928000000000008","-7.999848758171295E-9"
"-0.9926000000000008","-8.00210514953676E-9"
"-0.9924000000000008","-8.004362578846229E-9"
"-0.9922000000000009","-8.006620503332042E-9"
"-0.9920000000000009","-8.00887952329482E-9"
"-0.9918000000000009","-8.011139162398672E-9"
"-0.9916000000000009","-8.013399493465869E-9"
"-0.991400000000001","-8.015660712597066E-9"
"-0.991200000000001","-8.01792262533867E-9"
"-0.991000000000001","-8.020185363202928E-9"
"-0.990800000000001","-8.022449013215234E-9"
"-0.990600000000001","-8.0247132582094E-9"
"-0.9904000000000011","-8.02697845089744E-9"
"-0.9902000000000011","-8.029244325523346E-9"
"-0.9900000000000011","-8.031510918222443E-9"
