Z-coordinate,Electric Potential
-0.01902,-2.012588255
-0.019016,-2.012022313
-0.019012,-2.011410635
-0.019008,-2.010817275
-0.019004,-2.01031075
-0.019,-2.009951093
-0.018996,-2.009777725
-0.018992,-2.009802543
-0.018988,-2.010010741
-0.018984,-2.01036878
-0.01898,-2.010836081
-0.018976,-2.011376009
-0.018972,-2.011962655
-0.018968,-2.01258242
-0.018964,-2.013231647
-0.01896,-2.013912442
-0.018956,-2.014628282
-0.018952,-2.015380063
-0.018948,-2.016162909
-0.018944,-2.016964312
-0.01894,-2.01776441
-0.018936,-2.018538987
-0.018932,-2.019264786
-0.018928,-2.019925609
-0.018924,-2.020516994
-0.01892,-2.021047693
-0.018916,-2.021537233
-0.018912,-2.022010056
-0.018908,-2.022487718
-0.018904,-2.022981404
-0.0189,-2.023487393
-0.018896,-2.023987515
-0.018892,-2.024454742
-0.018888,-2.024861572
-0.018884,-2.025187278
-0.01888,-2.025420722
-0.018876,-2.025557952
-0.018872,-2.025596671
-0.018868,-2.025531131
-0.018864,-2.025350358
-0.01886,-2.02504039
-0.018856,-2.024589013
-0.018852,-2.023990524
-0.018848,-2.023248661
-0.018844,-2.022377046
-0.01884,-2.021397492
-0.018836,-2.020336923
-0.018832,-2.019223718
-0.018828,-2.018084315
-0.018824,-2.016941013
-0.01882,-2.015811648
-0.018816,-2.014711008
-0.018812,-2.013652742
-0.018808,-2.012650246
-0.018804,-2.011715883
-0.0188,-2.010859433
-0.018796,-2.010087308
-0.018792,-2.00940332
-0.018788,-2.008810342
-0.018784,-2.008311486
-0.01878,-2.007909939
-0.018776,-2.007607666
-0.018772,-2.007403965
-0.018768,-2.007294825
-0.018764,-2.007273443
-0.01876,-2.007331576
-0.018756,-2.007461093
-0.018752,-2.007655263
-0.018748,-2.007909555
-0.018744,-2.008221646
-0.01874,-2.008590008
-0.018736,-2.009010619
-0.018732,-2.009472501
-0.018728,-2.009954325
-0.018724,-2.010424721
-0.01872,-2.010847469
-0.018716,-2.011190135
-0.018712,-2.011432607
-0.018708,-2.011571958
-0.018704,-2.011621854
-0.0187,-2.011607241
-0.018696,-2.011556684
-0.018692,-2.01149502
-0.018688,-2.01143832
-0.018684,-2.01139229
-0.01868,-2.011354342
-0.018676,-2.011318457
-0.018672,-2.01128078
-0.018668,-2.011243358
-0.018664,-2.011214306
-0.01866,-2.01120465
-0.018656,-2.011223991
-0.018652,-2.01127773
-0.018648,-2.01136752
-0.018644,-2.011494581
-0.01864,-2.011663721
-0.018636,-2.0118851
-0.018632,-2.012171685
-0.018628,-2.012532717
-0.018624,-2.012966183
-0.01862,-2.013454392
-0.018616,-2.0139653
-0.018612,-2.014459119
-0.018608,-2.014896971
-0.018604,-2.01524783
-0.0186,-2.015491608
-0.018596,-2.015618644
-0.018592,-2.015627257
-0.018588,-2.015521
-0.018584,-2.015306702
-0.01858,-2.014993822
-0.018576,-2.014595115
-0.018572,-2.014127912
-0.018568,-2.013614873
-0.018564,-2.013083356
-0.01856,-2.01256333
-0.018556,-2.012084253
-0.018552,-2.011671383
-0.018548,-2.011342001
-0.018544,-2.01110241
-0.01854,-2.010946909
-0.018536,-2.010859567
-0.018532,-2.010818435
-0.018528,-2.010800635
-0.018524,-2.010786604
-0.01852,-2.010762733
-0.018516,-2.010722671
-0.018512,-2.010667597
-0.018508,-2.010604988
-0.018504,-2.010545236
-0.0185,-2.010496508
-0.018496,-2.010459831
-0.018492,-2.010426885
-0.018488,-2.010381951
-0.018484,-2.010307545
-0.01848,-2.010191519
-0.018476,-2.010032548
-0.018472,-2.009841396
-0.018468,-2.009637206
-0.018464,-2.009440584
-0.01846,-2.009266937
-0.018456,-2.009123097
-0.018452,-2.009007994
-0.018448,-2.008915758
-0.018444,-2.008838713
-0.01844,-2.008768589
-0.018436,-2.00869606
-0.018432,-2.008610069
-0.018428,-2.008498669
-0.018424,-2.008352219
-0.01842,-2.008168158
-0.018416,-2.007955266
-0.018412,-2.007735
-0.018408,-2.007538532
-0.018404,-2.007400061
-0.0184,-2.007348761
-0.018396,-2.007402397
-0.018392,-2.007564782
-0.018388,-2.007827343
-0.018384,-2.008173175
-0.01838,-2.008581166
-0.018376,-2.009028341
-0.018372,-2.009490159
-0.018368,-2.009939998
-0.018364,-2.010349585
-0.01836,-2.010691451
-0.018356,-2.01094315
-0.018352,-2.011092035
-0.018348,-2.011139206
-0.018344,-2.01110158
-0.01834,-2.011011219
-0.018336,-2.010911306
-0.018332,-2.010848785
-0.018328,-2.010864862
-0.018324,-2.01098569
-0.01832,-2.011215814
-0.018316,-2.011536389
-0.018312,-2.01190902
-0.018308,-2.012284636
-0.018304,-2.012615302
-0.0183,-2.012865561
-0.018296,-2.013019663
-0.018292,-2.013082472
-0.018288,-2.013074516
-0.018284,-2.013024109
-0.01828,-2.012960131
-0.018276,-2.012907555
-0.018272,-2.012885563
-0.018268,-2.012906687
-0.018264,-2.012975738
-0.01826,-2.013088681
-0.018256,-2.01323257
-0.018252,-2.013387486
-0.018248,-2.013530302
-0.018244,-2.01363902
-0.01824,-2.013696168
-0.018236,-2.013690374
-0.018232,-2.013616346
-0.018228,-2.013474218
-0.018224,-2.013269099
-0.01822,-2.013010635
-0.018216,-2.012711642
-0.018212,-2.012385123
-0.018208,-2.012040449
-0.018204,-2.011680965
-0.0182,-2.011305278
-0.018196,-2.010912575
-0.018192,-2.010509497
-0.018188,-2.010114498
-0.018184,-2.009756556
-0.01818,-2.009468153
-0.018176,-2.009275566
-0.018172,-2.009191014
-0.018168,-2.009210212
-0.018164,-2.009316099
-0.01816,-2.009486421
-0.018156,-2.009701183
-0.018152,-2.009946786
-0.018148,-2.010216243
-0.018144,-2.010507158
-0.01814,-2.010819761
-0.018136,-2.011156125
-0.018132,-2.011520217
-0.018128,-2.011917605
-0.018124,-2.012353759
-0.01812,-2.012830862
-0.018116,-2.013344181
-0.018112,-2.013879819
-0.018108,-2.014415396
-0.018104,-2.014923947
-0.0181,-2.015379864
-0.018096,-2.015764744
-0.018092,-2.016070983
-0.018088,-2.0163018
-0.018084,-2.016467796
-0.01808,-2.016581445
-0.018076,-2.016651429
-0.018072,-2.016678373
-0.018068,-2.016653025
-0.018064,-2.016557581
-0.01806,-2.016370353
-0.018056,-2.016072875
-0.018052,-2.01565726
-0.018048,-2.015131189
-0.018044,-2.014518649
-0.01804,-2.013856086
-0.018036,-2.013185133
-0.018032,-2.012544047
-0.018028,-2.011960368
-0.018024,-2.011447044
-0.01802,-2.011003328
-0.018016,-2.010620211
-0.018012,-2.010288372
-0.018008,-2.010005342
-0.018004,-2.009778559
-0.018,-2.009622735
-0.017996,-2.009552878
-0.017992,-2.009576557
