"X-coordinate","Electric Potential"
"-10.0","-3.869842676857986E-6"
"-9.98","-3.885316143271062E-6"
"-9.96","-3.900882897275982E-6"
"-9.940000000000001","-3.916543501674355E-6"
"-9.920000000000002","-3.932298381546953E-6"
"-9.900000000000002","-3.948148481337075E-6"
"-9.880000000000003","-3.964094698809135E-6"
"-9.860000000000003","-3.980137704239629E-6"
"-9.840000000000003","-3.996278147425287E-6"
"-9.820000000000004","-4.012516995254106E-6"
"-9.800000000000004","-4.028855109209392E-6"
"-9.780000000000005","-4.045293402716555E-6"
"-9.760000000000005","-4.0618325015954505E-6"
"-9.740000000000006","-4.078472702048219E-6"
"-9.720000000000006","-4.09521581459801E-6"
"-9.700000000000006","-4.112062240103102E-6"
"-9.680000000000007","-4.1290127185951545E-6"
"-9.660000000000007","-4.146068250038555E-6"
"-9.640000000000008","-4.163229706618484E-6"
"-9.620000000000008","-4.1804979226132696E-6"
"-9.600000000000009","-4.197873726242688E-6"
"-9.580000000000009","-4.2153580487335184E-6"
"-9.56000000000001","-4.232951975641746E-6"
"-9.54000000000001","-4.2506565014346205E-6"
"-9.52000000000001","-4.268471910571461E-6"
"-9.50000000000001","-4.2863996120621595E-6"
"-9.480000000000011","-4.3044406099062355E-6"
"-9.460000000000012","-4.3225958207572055E-6"
"-9.440000000000012","-4.3408660794781955E-6"
"-9.420000000000012","-4.359252190183452E-6"
"-9.400000000000013","-4.377755747183183E-6"
"-9.380000000000013","-4.396377084492817E-6"
"-9.360000000000014","-4.415117623683788E-6"
"-9.340000000000014","-4.433978192519731E-6"
"-9.320000000000014","-4.452959950627635E-6"
"-9.300000000000015","-4.472063861889612E-6"
"-9.280000000000015","-4.491290857380391E-6"
"-9.260000000000016","-4.510642028094617E-6"
"-9.240000000000016","-4.5301188939907895E-6"
"-9.220000000000017","-4.5497218641611975E-6"
"-9.200000000000017","-4.569452417651604E-6"
"-9.180000000000017","-4.589311931261015E-6"
"-9.160000000000018","-4.60930041715331E-6"
