Z-coordinate,Electric Potential
0.005180833,-1.976962137
0.005181667,-1.976951524
0.0051825,-1.97694083
0.005183333,-1.976930059
0.005184167,-1.976919212
0.005185,-1.976908291
0.005185833,-1.976897298
0.005186667,-1.976886235
0.0051875,-1.976875106
0.005188333,-1.97686391
0.005189167,-1.976852652
0.00519,-1.976841333
0.005190833,-1.976829955
0.005191667,-1.976818521
0.0051925,-1.976807032
0.005193333,-1.976795492
0.005194167,-1.976783902
0.005195,-1.976772266
0.005195833,-1.976760584
0.005196667,-1.976748861
0.0051975,-1.976737097
0.005198333,-1.976725297
0.005199167,-1.976713461
0.0052,-1.976701593
0.005200833,-1.976689696
0.005201667,-1.976677771
0.0052025,-1.976665821
0.005203333,-1.976653849
0.005204167,-1.976641858
0.005205,-1.976629849
0.005205833,-1.976617826
0.005206667,-1.976605792
0.0052075,-1.976593749
0.005208333,-1.976581699
0.005209167,-1.976569645
0.00521,-1.976557591
0.005210833,-1.976545538
0.005211667,-1.97653349
0.0052125,-1.976521448
0.005213333,-1.976509417
0.005214167,-1.976497399
0.005215,-1.976485395
0.005215833,-1.97647341
0.005216667,-1.976461446
0.0052175,-1.976449505
0.005218333,-1.976437591
0.005219167,-1.976425706
0.00522,-1.976413853
0.005220833,-1.976402035
0.005221667,-1.976390255
0.0052225,-1.976378515
0.005223333,-1.976366818
0.005224167,-1.976355167
0.005225,-1.976343564
0.005225833,-1.976332014
0.005226667,-1.976320517
0.0052275,-1.976309078
0.005228333,-1.976297699
0.005229167,-1.976286382
0.00523,-1.97627513
0.005230833,-1.976263947
0.005231667,-1.976252835
0.0052325,-1.976241796
0.005233333,-1.976230834
0.005234167,-1.976219951
0.005235,-1.97620915
0.005235833,-1.976198433
0.005236667,-1.976187804
0.0052375,-1.976177264
0.005238333,-1.976166817
0.005239167,-1.976156465
0.00524,-1.976146211
0.005240833,-1.976136057
0.005241667,-1.976126007
0.0052425,-1.976116062
0.005243333,-1.976106225
0.005244167,-1.976096498
0.005245,-1.976086885
0.005245833,-1.976077388
0.005246667,-1.976068008
0.0052475,-1.976058749
0.005248333,-1.976049613
0.005249167,-1.976040603
0.00525,-1.97603172
0.005250833,-1.976022967
0.005251667,-1.976014346
0.0052525,-1.97600586
0.005253333,-1.975997511
0.005254167,-1.9759893
0.005255,-1.975981231
0.005255833,-1.975973305
0.005256667,-1.975965524
0.0052575,-1.975957891
0.005258333,-1.975950407
0.005259167,-1.975943075
0.00526,-1.975935896
0.005260833,-1.975928872
0.005261667,-1.975922005
0.0052625,-1.975915297
0.005263333,-1.97590875
0.005264167,-1.975902366
0.005265,-1.975896145
0.005265833,-1.975890091
0.005266667,-1.975884204
0.0052675,-1.975878485
0.005268333,-1.975872938
0.005269167,-1.975867562
0.00527,-1.975862359
0.005270833,-1.975857331
0.005271667,-1.97585248
0.0052725,-1.975847805
0.005273333,-1.975843309
0.005274167,-1.975838992
0.005275,-1.975834857
0.005275833,-1.975830903
0.005276667,-1.975827132
0.0052775,-1.975823544
0.005278333,-1.975820141
0.005279167,-1.975816924
0.00528,-1.975813893
0.005280833,-1.975811049
0.005281667,-1.975808392
0.0052825,-1.975805923
0.005283333,-1.975803644
0.005284167,-1.975801553
0.005285,-1.975799652
0.005285833,-1.975797941
0.005286667,-1.97579642
0.0052875,-1.97579509
0.005288333,-1.975793951
0.005289167,-1.975793002
0.00529,-1.975792245
0.005290833,-1.975791678
0.005291667,-1.975791302
0.0052925,-1.975791116
0.005293333,-1.975791122
0.005294167,-1.975791317
0.005295,-1.975791702
0.005295833,-1.975792277
0.005296667,-1.975793041
0.0052975,-1.975793994
0.005298333,-1.975795134
0.005299167,-1.975796462
0.0053,-1.975797977
0.005300833,-1.975799677
0.005301667,-1.975801562
0.0053025,-1.975803632
0.005303333,-1.975805885
0.005304167,-1.97580832
0.005305,-1.975810936
0.005305833,-1.975813732
0.005306667,-1.975816707
0.0053075,-1.975819859
0.005308333,-1.975823187
0.005309167,-1.97582669
0.00531,-1.975830366
0.005310833,-1.975834214
0.005311667,-1.975838232
0.0053125,-1.975842419
0.005313333,-1.975846772
0.005314167,-1.97585129
0.005315,-1.975855971
0.005315833,-1.975860813
0.005316667,-1.975865815
0.0053175,-1.975870974
0.005318333,-1.975876288
0.005319167,-1.975881755
0.00532,-1.975887372
0.005320833,-1.975893139
0.005321667,-1.975899051
0.0053225,-1.975905108
0.005323333,-1.975911306
0.005324167,-1.975917642
0.005325,-1.975924116
0.005325833,-1.975930723
0.005326667,-1.975937461
0.0053275,-1.975944328
0.005328333,-1.975951321
0.005329167,-1.975958436
0.00533,-1.975965672
0.005330833,-1.975973025
0.005331667,-1.975980492
0.0053325,-1.975988071
0.005333333,-1.975995758
0.005334167,-1.97600355
0.005335,-1.976011444
0.005335833,-1.976019437
0.005336667,-1.976027526
0.0053375,-1.976035708
0.005338333,-1.976043978
0.005339167,-1.976052335
0.00534,-1.976060774
0.005340833,-1.976069292
0.005341667,-1.976077886
0.0053425,-1.976086552
0.005343333,-1.976095287
0.005344167,-1.976104087
0.005345,-1.976112948
0.005345833,-1.976121868
