"X-coordinate","Z-coordinate","Electric Potential"
"-0.1","-0.1","-39997.72508192378"
"-0.096","-0.1","-39997.73002519354"
"-0.092","-0.1","-39997.73496087733"
"-0.088","-0.1","-39997.73988897325"
"-0.08399999999999999","-0.1","-39997.744809477896"
"-0.07999999999999999","-0.1","-39997.74972238922"
"-0.07599999999999998","-0.1","-39997.75462770532"
"-0.07199999999999998","-0.1","-39997.75952542387"
"-0.06799999999999998","-0.1","-39997.764415542326"
"-0.06399999999999997","-0.1","-39997.76929805907"
"-0.05999999999999997","-0.1","-39997.774172971374"
"-0.055999999999999966","-0.1","-39997.77904027811"
"-0.05199999999999996","-0.1","-39997.783899975984"
"-0.04799999999999996","-0.1","-39997.788752064705"
"-0.043999999999999956","-0.1","-39997.793596541065"
"-0.03999999999999995","-0.1","-39997.79843340438"
"-0.03599999999999995","-0.1","-39997.80326265202"
"-0.031999999999999945","-0.1","-39997.808084282326"
"-0.027999999999999945","-0.1","-39997.81289829406"
"-0.023999999999999945","-0.1","-39997.817704686066"
"-0.019999999999999945","-0.1","-39997.822503455456"
"-0.015999999999999945","-0.1","-39997.82729460158"
"-0.011999999999999945","-0.1","-39997.832078123305"
"-0.007999999999999945","-0.1","-39997.83685401831"
"-0.003999999999999945","-0.1","-39997.84162228634"
"5.551115123125783E-17","-0.1","-39997.846382925454"
"0.004000000000000056","-0.1","-39997.851135934405"
"0.008000000000000056","-0.1","-39997.855881312404"
"0.012000000000000056","-0.1","-39997.86061905814"
"0.016000000000000056","-0.1","-39997.86534917077"
"0.020000000000000056","-0.1","-39997.870071648154"
"0.024000000000000056","-0.1","-39997.874786491186"
"0.028000000000000056","-0.1","-39997.87949369741"
"0.032000000000000056","-0.1","-39997.88419326718"
"0.03600000000000006","-0.1","-39997.88888519895"
"0.04000000000000006","-0.1","-39997.89356949183"
"0.04400000000000007","-0.1","-39997.89824614549"
"0.04800000000000007","-0.1","-39997.90291515981"
"0.052000000000000074","-0.1","-39997.907576532925"
"0.05600000000000008","-0.1","-39997.912230265305"
"0.06000000000000008","-0.1","-39997.916876356125"
"0.06400000000000008","-0.1","-39997.92151480507"
"0.06800000000000009","-0.1","-39997.92614561214"
"0.07200000000000009","-0.1","-39997.93076877604"
"0.0760000000000001","-0.1","-39997.93538429717"
"0.0800000000000001","-0.1","-39997.93999217544"
"0.0840000000000001","-0.1","-39997.944592410764"
"0.0880000000000001","-0.1","-39997.94918500221"
"0.09200000000000011","-0.1","-39997.95376995076"
"0.09600000000000011","-0.1","-39997.95834725567"
"-0.1","-0.096","-39997.810936090194"
"-0.096","-0.096","-39997.81588076712"
"-0.092","-0.096","-39997.82081786799"
"-0.088","-0.096","-39997.82574739081"
"-0.08399999999999999","-0.096","-39997.83066933331"
"-0.07999999999999999","-0.096","-39997.83558369237"
"-0.07599999999999998","-0.096","-39997.84049046677"
"-0.07199999999999998","-0.096","-39997.84538965318"
"-0.06799999999999998","-0.096","-39997.85028124994"
"-0.06399999999999997","-0.096","-39997.855165255714"
"-0.05999999999999997","-0.096","-39997.860041667016"
"-0.055999999999999966","-0.096","-39997.86491048312"
"-0.05199999999999996","-0.096","-39997.86977170078"
"-0.04799999999999996","-0.096","-39997.874625319084"
"-0.043999999999999956","-0.096","-39997.87947133607"
"-0.03999999999999995","-0.096","-39997.8843097489"
"-0.03599999999999995","-0.096","-39997.88914055714"
"-0.031999999999999945","-0.096","-39997.89396375874"
"-0.027999999999999945","-0.096","-39997.898779351715"
"-0.023999999999999945","-0.096","-39997.903587334666"
"-0.019999999999999945","-0.096","-39997.90838770574"
"-0.015999999999999945","-0.096","-39997.91318046373"
"-0.011999999999999945","-0.096","-39997.917965607085"
"-0.007999999999999945","-0.096","-39997.92274313488"
"-0.003999999999999945","-0.096","-39997.927513045615"
"5.551115123125783E-17","-0.096","-39997.93227533707"
"0.004000000000000056","-0.096","-39997.93703000922"
"0.008000000000000056","-0.096","-39997.94177706096"
"0.012000000000000056","-0.096","-39997.94651648987"
"0.016000000000000056","-0.096","-39997.95124829621"
"0.020000000000000056","-0.096","-39997.95597247818"
"0.024000000000000056","-0.096","-39997.96068903527"
"0.028000000000000056","-0.096","-39997.96539796632"
"0.032000000000000056","-0.096","-39997.970099270475"
"0.03600000000000006","-0.096","-39997.974792947294"
"0.04000000000000006","-0.096","-39997.97947899528"
"0.04400000000000007","-0.096","-39997.984157414896"
"0.04800000000000007","-0.096","-39997.98882820445"
"0.052000000000000074","-0.096","-39997.99349136386"
"0.05600000000000008","-0.096","-39997.99814689267"
"0.06000000000000008","-0.096","-39998.00279479045"
"0.06400000000000008","-0.096","-39998.0074350564"
"0.06800000000000009","-0.096","-39998.012067689655"
"0.07200000000000009","-0.096","-39998.01669269122"
"0.0760000000000001","-0.096","-39998.02131005983"
"0.0800000000000001","-0.096","-39998.02591979632"
"0.0840000000000001","-0.096","-39998.03052189917"
"0.0880000000000001","-0.096","-39998.03511636893"
"0.09200000000000011","-0.096","-39998.03970320624"
"0.09600000000000011","-0.096","-39998.04428240982"
"-0.1","-0.092","-39997.89681117626"
"-0.096","-0.092","-39997.90175726445"
