"X-coordinate","Y-coordinate","Electric Potential"
"-0.1","-0.1","22.568185449239152"
"-0.096","-0.1","24.109092231079778"
"-0.092","-0.1","25.715110341282912"
"-0.088","-0.1","27.379864367859994"
"-0.08399999999999999","-0.1","29.095509171654566"
"-0.07999999999999999","-0.1","30.852798690556913"
"-0.07599999999999998","-0.1","32.64121893822474"
"-0.07199999999999998","-0.1","34.449188835603074"
"-0.06799999999999998","-0.1","36.26432962714067"
"-0.06399999999999997","-0.1","38.073799588205226"
"-0.05999999999999997","-0.1","39.86468479158121"
"-0.055999999999999966","-0.1","41.62442774568388"
"-0.05199999999999996","-0.1","43.341262707162066"
"-0.04799999999999996","-0.1","45.004609275106915"
"-0.043999999999999956","-0.1","46.605356779907034"
"-0.03999999999999995","-0.1","48.13595680274665"
"-0.03599999999999995","-0.1","49.59024059168815"
"-0.031999999999999945","-0.1","50.96290850429244"
"-0.027999999999999945","-0.1","52.24871925927029"
"-0.023999999999999945","-0.1","53.44154238927079"
"-0.019999999999999945","-0.1","54.533583030593014"
"-0.015999999999999945","-0.1","55.51513404717866"
"-0.011999999999999945","-0.1","56.375051572433094"
"-0.007999999999999945","-0.1","57.10182761151904"
"-0.003999999999999945","-0.1","57.68487839371456"
"5.551115123125783E-17","-0.1","58.11569701062947"
"0.004000000000000056","-0.1","58.38875590668559"
"0.008000000000000056","-0.1","58.50216428687591"
"0.012000000000000056","-0.1","58.45794436299534"
"0.016000000000000056","-0.1","58.26166338404231"
"0.020000000000000056","-0.1","57.921364273368056"
"0.024000000000000056","-0.1","57.446155920384456"
"0.028000000000000056","-0.1","56.8450306524293"
"0.032000000000000056","-0.1","56.12628827075338"
"0.03600000000000006","-0.1","55.29758202522235"
"0.04000000000000006","-0.1","54.36634740375434"
"0.04400000000000007","-0.1","53.340316664267064"
"0.04800000000000007","-0.1","52.22789723587605"
"0.052000000000000074","-0.1","51.03831541977355"
"0.05600000000000008","-0.1","49.78153732900948"
"0.06000000000000008","-0.1","48.46804256922635"
"0.06400000000000008","-0.1","47.108537432477604"
"0.06800000000000009","-0.1","45.7136718913364"
"0.07200000000000009","-0.1","44.29379354022813"
"0.0760000000000001","-0.1","42.85874840049777"
"0.0800000000000001","-0.1","41.41772724847411"
"0.0840000000000001","-0.1","39.979153205496274"
"0.0880000000000001","-0.1","38.55060676225414"
"0.09200000000000011","-0.1","37.13878495948594"
"0.09600000000000011","-0.1","35.74949122819355"
"-0.1","-0.096","23.33589101065443"
"-0.096","-0.096","25.000093859980513"
"-0.092","-0.096","26.74075751132386"
"-0.088","-0.096","28.551071926075384"
"-0.08399999999999999","-0.096","30.422484451458764"
"-0.07999999999999999","-0.096","32.34477521798689"
"-0.07599999999999998","-0.096","34.30621266949735"
"-0.07199999999999998","-0.096","36.29379416456671"
"-0.06799999999999998","-0.096","38.29357301056758"
"-0.06399999999999997","-0.096","40.29106844550171"
"-0.05999999999999997","-0.096","42.27174810452465"
"-0.055999999999999966","-0.096","44.22156170950358"
"-0.05199999999999996","-0.096","46.12748800748528"
"-0.04799999999999996","-0.096","47.97803323647709"
"-0.043999999999999956","-0.096","49.76359065960197"
"-0.03999999999999995","-0.096","51.47654350213931"
"-0.03599999999999995","-0.096","53.11097903705903"
"-0.031999999999999945","-0.096","54.661900978246706"
"-0.027999999999999945","-0.096","56.12392510772945"
"-0.023999999999999945","-0.096","57.48967372357995"
"-0.019999999999999945","-0.096","58.748416053665096"
"-0.015999999999999945","-0.096","59.88569452828673"
"-0.011999999999999945","-0.096","60.88438736517433"
"-0.007999999999999945","-0.096","61.726878574634476"
"-0.003999999999999945","-0.096","62.397355490170014"
"5.551115123125783E-17","-0.096","62.88345397500388"
"0.004000000000000056","-0.096","63.177336454354645"
"0.008000000000000056","-0.096","63.27668524166447"
"0.012000000000000056","-0.096","63.18544173076019"
"0.016000000000000056","-0.096","62.913405690396374"
"0.020000000000000056","-0.096","62.474253295493334"
"0.024000000000000056","-0.096","61.88275765632622"
"0.028000000000000056","-0.096","61.15255528578464"
"0.032000000000000056","-0.096","60.29521865445793"
"0.03600000000000006","-0.096","59.32050767278667"
"0.04000000000000006","-0.096","58.23723875344435"
"0.04400000000000007","-0.096","57.05422633816536"
"0.04800000000000007","-0.096","55.780946140859754"
"0.052000000000000074","-0.096","54.42779223281312"
"0.05600000000000008","-0.096","53.005983452638"
"0.06000000000000008","-0.096","51.527267560833586"
"0.06400000000000008","-0.096","50.003567795839096"
"0.06800000000000009","-0.096","48.44665955379775"
"0.07200000000000009","-0.096","46.86790703211141"
"0.0760000000000001","-0.096","45.27805736328941"
"0.0800000000000001","-0.096","43.687081840847945"
"0.0840000000000001","-0.096","42.10405750175454"
"0.0880000000000001","-0.096","40.53708700325767"
"0.09200000000000011","-0.096","38.99325621757516"
"0.09600000000000011","-0.096","37.47862764912965"
"-0.1","-0.092","24.083185870767647"
"-0.096","-0.092","25.88005129637515"
"-0.092","-0.092","27.766708327158298"
"-0.088","-0.092","29.735941472274483"
"-0.08399999999999999","-0.092","31.778470203374447"
"-0.07999999999999999","-0.092","33.88303373737915"
"-0.07599999999999998","-0.092","36.036577203887475"
"-0.07199999999999998","-0.092","38.22454589643631"
"-0.06799999999999998","-0.092","40.43128940757204"
"-0.06399999999999997","-0.092","42.64057108433585"
"-0.05999999999999997","-0.092","44.83616964132883"
"-0.055999999999999966","-0.092","47.002546760971114"
"-0.05199999999999996","-0.092","49.12553339443916"
"-0.04799999999999996","-0.092","51.1929555473164"
"-0.043999999999999956","-0.092","53.195080737826906"
