X-coordinate,Electric Potential,,,,,
-10,-1.22E-06,,,,,
-9.98,-1.22E-06,,,,,
-9.96,-1.23E-06,,,,,
-9.94,-1.23E-06,,,,,
-9.92,-1.24E-06,,,,,
-9.9,-1.24E-06,,,,,
-9.88,-1.25E-06,,,,,
-9.86,-1.25E-06,,,,,
-9.84,-1.26E-06,,,,,
-9.82,-1.26E-06,,,,,
-9.8,-1.27E-06,,,,,
-9.78,-1.27E-06,,,,,
-9.76,-1.28E-06,,,,,
-9.74,-1.28E-06,,,,,
-9.72,-1.29E-06,,,,,
-9.7,-1.30E-06,,,,,
-9.68,-1.30E-06,,,,,
-9.66,-1.31E-06,,,,,
-9.64,-1.31E-06,,,,,
-9.62,-1.32E-06,,,,,
-9.6,-1.32E-06,,,,,
-9.58,-1.33E-06,,,,,
-9.56,-1.33E-06,,,,,
-9.54,-1.34E-06,,,,,
-9.52,-1.34E-06,,,,,
-9.5,-1.35E-06,,,,,
-9.48,-1.36E-06,,,,,
-9.46,-1.36E-06,,,,,
-9.44,-1.37E-06,,,,,
-9.42,-1.37E-06,,,,,
-9.4,-1.38E-06,,,,,
-9.38,-1.38E-06,,,,,
-9.36,-1.39E-06,,,,,
-9.34,-1.40E-06,,,,,
-9.32,-1.40E-06,,,,,
-9.3,-1.41E-06,,,,,
-9.28,-1.41E-06,,,,,
-9.26,-1.42E-06,,,,,
-9.24,-1.43E-06,,,,,
-9.22,-1.43E-06,,,,,
-9.2,-1.44E-06,,,,,
-9.18,-1.45E-06,,,,,
-9.16,-1.45E-06,,,,,
-9.14,-1.46E-06,,,,,
-9.12,-1.47E-06,,,,,
-9.1,-1.47E-06,,,,,
-9.08,-1.48E-06,,,,,
-9.06,-1.48E-06,,,,,
-9.04,-1.49E-06,,,,,
-9.02,-1.50E-06,,,,,
-9,-1.50E-06,,,,,
-8.98,-1.51E-06,,,,,
-8.96,-1.52E-06,,,,,
-8.94,-1.52E-06,,,,,
-8.92,-1.53E-06,,,,,
-8.9,-1.54E-06,,,,,
-8.88,-1.55E-06,,,,,
-8.86,-1.55E-06,,,,,
-8.84,-1.56E-06,,,,,
-8.82,-1.57E-06,,,,,
-8.8,-1.57E-06,,,,,
-8.78,-1.58E-06,,,,,
-8.76,-1.59E-06,,,,,
-8.74,-1.60E-06,,,,,
-8.72,-1.60E-06,,,,,
-8.7,-1.61E-06,,,,,
-8.68,-1.62E-06,,,,,
-8.66,-1.62E-06,,,,,
-8.64,-1.63E-06,,,,,
-8.62,-1.64E-06,,,,,
-8.6,-1.65E-06,,,,,
-8.58,-1.66E-06,,,,,
-8.56,-1.66E-06,,,,,
-8.54,-1.67E-06,,,,,
-8.52,-1.68E-06,,,,,
-8.5,-1.69E-06,,,,,
