Z-coordinate,Electric Potential,,,,,,,,,,,,,
0.005100833,-0.001640102,,,,,,,,,,,,,
0.005101667,-0.001639625,,,,,,,,,,,,,
0.0051025,-0.001639149,,,,,,,,,,,,,
0.005103333,-0.001638674,,,,,,,,,,,,,
0.005104167,-0.001638198,,,,,,,,,,,,,
0.005105,-0.001637723,,,,,,,,,,,,,
0.005105833,-0.001637248,,,,,,,,,,,,,
0.005106667,-0.001636773,,,,,,,,,,,,,
0.0051075,-0.001636298,,,,,,,,,,,,,
0.005108333,-0.001635824,,,,,,,,,,,,,
0.005109167,-0.00163535,,,,,,,,,,,,,
0.00511,-0.001634876,,,,,,,,,,,,,
0.005110833,-0.001634402,,,,,,,,,,,,,
0.005111667,-0.001633929,,,,,,,,,,,,,
0.0051125,-0.001633455,,,,,,,,,,,,,
0.005113333,-0.001632982,,,,,,,,,,,,,
0.005114167,-0.00163251,,,,,,,,,,,,,
0.005115,-0.001632037,,,,,,,,,,,,,
0.005115833,-0.001631565,,,,,,,,,,,,,
0.005116667,-0.001631093,,,,,,,,,,,,,
0.0051175,-0.001630621,,,,,,,,,,,,,
0.005118333,-0.001630149,,,,,,,,,,,,,
0.005119167,-0.001629678,,,,,,,,,,,,,
0.00512,-0.001629207,,,,,,,,,,,,,
0.005120833,-0.001628736,,,,,,,,,,,,,
0.005121667,-0.001628265,,,,,,,,,,,,,
0.0051225,-0.001627795,,,,,,,,,,,,,
0.005123333,-0.001627324,,,,,,,,,,,,,
0.005124167,-0.001626854,,,,,,,,,,,,,
0.005125,-0.001626384,,,,,,,,,,,,,
0.005125833,-0.001625915,,,,,,,,,,,,,
0.005126667,-0.001625446,,,,,,,,,,,,,
0.0051275,-0.001624976,,,,,,,,,,,,,
0.005128333,-0.001624507,,,,,,,,,,,,,
0.005129167,-0.001624039,,,,,,,,,,,,,
0.00513,-0.00162357,,,,,,,,,,,,,
0.005130833,-0.001623102,,,,,,,,,,,,,
0.005131667,-0.001622634,,,,,,,,,,,,,
0.0051325,-0.001622166,,,,,,,,,,,,,
0.005133333,-0.001621699,,,,,,,,,,,,,
0.005134167,-0.001621232,,,,,,,,,,,,,
0.005135,-0.001620764,,,,,,,,,,,,,
0.005135833,-0.001620298,,,,,,,,,,,,,
0.005136667,-0.001619831,,,,,,,,,,,,,
0.0051375,-0.001619365,,,,,,,,,,,,,
0.005138333,-0.001618898,,,,,,,,,,,,,
0.005139167,-0.001618432,,,,,,,,,,,,,
0.00514,-0.001617967,,,,,,,,,,,,,
0.005140833,-0.001617501,,,,,,,,,,,,,
0.005141667,-0.001617036,,,,,,,,,,,,,
0.0051425,-0.001616571,,,,,,,,,,,,,
0.005143333,-0.001616106,,,,,,,,,,,,,
0.005144167,-0.001615641,,,,,,,,,,,,,
0.005145,-0.001615177,,,,,,,,,,,,,
0.005145833,-0.001614713,,,,,,,,,,,,,
0.005146667,-0.001614249,,,,,,,,,,,,,
0.0051475,-0.001613785,,,,,,,,,,,,,
0.005148333,-0.001613322,,,,,,,,,,,,,
0.005149167,-0.001612858,,,,,,,,,,,,,
0.00515,-0.001612395,,,,,,,,,,,,,
0.005150833,-0.001611932,,,,,,,,,,,,,
0.005151667,-0.00161147,,,,,,,,,,,,,
0.0051525,-0.001611007,,,,,,,,,,,,,
0.005153333,-0.001610545,,,,,,,,,,,,,
0.005154167,-0.001610083,,,,,,,,,,,,,
0.005155,-0.001609622,,,,,,,,,,,,,
0.005155833,-0.00160916,,,,,,,,,,,,,
0.005156667,-0.001608699,,,,,,,,,,,,,
0.0051575,-0.001608238,,,,,,,,,,,,,
0.005158333,-0.001607777,,,,,,,,,,,,,
0.005159167,-0.001607316,,,,,,,,,,,,,
0.00516,-0.001606856,,,,,,,,,,,,,
0.005160833,-0.001606396,,,,,,,,,,,,,
0.005161667,-0.001605936,,,,,,,,,,,,,
0.0051625,-0.001605476,,,,,,,,,,,,,
0.005163333,-0.001605016,,,,,,,,,,,,,
0.005164167,-0.001604557,,,,,,,,,,,,,
0.005165,-0.001604098,,,,,,,,,,,,,
0.005165833,-0.001603639,,,,,,,,,,,,,
0.005166667,-0.00160318,,,,,,,,,,,,,
0.0051675,-0.001602722,,,,,,,,,,,,,
0.005168333,-0.001602264,,,,,,,,,,,,,
0.005169167,-0.001601806,,,,,,,,,,,,,
0.00517,-0.001601348,,,,,,,,,,,,,
0.005170833,-0.001600891,,,,,,,,,,,,,
0.005171667,-0.001600433,,,,,,,,,,,,,
0.0051725,-0.001599976,,,,,,,,,,,,,
0.005173333,-0.001599519,,,,,,,,,,,,,
0.005174167,-0.001599063,,,,,,,,,,,,,
0.005175,-0.001598606,,,,,,,,,,,,,
0.005175833,-0.00159815,,,,,,,,,,,,,
0.005176667,-0.001597694,,,,,,,,,,,,,
0.0051775,-0.001597238,,,,,,,,,,,,,
0.005178333,-0.001596782,,,,,,,,,,,,,
0.005179167,-0.001596327,,,,,,,,,,,,,
0.00518,-0.001595872,,,,,,,,,,,,,
0.005180833,-0.001595417,,,,,,,,,,,,,
0.005181667,-0.001594962,,,,,,,,,,,,,
0.0051825,-0.001594508,,,,,,,,,,,,,
0.005183333,-0.001594054,,,,,,,,,,,,,
0.005184167,-0.001593599,,,,,,,,,,,,,
0.005185,-0.001593146,,,,,,,,,,,,,
0.005185833,-0.001592692,,,,,,,,,,,,,
0.005186667,-0.001592239,,,,,,,,,,,,,
0.0051875,-0.001591785,,,,,,,,,,,,,
0.005188333,-0.001591332,,,,,,,,,,,,,
