"X-coordinate","Electric Potential"
"-10.0","5.905269992287243E-6"
"-9.98","5.928965943259125E-6"
"-9.96","5.9528048026258644E-6"
"-9.940000000000001","5.9767877296203965E-6"
"-9.920000000000002","6.0009158818785476E-6"
"-9.900000000000002","6.02519043798128E-6"
"-9.880000000000003","6.0496125792080225E-6"
"-9.860000000000003","6.074183518940403E-6"
"-9.840000000000003","6.098904452272465E-6"
"-9.820000000000004","6.123776604018379E-6"
"-9.800000000000004","6.148801224385201E-6"
"-9.780000000000005","6.173979540995703E-6"
"-9.760000000000005","6.199312828997511E-6"
"-9.740000000000006","6.224802363401773E-6"
"-9.720000000000006","6.250449424474764E-6"
"-9.700000000000006","6.276255321086678E-6"
"-9.680000000000007","6.302221364848494E-6"
"-9.660000000000007","6.328348875407456E-6"
"-9.640000000000008","6.354639205192042E-6"
"-9.620000000000008","6.381093705425679E-6"
"-9.600000000000009","6.407713745368001E-6"
"-9.580000000000009","6.4345007112653345E-6"
"-9.56000000000001","6.4614559939157254E-6"
"-9.54000000000001","6.488581023045316E-6"
"-9.52000000000001","6.515877206627447E-6"
"-9.50000000000001","6.5433459998691416E-6"
"-9.480000000000011","6.5709888646110704E-6"
"-9.460000000000012","6.5988072643610735E-6"
"-9.440000000000012","6.62680269255506E-6"
"-9.420000000000012","6.654976660887659E-6"
"-9.400000000000013","6.683330674390423E-6"
"-9.380000000000013","6.71186628540201E-6"
"-9.360000000000014","6.740585046522821E-6"
"-9.340000000000014","6.769488525805902E-6"
"-9.320000000000014","6.7985783159595755E-6"
"-9.300000000000015","6.827856009510851E-6"
"-9.280000000000015","6.857323232274366E-6"
"-9.260000000000016","6.886981628427727E-6"
"-9.240000000000016","6.916832849346043E-6"
"-9.220000000000017","6.9468785819581015E-6"
"-9.200000000000017","6.977120503619844E-6"
"-9.180000000000017","7.00756034723012E-6"
"-9.160000000000018","7.038199822925261E-6"
"-9.140000000000018","7.06904068161818E-6"
"-9.120000000000019","7.100084709989861E-6"
"-9.10000000000002","7.131333682001581E-6"
"-9.08000000000002","7.162789406390346E-6"
"-9.06000000000002","7.194453713906583E-6"
"-9.04000000000002","7.2263284519917576E-6"
"-9.020000000000021","7.258415491145508E-6"
"-9.000000000000021","7.29071671749106E-6"
"-8.980000000000022","7.323234049691018E-6"
"-8.960000000000022","7.35596940562947E-6"
"-8.940000000000023","7.38892474774057E-6"
"-8.920000000000023","7.422102055573515E-6"
"-8.900000000000023","7.455503320470719E-6"
"-8.880000000000024","7.489130557763459E-6"
"-8.860000000000024","7.522985829120473E-6"
"-8.840000000000025","7.557071174329345E-6"
"-8.820000000000025","7.591388708942955E-6"
"-8.800000000000026","7.625940531221744E-6"
"-8.780000000000026","7.660728785275425E-6"
"-8.760000000000026","7.695755622303878E-6"
"-8.740000000000027","7.731023242376449E-6"
"-8.720000000000027","7.766533853319342E-6"
"-8.700000000000028","7.802289690817518E-6"
"-8.680000000000028","7.838293018697446E-6"
"-8.660000000000029","7.874546123030222E-6"
"-8.640000000000029","7.91105132508892E-6"
"-8.62000000000003","7.947810966227755E-6"
"-8.60000000000003","7.984827417971986E-6"
"-8.58000000000003","8.022103077108315E-6"
"-8.56000000000003","8.059640358840788E-6"
"-8.540000000000031","8.097441727700266E-6"
"-8.520000000000032","8.1355096719366E-6"
"-8.500000000000032","8.173846697311509E-6"
"-8.480000000000032","8.212455341216423E-6"
"-8.460000000000033","8.251338182692593E-6"
"-8.440000000000033","8.290497825261959E-6"
"-8.420000000000034","8.329936889285749E-6"
"-8.400000000000034","8.369658057024303E-6"
"-8.380000000000035","8.409664017575627E-6"
"-8.360000000000035","8.4499575054927E-6"
"-8.340000000000035","8.490541270099024E-6"
"-8.320000000000036","8.53141811577899E-6"
"-8.300000000000036","8.572590868962643E-6"
"-8.280000000000037","8.614062400373105E-6"
"-8.260000000000037","8.655835583493901E-6"
"-8.240000000000038","8.697913383514393E-6"
"-8.220000000000038","8.740298749518895E-6"
"-8.200000000000038","8.78299469255305E-6"
"-8.180000000000039","8.826004244335516E-6"
"-8.16000000000004","8.86933050161383E-6"
"-8.14000000000004","8.912976567611962E-6"
"-8.12000000000004","8.956945608290359E-6"
"-8.10000000000004","9.001240801732818E-6"
"-8.080000000000041","9.045865392781666E-6"
"-8.060000000000041","9.09082265317031E-6"
"-8.040000000000042","9.136115910023999E-6"
"-8.020000000000042","9.181748504605721E-6"
"-8.000000000000043","9.227723836601438E-6"
"-7.980000000000043","9.274045345887982E-6"
"-7.9600000000000435","9.320716527158416E-6"
"-7.940000000000044","9.367740897157629E-6"
"-7.920000000000044","9.415122040173163E-6"
"-7.900000000000045","9.462863560728402E-6"
"-7.880000000000045","9.510969136604684E-6"
"-7.860000000000046","9.559442467378459E-6"
"-7.840000000000046","9.60828731484365E-6"
"-7.8200000000000465","9.657507491356309E-6"
"-7.800000000000047","9.70710684569353E-6"
"-7.780000000000047","9.757089277735962E-6"
"-7.760000000000048","9.807458760787E-6"
"-7.740000000000048","9.858219284060024E-6"
"-7.720000000000049","9.909374909517454E-6"
"-7.700000000000049","9.96092974596052E-6"
"-7.6800000000000495","1.001288796822596E-5"
"-7.66000000000005","1.0065253793928603E-5"
"-7.64000000000005","1.0118031489143577E-5"
"-7.620000000000051","1.0171225392228156E-5"
"-7.600000000000051","1.0224839878161866E-5"
"-7.580000000000052","1.027887940531243E-5"
"-7.560000000000052","1.0333348474555504E-5"
"-7.540000000000052","1.0388251652043352E-5"
"-7.520000000000053","1.0443593567217922E-5"
"-7.500000000000053","1.0499378898297022E-5"
"-7.480000000000054","1.0555612388260544E-5"
"-7.460000000000054","1.0612298871007288E-5"
"-7.440000000000055","1.066944320652955E-5"
"-7.420000000000055","1.0727050366502916E-5"
"-7.400000000000055","1.0785125325127406E-5"
"-7.380000000000056","1.084367318738326E-5"
"-7.360000000000056","1.0902699091448949E-5"
"-7.340000000000057","1.0962208250393036E-5"
"-7.320000000000057","1.102220596874947E-5"
"-7.3000000000000576","1.1082697615145626E-5"
"-7.280000000000058","1.1143688585459209E-5"
"-7.260000000000058","1.1205184435650436E-5"
"-7.240000000000059","1.126719072277303E-5"
"-7.220000000000059","1.1329713139656556E-5"
"-7.20000000000006","1.1392757410453424E-5"
"-7.18000000000006","1.1456329352226927E-5"
"-7.1600000000000605","1.152043489617802E-5"
"-7.140000000000061","1.1585080010833323E-5"
"-7.120000000000061","1.1650270769981239E-5"
"-7.100000000000062","1.1716013336257523E-5"
"-7.080000000000062","1.1782313959414492E-5"
"-7.060000000000063","1.1849178967959675E-5"
"-7.040000000000063","1.1916614793232681E-5"
"-7.0200000000000635","1.1984627931962375E-5"
"-7.000000000000064","1.2053225007874001E-5"
"-6.980000000000064","1.2122412718497787E-5"
"-6.960000000000065","1.2192197881162542E-5"
"-6.940000000000065","1.2262587370621829E-5"
"-6.920000000000066","1.2333588191399421E-5"
"-6.900000000000066","1.2405207452263036E-5"
"-6.8800000000000665","1.2477452346242953E-5"
"-6.860000000000067","1.255033020084104E-5"
"-6.840000000000067","1.2623848399515431E-5"
"-6.820000000000068","1.2698014507138913E-5"
"-6.800000000000068","1.2772836116812104E-5"
"-6.780000000000069","1.2848321005212635E-5"
"-6.760000000000069","1.2924477020475246E-5"
"-6.7400000000000695","1.30013121480541E-5"
"-6.72000000000007","1.3078834478985186E-5"
"-6.70000000000007","1.3157052254894015E-5"
"-6.680000000000071","1.32359737975446E-5"
"-6.660000000000071","1.3315607585473213E-5"
"-6.640000000000072","1.3395962202370297E-5"
"-6.620000000000072","1.3477046387109021E-5"
"-6.6000000000000725","1.3558869000234288E-5"
"-6.580000000000073","1.3641439015161964E-5"
"-6.560000000000073","1.3724765580811668E-5"
"-6.540000000000074","1.3808857976487535E-5"
"-6.520000000000074","1.3893725593914031E-5"
"-6.500000000000075","1.3979378007704358E-5"
"-6.480000000000075","1.4065824905746793E-5"
"-6.4600000000000755","1.4153076162067497E-5"
"-6.440000000000076","1.424114176397723E-5"
"-6.420000000000076","1.4330031912881751E-5"
"-6.400000000000077","1.4419756912846823E-5"
"-6.380000000000077","1.4510327246525762E-5"
"-6.360000000000078","1.4601753582349376E-5"
"-6.340000000000078","1.469404672031337E-5"
"-6.320000000000078","1.4787217669192227E-5"
"-6.300000000000079","1.4881277593462159E-5"
"-6.280000000000079","1.4976237838358825E-5"
"-6.26000000000008","1.5072109922578661E-5"
"-6.24000000000008","1.5168905564056258E-5"
"-6.220000000000081","1.52666366698442E-5"
"-6.200000000000081","1.536531532059766E-5"
"-6.180000000000081","1.5464953813815422E-5"
"-6.160000000000082","1.5565564643543545E-5"
"-6.140000000000082","1.56671604759717E-5"
"-6.120000000000083","1.5769754248380543E-5"
"-6.100000000000083","1.587335904545443E-5"
"-6.080000000000084","1.5977988205187232E-5"
"-6.060000000000084","1.6083655295121E-5"
"-6.040000000000084","1.619037404892404E-5"
"-6.020000000000085","1.6298158498160362E-5"
"-6.000000000000085","1.6407022863012587E-5"
"-5.980000000000086","1.651698163463659E-5"
"-5.960000000000086","1.662804951965084E-5"
"-5.9400000000000865","1.674024148661817E-5"
"-5.920000000000087","1.685357277579827E-5"
"-5.900000000000087","1.6968058831277134E-5"
"-5.880000000000088","1.7083715416375916E-5"
"-5.860000000000088","1.720055852823207E-5"
"-5.840000000000089","1.73186044771487E-5"
"-5.820000000000089","1.7437869812462222E-5"
"-5.8000000000000895","1.7558371378792902E-5"
"-5.78000000000009","1.7680126334819508E-5"
"-5.76000000000009","1.780315212982009E-5"
"-5.740000000000091","1.7927466494045063E-5"
"-5.720000000000091","1.8053087493793496E-5"
"-5.700000000000092","1.8180033500091405E-5"
"-5.680000000000092","1.830832323948647E-5"
"-5.6600000000000925","1.8437975689998037E-5"
"-5.640000000000093","1.8569010275270534E-5"
"-5.620000000000093","1.8701446681660064E-5"
"-5.600000000000094","1.8835304972159084E-5"
"-5.580000000000094","1.8970605594596903E-5"
