"X","Y","Z","Vx","Vy","Vz","Polarity","Charge","Time","Mass","Electric Potential Energy","Kinetic Energy","Total Energy","V/Cm"
"-30.0","-30.0","-30.0","0.0","0.0","0.0","1","1.602176634E-19","0.0","2.0141","-2179.842506108905","0.0","-2179.842506108905","2.6009150008860043E-14"
"-30.0","-30.0","-30.0","3.6239675566687826E-22","3.6928062267733015E-22","3.862626721946887E-22","1","1.602176634E-19","5.0E-11","2.0141","-2179.842506108905","2.6204200199744692E-30","-2179.842506108905","2.6009150008860043E-14"
"-30.0","-30.0","-30.0","7.247935113337565E-22","7.385612453546603E-22","7.725253443893774E-22","1","1.602176634E-19","1.0E-10","2.0141","-2179.842506108905","1.0481680079897877E-29","-2179.842506108905","2.6009150008860043E-14"
