"X","Y","Z","Vx","Vy","Vz","Polarity","Time","Mass","Electric Potential Energy","Kinetic Energy"
"0.0","50.0","50.0","6690449.826133864","-2.3435780715286957E10","-3.1505274882869102E10","1","1.0E-10","3.3434059999999994E-27","2787.5133613477938","8.358514999999999E-24","2787.5133613477938"
"0.0020071349478401595","42.96926578541391","40.548417535139265","2.544375351295584E7","-7.247617229947044E10","-9.674190996435043E10","1","3.0E-10","3.3434059999999994E-27","3531.7233790784753","7.465838346570674E-24","3531.7233790784753"
"0.004551510299135744","35.721648555466864","30.87422653870422","4.5294472943014264E7","-1.0428425497988011E11","-1.3618463687145221E11","1","4.0E-10","3.3434059999999994E-27","5403.350246608537","5.8351327671323256E-24","5403.350246608537"
"0.009080957593437172","25.293223057478855","17.255762851559","7.307309714463788E7","-1.5401391834559225E11","-1.8956038862397308E11","1","5.0E-10","3.3434059999999994E-27","9698.036197317737","3.726650700866803E-24","9698.036197317737"
"0.01638826730790096","9.89183122291963","-1.7002760108383121","1.1164948929405582E8","-2.824385773150465E11","-2.8252185888274664E11","1","6.0E-10","3.3434059999999994E-27","21689.905633877617","1.567235883458722E-24","21689.905633877617"
"0.02755321623730654","-18.35202650858502","-29.95246189911298","6.03985071324153E8","-3.098256803247986E11","-3.075045723640037E11","1","7.0E-10","3.3434059999999994E-27","39548.1295962496","1.6840657791492781E-25","39548.1295962496"
"0.08795172336972185","-49.33459454106488","-60.702919135513355","1.6918986166948893E9","-2.0971096051318158E11","-2.6608585751652997E11","1","7.999999999999999E-10","3.3434059999999994E-27","22017.25606613854","2.0627939214285868E-24","22017.25606613854"
"0.2571415850392108","-70.30569059238304","-87.31150488716635","1.760513220487545E9","-1.5486205757923035E11","-2.6220738078439917E11","1","8.999999999999999E-10","3.3434059999999994E-27","2672.551936950684","1.0228739995818581E-23","2672.551936950684"
"0.4331929070879653","-85.79189635030608","-113.53224296560627","2.1624400274656878E9","-1.1118751203970364E11","-2.4402409138512292E11","1","9.999999999999999E-10","3.3434059999999994E-27","-293.15366363774336","2.1007046411502834E-23","-293.15366363774336"
"0.6494369098345341","-96.91064755427644","-137.93465210411856","2.0612355237565615E9","-8.5578164208411E10","-2.2630629256221387E11","1","1.1E-9","3.3434059999999994E-27","198.33536690028455","3.3851998000704095E-23","198.33536690028455"
"0.8555604622101902","-105.46846397511754","-160.56528136033995","1.9625054825685031E9","-6.878910934133563E10","-2.1194866542819754E11","1","1.2E-9","3.3434059999999994E-27","344.94712283240773","4.750656222241113E-23","344.94712283240773"
