X,Y,Z,Vx,Vy,Vz,Polarity,Charge,Time,Mass,Electric Potential Energy,Kinetic Energy,Total Energy,7.59997E-11
70.00000006,70.00000006,70.00000004,3361.031947,3078.417441,2222.868759,1,1.60E-19,3.60E-11,3.34E-27,257.1314356,2.68E-07,257.1314359,
70.00000006,70.00000006,70.00000004,3454.393945,3163.929036,2284.615113,1,1.60E-19,3.70E-11,3.34E-27,257.1314356,2.83E-07,257.1314359,
70.00000007,70.00000006,70.00000004,3547.755944,3249.440632,2346.361468,1,1.60E-19,3.80E-11,3.34E-27,257.1314356,2.99E-07,257.1314359,
70.00000007,70.00000007,70.00000005,3641.117942,3334.952227,2408.107822,1,1.60E-19,3.90E-11,3.34E-27,257.1314356,3.15E-07,257.1314359,
70.00000007,70.00000007,70.00000005,3734.479941,3420.463823,2469.854176,1,1.60E-19,4.00E-11,3.34E-27,257.1314356,3.31E-07,257.1314359,
70.00000008,70.00000007,70.00000005,3827.841939,3505.975418,2531.600531,1,1.60E-19,4.10E-11,3.34E-27,257.1314356,3.48E-07,257.1314359,
70.00000008,70.00000008,70.00000005,3921.203938,3591.487014,2593.346885,1,1.60E-19,4.20E-11,3.34E-27,257.1314355,3.65E-07,257.1314359,
70.00000009,70.00000008,70.00000006,4014.565936,3676.998609,2655.093239,1,1.60E-19,4.30E-11,3.34E-27,257.1314355,3.83E-07,257.1314359,
70.00000009,70.00000008,70.00000006,4107.927935,3762.510205,2716.839593,1,1.60E-19,4.40E-11,3.34E-27,257.1314355,4.01E-07,257.1314359,
70.00000009,70.00000009,70.00000006,4201.289933,3848.0218,2778.585948,1,1.60E-19,4.50E-11,3.34E-27,257.1314355,4.19E-07,257.1314359,
70.0000001,70.00000009,70.00000007,4294.651931,3933.533396,2840.332302,1,1.60E-19,4.60E-11,3.34E-27,257.1314355,4.38E-07,257.1314359,
70.0000001,70.00000009,70.00000007,4388.01393,4019.044991,2902.078656,1,1.60E-19,4.70E-11,3.34E-27,257.1314355,4.57E-07,257.1314359,
70.00000011,70.0000001,70.00000007,4481.375928,4104.556586,2963.82501,1,1.60E-19,4.80E-11,3.34E-27,257.1314354,4.77E-07,257.1314359,
70.00000011,70.0000001,70.00000007,4574.737927,4190.068182,3025.571365,1,1.60E-19,4.90E-11,3.34E-27,257.1314354,4.97E-07,257.1314359,
70.00000012,70.00000011,70.00000008,4668.099925,4275.579777,3087.317719,1,1.60E-19,5.00E-11,3.34E-27,257.1314354,5.18E-07,257.1314359,
70.00000012,70.00000011,70.00000008,4761.461923,4361.091373,3149.064073,1,1.60E-19,5.10E-11,3.34E-27,257.1314354,5.38E-07,257.1314359,
70.00000013,70.00000012,70.00000008,4854.823922,4446.602968,3210.810427,1,1.60E-19,5.20E-11,3.34E-27,257.1314354,5.60E-07,257.1314359,
70.00000013,70.00000012,70.00000009,4948.18592,4532.114564,3272.556781,1,1.60E-19,5.30E-11,3.34E-27,257.1314353,5.82E-07,257.1314359,
70.00000014,70.00000012,70.00000009,5041.547918,4617.626159,3334.303135,1,1.60E-19,5.40E-11,3.34E-27,257.1314353,6.04E-07,257.1314359,
70.00000014,70.00000013,70.00000009,5134.909917,4703.137754,3396.04949,1,1.60E-19,5.50E-11,3.34E-27,257.1314353,6.26E-07,257.1314359,
70.00000015,70.00000013,70.0000001,5228.271915,4788.64935,3457.795844,1,1.60E-19,5.60E-11,3.34E-27,257.1314353,6.49E-07,257.1314359,
70.00000015,70.00000014,70.0000001,5321.633913,4874.160945,3519.542198,1,1.60E-19,5.70E-11,3.34E-27,257.1314352,6.73E-07,257.1314359,
70.00000016,70.00000014,70.0000001,5414.995912,4959.67254,3581.288552,1,1.60E-19,5.80E-11,3.34E-27,257.1314352,6.96E-07,257.1314359,
70.00000016,70.00000015,70.00000011,5508.35791,5045.184136,3643.034906,1,1.60E-19,5.90E-11,3.34E-27,257.1314352,7.21E-07,257.1314359,
70.00000017,70.00000015,70.00000011,5601.719908,5130.695731,3704.78126,1,1.60E-19,6.00E-11,3.34E-27,257.1314352,7.45E-07,257.1314359,
70.00000017,70.00000016,70.00000011,5695.081906,5216.207326,3766.527614,1,1.60E-19,6.10E-11,3.34E-27,257.1314351,7.70E-07,257.1314359,
70.00000018,70.00000016,70.00000012,5788.443905,5301.718922,3828.273968,1,1.60E-19,6.20E-11,3.34E-27,257.1314351,7.96E-07,257.1314359,
70.00000019,70.00000017,70.00000012,5881.805903,5387.230517,3890.020322,1,1.60E-19,6.30E-11,3.34E-27,257.1314351,8.22E-07,257.1314359,
70.00000019,70.00000018,70.00000013,5975.167901,5472.742112,3951.766676,1,1.60E-19,6.40E-11,3.34E-27,257.1314351,8.48E-07,257.1314359,
70.0000002,70.00000018,70.00000013,6068.529899,5558.253708,4013.51303,1,1.60E-19,6.50E-11,3.34E-27,257.131435,8.75E-07,257.1314359,
70.0000002,70.00000019,70.00000013,6161.891898,5643.765303,4075.259385,1,1.60E-19,6.60E-11,3.34E-27,257.131435,9.02E-07,257.1314359,
70.00000021,70.00000019,70.00000014,6255.253896,5729.276898,4137.005739,1,1.60E-19,6.70E-11,3.34E-27,257.131435,9.29E-07,257.1314359,
70.00000022,70.0000002,70.00000014,6348.615894,5814.788493,4198.752093,1,1.60E-19,6.80E-11,3.34E-27,257.131435,9.57E-07,257.1314359,
70.00000022,70.0000002,70.00000015,6441.977892,5900.300089,4260.498446,1,1.60E-19,6.90E-11,3.34E-27,257.1314349,9.86E-07,257.1314359,
70.00000023,70.00000021,70.00000015,6535.33989,5985.811684,4322.2448,1,1.60E-19,7.00E-11,3.34E-27,257.1314349,1.01E-06,257.1314359,
70.00000024,70.00000022,70.00000016,6628.701889,6071.323279,4383.991154,1,1.60E-19,7.10E-11,3.34E-27,257.1314349,1.04E-06,257.1314359,
70.00000024,70.00000022,70.00000016,6722.063887,6156.834874,4445.737508,1,1.60E-19,7.20E-11,3.34E-27,257.1314348,1.07E-06,257.1314359,
70.00000025,70.00000023,70.00000016,6815.425885,6242.346469,4507.483862,1,1.60E-19,7.30E-11,3.34E-27,257.1314348,1.10E-06,257.1314359,
70.00000026,70.00000023,70.00000017,6908.787883,6327.858065,4569.230216,1,1.60E-19,7.40E-11,3.34E-27,257.1314348,1.13E-06,257.1314359,
70.00000026,70.00000024,70.00000017,7002.149881,6413.36966,4630.97657,1,1.60E-19,7.50E-11,3.34E-27,257.1314347,1.16E-06,257.1314359,
70.00000027,70.00000025,70.00000018,7095.511879,6498.881255,4692.722924,1,1.60E-19,7.60E-11,3.34E-27,257.1314347,1.20E-06,257.1314359,
70.00000028,70.00000025,70.00000018,7188.873877,6584.39285,4754.469278,1,1.60E-19,7.70E-11,3.34E-27,257.1314347,1.23E-06,257.1314359,
70.00000028,70.00000026,70.00000019,7282.235876,6669.904445,4816.215632,1,1.60E-19,7.80E-11,3.34E-27,257.1314347,1.26E-06,257.1314359,
70.00000029,70.00000027,70.00000019,7375.597874,6755.41604,4877.961985,1,1.60E-19,7.90E-11,3.34E-27,257.1314346,1.29E-06,257.1314359,
70.0000003,70.00000027,70.0000002,7468.959872,6840.927636,4939.708339,1,1.60E-19,8.00E-11,3.34E-27,257.1314346,1.32E-06,257.1314359,
70.00000031,70.00000028,70.0000002,7562.32187,6926.439231,5001.454693,1,1.60E-19,8.10E-11,3.34E-27,257.1314346,1.36E-06,257.1314359,
70.00000031,70.00000029,70.00000021,7655.683868,7011.950826,5063.201047,1,1.60E-19,8.20E-11,3.34E-27,257.1314345,1.39E-06,257.1314359,
70.00000032,70.00000029,70.00000021,7749.045866,7097.462421,5124.947401,1,1.60E-19,8.30E-11,3.34E-27,257.1314345,1.43E-06,257.1314359,
70.00000033,70.0000003,70.00000022,7842.407864,7182.974016,5186.693754,1,1.60E-19,8.40E-11,3.34E-27,257.1314345,1.46E-06,257.1314359,
70.00000034,70.00000031,70.00000022,7935.769862,7268.485611,5248.440108,1,1.60E-19,8.50E-11,3.34E-27,257.1314344,1.50E-06,257.1314359,
70.00000035,70.00000032,70.00000023,8029.13186,7353.997206,5310.186462,1,1.60E-19,8.60E-11,3.34E-27,257.1314344,1.53E-06,257.1314359,
70.00000035,70.00000032,70.00000023,8122.493858,7439.508801,5371.932815,1,1.60E-19,8.70E-11,3.34E-27,257.1314343,1.57E-06,257.1314359,
70.00000036,70.00000033,70.00000024,8215.855856,7525.020396,5433.679169,1,1.60E-19,8.80E-11,3.34E-27,257.1314343,1.60E-06,257.1314359,
70.00000037,70.00000034,70.00000024,8309.217854,7610.531991,5495.425523,1,1.60E-19,8.90E-11,3.34E-27,257.1314343,1.64E-06,257.1314359,
70.00000038,70.00000035,70.00000025,8402.579852,7696.043586,5557.171876,1,1.60E-19,9.00E-11,3.34E-27,257.1314342,1.68E-06,257.1314359,
70.00000039,70.00000035,70.00000026,8495.94185,7781.555181,5618.91823,1,1.60E-19,9.10E-11,3.34E-27,257.1314342,1.71E-06,257.1314359,
70.0000004,70.00000036,70.00000026,8589.303848,7867.066776,5680.664584,1,1.60E-19,9.20E-11,3.34E-27,257.1314342,1.75E-06,257.1314359,
70.0000004,70.00000037,70.00000027,8682.665845,7952.578371,5742.410937,1,1.60E-19,9.30E-11,3.34E-27,257.1314341,1.79E-06,257.1314359,
70.00000041,70.00000038,70.00000027,8776.027843,8038.089966,5804.157291,1,1.60E-19,9.40E-11,3.34E-27,257.1314341,1.83E-06,257.1314359,
70.00000042,70.00000039,70.00000028,8869.389841,8123.601561,5865.903644,1,1.60E-19,9.50E-11,3.34E-27,257.131434,1.87E-06,257.1314359,
70.00000043,70.00000039,70.00000028,8962.751839,8209.113156,5927.649998,1,1.60E-19,9.60E-11,3.34E-27,257.131434,1.91E-06,257.1314359,
70.00000044,70.0000004,70.00000029,9056.113837,8294.62475,5989.396351,1,1.60E-19,9.70E-11,3.34E-27,257.131434,1.95E-06,257.1314359,
70.00000045,70.00000041,70.0000003,9149.475835,8380.136345,6051.142705,1,1.60E-19,9.80E-11,3.34E-27,257.1314339,1.99E-06,257.1314359,
70.00000046,70.00000042,70.0000003,9242.837832,8465.64794,6112.889058,1,1.60E-19,9.90E-11,3.34E-27,257.1314339,2.03E-06,257.1314359,
70.00000047,70.00000043,70.00000031,9336.19983,8551.159535,6174.635412,1,1.60E-19,1.00E-10,3.34E-27,257.1314338,2.07E-06,257.1314359,
70.00000048,70.00000044,70.00000031,9429.561828,8636.67113,6236.381765,1,1.60E-19,1.01E-10,3.34E-27,257.1314338,2.11E-06,257.1314359,
70.00000049,70.00000044,70.00000032,9522.923826,8722.182725,6298.128119,1,1.60E-19,1.02E-10,3.34E-27,257.1314338,2.15E-06,257.1314359,
70.0000005,70.00000045,70.00000033,9616.285824,8807.694319,6359.874472,1,1.60E-19,1.03E-10,3.34E-27,257.1314337,2.20E-06,257.1314359,
70.0000005,70.00000046,70.00000033,9709.647821,8893.205914,6421.620825,1,1.60E-19,1.04E-10,3.34E-27,257.1314337,2.24E-06,257.1314359,
70.00000051,70.00000047,70.00000034,9803.009819,8978.717509,6483.367179,1,1.60E-19,1.05E-10,3.34E-27,257.1314336,2.28E-06,257.1314359,
70.00000052,70.00000048,70.00000035,9896.371817,9064.229104,6545.113532,1,1.60E-19,1.06E-10,3.34E-27,257.1314336,2.33E-06,257.1314359,
70.00000053,70.00000049,70.00000035,9989.733814,9149.740698,6606.859885,1,1.60E-19,1.07E-10,3.34E-27,257.1314335,2.37E-06,257.1314359,
70.00000054,70.0000005,70.00000036,10083.09581,9235.252293,6668.606238,1,1.60E-19,1.08E-10,3.34E-27,257.1314335,2.41E-06,257.1314359,
70.00000055,70.00000051,70.00000037,10176.45781,9320.763888,6730.352592,1,1.60E-19,1.09E-10,3.34E-27,257.1314335,2.46E-06,257.1314359,
70.00000056,70.00000052,70.00000037,10269.81981,9406.275483,6792.098945,1,1.60E-19,1.10E-10,3.34E-27,257.1314334,2.50E-06,257.1314359,
70.00000058,70.00000053,70.00000038,10363.1818,9491.787077,6853.845298,1,1.60E-19,1.11E-10,3.34E-27,257.1314334,2.55E-06,257.1314359,
70.00000059,70.00000054,70.00000039,10456.5438,9577.298672,6915.591651,1,1.60E-19,1.12E-10,3.34E-27,257.1314333,2.60E-06,257.1314359,
70.0000006,70.00000055,70.00000039,10549.9058,9662.810266,6977.338004,1,1.60E-19,1.13E-10,3.34E-27,257.1314333,2.64E-06,257.1314359,
70.00000061,70.00000056,70.0000004,10643.2678,9748.321861,7039.084358,1,1.60E-19,1.14E-10,3.34E-27,257.1314332,2.69E-06,257.1314359,
70.00000062,70.00000057,70.00000041,10736.6298,9833.833456,7100.830711,1,1.60E-19,1.15E-10,3.34E-27,257.1314332,2.74E-06,257.1314359,
70.00000063,70.00000058,70.00000042,10829.99179,9919.34505,7162.577064,1,1.60E-19,1.16E-10,3.34E-27,257.1314331,2.79E-06,257.1314359,
70.00000064,70.00000059,70.00000042,10923.35379,10004.85664,7224.323417,1,1.60E-19,1.17E-10,3.34E-27,257.1314331,2.83E-06,257.1314359,
70.00000065,70.0000006,70.00000043,11016.71579,10090.36824,7286.06977,1,1.60E-19,1.18E-10,3.34E-27,257.131433,2.88E-06,257.1314359,
70.00000066,70.00000061,70.00000044,11110.07779,10175.87983,7347.816123,1,1.60E-19,1.19E-10,3.34E-27,257.131433,2.93E-06,257.1314359,
70.00000067,70.00000062,70.00000044,11203.43978,10261.39143,7409.562476,1,1.60E-19,1.20E-10,3.34E-27,257.1314329,2.98E-06,257.1314359,
70.00000068,70.00000063,70.00000045,11296.80178,10346.90302,7471.308829,1,1.60E-19,1.21E-10,3.34E-27,257.1314329,3.03E-06,257.1314359,
70.00000069,70.00000064,70.00000046,11390.16378,10432.41462,7533.055182,1,1.60E-19,1.22E-10,3.34E-27,257.1314328,3.08E-06,257.1314359,
70.00000071,70.00000065,70.00000047,11483.52577,10517.92621,7594.801535,1,1.60E-19,1.23E-10,3.34E-27,257.1314328,3.13E-06,257.1314359,
70.00000072,70.00000066,70.00000047,11576.88777,10603.43781,7656.547888,1,1.60E-19,1.24E-10,3.34E-27,257.1314327,3.18E-06,257.1314359,
70.00000073,70.00000067,70.00000048,11670.24977,10688.9494,7718.29424,1,1.60E-19,1.25E-10,3.34E-27,257.1314327,3.23E-06,257.1314359,
70.00000074,70.00000068,70.00000049,11763.61177,10774.46099,7780.040593,1,1.60E-19,1.26E-10,3.34E-27,257.1314326,3.29E-06,257.1314359,
