"X","Y","Z","Vx","Vy","Vz","Polarity","Charge","Time","Mass","Electric Potential Energy","Kinetic Energy","Total Energy","V/Cm"
"40.0","40.0","0.0","0.0","0.0","0.0","1","1.602176634E-19","0.0","3.3444950551171926E-27","-12042.964831791283","0.0","-12042.9648317912834.5829276228762875E-14"
"-3219465.6413326357","-3228311.272983429","275320.07298806735","-2414629.2309994767","-2421263.4547375715","206490.05474105064","1","1.602176634E-19","5.0E-10","3.3444950551171926E-27","-1.3600070926429372E-8","0.12248842967440891","0.122488416074337982.121123434612993E-30"
"-3219465.64253995","-3228311.2741940604","275320.0730913126","-2414629.2309994767","-2421263.4547375715","206490.05474105093","1","1.602176634E-19","1.0E-9","3.3444950551171926E-27","-1.3600073030164211E-8","0.12248842967440891","0.122488416074335892.1211234149787572E-30"
"-3219465.643747265","-3228311.275404692","275320.0731945579","-2414629.2309994767","-2421263.4547375715","206490.05474105122","1","1.602176634E-19","1.5000000000000002E-9","3.3444950551171926E-27","-1.3600072431995895E-8","0.12248842967440891","0.122488416074336482.1211234822699275E-30"
"-3219465.6449545794","-3228311.2766153235","275320.0732978032","-2414629.2309994767","-2421263.4547375715","206490.05474105148","1","1.602176634E-19","2.0E-9","3.3444950551171926E-27","-1.3600073909488125E-8","0.12248842967440891","0.1224884160743352.121123423218127E-30"
"-3219465.6461618943","-3228311.2778259553","275320.07340104843","-2414629.2309994767","-2421263.4547375715","206490.05474105178","1","1.602176634E-19","2.5E-9","3.3444950551171926E-27","-1.3600073732130125E-8","0.12248842967440891","0.122488416074335182.1211234199839897E-30"
"-3219465.6473692087","-3228311.2790365866","275320.0735042937","-2414629.2309994767","-2421263.4547375715","206490.05474105207","1","1.602176634E-19","3.0E-9","3.3444950551171926E-27","-1.3600074787765881E-8","0.12248842967440891","0.122488416074334122.1211234899814523E-30"
"-3219465.6485765236","-3228311.2802472184","275320.073607539","-2414629.2309994767","-2421263.4547375715","206490.05474105236","1","1.602176634E-19","3.5E-9","3.3444950551171926E-27","-1.3600074920763567E-8","0.12248842967440891","0.122488416074333992.1211234190175702E-30"
"-3219465.649783838","-3228311.28145785","275320.07371078426","-2414629.2309994767","-2421263.4547375715","206490.05474105262","1","1.602176634E-19","4.0E-9","3.3444950551171926E-27","-1.3600071224263754E-8","0.12248842967440891","0.122488416074337692.1211234240119608E-30"
"-3219465.650991153","-3228311.2826684816","275320.0738140295","-2414629.2309994767","-2421263.4547375715","206490.0547410529","1","1.602176634E-19","4.500000000000001E-9","3.3444950551171926E-27","-1.3600074198462751E-8","0.12248842967440891","0.122488416074334722.121123465719839E-30"
"-3219465.6521984674","-3228311.283879113","275320.07391727477","-2414629.2309994767","-2421263.4547375715","206490.0547410532","1","1.602176634E-19","5.000000000000001E-9","3.3444950551171926E-27","-1.3600070161599922E-8","0.12248842967440891","0.122488416074338752.121123421141115E-30"
"-3219465.6534057823","-3228311.2850897447","275320.07402052","-2414629.2309994767","-2421263.4547375715","206490.0547410535","1","1.602176634E-19","5.500000000000001E-9","3.3444950551171926E-27","-1.360007324527798E-8","0.12248842967440893","0.122488416074335682.121123418035484E-30"
"-3219465.6546130967","-3228311.286300376","275320.07412376534","-2414629.2309994767","-2421263.4547375715","206490.05474105375","1","1.602176634E-19","6.000000000000002E-9","3.3444950551171926E-27","-1.360007364179682E-8","0.12248842967440893","0.122488416074335292.1211234676675178E-30"
"-3219465.6558204116","-3228311.287511008","275320.0742270106","-2414629.2309994767","-2421263.4547375715","206490.05474105405","1","1.602176634E-19","6.500000000000002E-9","3.3444950551171926E-27","-1.3600075432413976E-8","0.12248842967440893","0.12248841607433352.121123433089374E-30"
"-3219465.657027726","-3228311.288721639","275320.07433025585","-2414629.2309994767","-2421263.4547375715","206490.05474105434","1","1.602176634E-19","7.000000000000002E-9","3.3444950551171926E-27","-1.3600074881579738E-8","0.12248842967440893","0.122488416074334042.1211233904495692E-30"
"-3219465.658235041","-3228311.289932271","275320.0744335011","-2414629.2309994767","-2421263.4547375715","206490.05474105463","1","1.602176634E-19","7.500000000000003E-9","3.3444950551171926E-27","-1.3600072765441242E-8","0.12248842967440893","0.122488416074336162.1211234319300108E-30"
"-3219465.6594423554","-3228311.2911429023","275320.0745367464","-2414629.2309994767","-2421263.4547375715","206490.05474105492","1","1.602176634E-19","8.000000000000002E-9","3.3444950551171926E-27","-1.3600073632951545E-8","0.12248842967440893","0.122488416074335292.121123394121758E-30"
"-3219465.6606496703","-3228311.292353534","275320.0746399917","-2414629.2309994767","-2421263.4547375715","206490.05474105518","1","1.602176634E-19","8.500000000000002E-9","3.3444950551171926E-27","-1.3600068804573213E-8","0.12248842967440893","0.122488416074340122.121123421886346E-30"
"-3219465.6618569847","-3228311.2935641655","275320.07474323694","-2414629.2309994767","-2421263.4547375715","206490.05474105547","1","1.602176634E-19","9.000000000000001E-9","3.3444950551171926E-27","-1.3600072909914075E-8","0.12248842967440893","0.122488416074336012.1211234015842104E-30"
"-3219465.6630642996","-3228311.2947747973","275320.0748464822","-2414629.2309994767","-2421263.4547375715","206490.05474105576","1","1.602176634E-19","9.5E-9","3.3444950551171926E-27","-1.3600072867050598E-8","0.12248842967440893","0.122488416074336052.1211233993164106E-30"
"-3219465.664271614","-3228311.2959854286","275320.0749497275","-2414629.2309994767","-2421263.4547375715","206490.05474105605","1","1.602176634E-19","1.0E-8","3.3444950551171926E-27","-1.3600074681591807E-8","0.12248842967440893","0.122488416074334252.121123405043634E-30"
