"X","Y","Z","Vx","Vy","Vz","Polarity","Time","Mass","Electric Potential Energy","Kinetic Energy"
"50.0","50.0","0.0","-204709.11281112052","-208198.07686273856","-102310.22717969997","1","1.0E-15","3.3434059999999994E-27","987.8681595590632","8.358514999999999E-24","987.8681595590632"
"49.99999999938588","49.999999999375405","-3.0693068153909994E-10","-614127.3384355529","-624594.2305901491","-306930.6815388722","1","3.0000000000000002E-15","3.3434059999999994E-27","987.86815963742","8.358514999930972E-24","987.86815963742"
"49.99999999877175","49.99999999875081","-6.138613630779722E-10","-818836.4512532452","-832792.3074586904","-409240.90871788905","1","4.0E-15","3.3434059999999994E-27","987.8681597941084","8.358514999792922E-24","987.8681597941084"
"49.99999999795291","49.99999999791802","-1.0231022717958613E-9","-1023545.5640775092","-1040990.3843330342","-511551.1358962229","1","5.000000000000001E-15","3.3434059999999994E-27","987.8681600292972","8.358514999585843E-24","987.8681600292972"
"49.99999999692937","49.99999999687703","-1.5346534076920842E-9","-1228254.6769105361","-1249188.4612151154","-613861.3630736462","1","6.000000000000001E-15","3.3434059999999994E-27","987.8681603423751","8.358514999309741E-24","987.8681603423751"
"49.99999999570112","49.99999999562784","-2.1485147707657306E-9","-1432963.789754514","-1457386.5381068697","-716171.5902499321","1","7.000000000000002E-15","3.3434059999999994E-27","987.8681607341314","8.358514998964611E-24","987.8681607341314"
"49.99999999426815","49.99999999417045","-2.8646863610156627E-9","-1637672.9026116352","-1665584.6150102282","-818481.8174248532","1","8.000000000000002E-15","3.3434059999999994E-27","987.8681612041102","8.358514998550458E-24","987.8681612041102"
"49.99999999263048","49.99999999250487","-3.683168178440516E-9","-1842382.0154840897","-1873782.6919271278","-920792.0445981807","1","9.000000000000003E-15","3.3434059999999994E-27","987.8681617523682","8.358514998067276E-24","987.8681617523682"
"49.9999999907881","49.99999999063109","-4.603960223038696E-9","-2047091.1283740685","-2081980.7688595022","-1023102.2717696875","1","1.0000000000000003E-14","3.3434059999999994E-27","987.8681623790497","8.35851499751507E-24","987.8681623790497"
"49.99999998874101","49.999999988549106","-5.627062494808384E-9","-2251800.241283762","-2290178.8458092846","-1125412.4989391465","1","1.1000000000000004E-14","3.3434059999999994E-27","987.8681630840703","8.358514996893839E-24","987.8681630840703"
"49.99999998648921","49.99999998625893","-6.752474993747531E-9","-2456509.35421536","-2498376.922778412","-1227722.7261063308","1","1.2000000000000004E-14","3.3434059999999994E-27","987.8681638673254","8.358514996203581E-24","987.8681638673254"
"49.9999999840327","49.99999998376055","-7.980197719853861E-9","-2661218.467171053","-2706574.999768817","-1330032.9532710114","1","1.3000000000000005E-14","3.3434059999999994E-27","987.8681647289295","8.358514995444297E-24","987.8681647289295"
"49.99999998137148","49.999999981053975","-9.310230673124873E-9","-2865927.5801530313","-2914773.0767824342","-1432343.180432961","1","1.4000000000000005E-14","3.3434059999999994E-27","987.8681656689583","8.358514994615986E-24","987.8681656689583"
"49.999999978505556","49.9999999781392","-1.0742573853557834E-8","-3070636.693163485","-3122971.153821198","-1534653.407591952","1","1.5000000000000006E-14","3.3434059999999994E-27","987.8681666871705","8.35851499371865E-24","987.8681666871705"
"49.99999997543492","49.99999997501623","-1.2277227261149786E-8","-3275345.806204606","-3331169.2308870414","-1636963.6347477578","1","1.6000000000000004E-14","3.3434059999999994E-27","987.8681677838686","8.358514992752288E-24","987.8681677838686"
"49.99999997215957","49.999999971685064","-1.3914190895897544E-8","-3480054.9192785854","-3539367.307981902","-1739273.861900151","1","1.7000000000000003E-14","3.3434059999999994E-27","987.8681689588639","8.358514991716903E-24","987.8681689588639"
"49.99999996867952","49.999999968145694","-1.5653464757797696E-8","-3684764.032387612","-3747565.385107711","-1841584.089048903","1","1.8000000000000002E-14","3.3434059999999994E-27","987.8681702121595","8.358514990612489E-24","987.8681702121595"
"49.99999996499476","49.99999996439813","-1.7495048846846598E-8","-3889473.145533877","-3955763.462266405","-1943894.3161937855","1","1.9E-14","3.3434059999999994E-27","987.8681715436155","8.358514989439049E-24","987.8681715436155"
"49.99999996110528","49.999999960442366","-1.9438943163040384E-8","-4094182.258719571","-4163961.539459917","-2046204.5433345719","1","2.0E-14","3.3434059999999994E-27","987.8681729536327","8.358514988196587E-24","987.8681729536327"
"49.9999999570111","49.99999995627841","-2.1485147706374955E-8","-4298891.371946883","-4372159.616690182","-2148514.770471035","1","2.1E-14","3.3434059999999994E-27","987.8681744419104","8.358514986885095E-24","987.8681744419104"
"49.99999995271221","49.99999995190625","-2.363366247684599E-8","-4503600.485218004","-4580357.693959133","-2250824.9976029466","1","2.1999999999999998E-14","3.3434059999999994E-27","987.8681760086793","8.358514985504578E-24","987.8681760086793"
"49.99999994820861","49.99999994732589","-2.5884487474448937E-8","-4708309.598535126","-4788555.771268706","-2353135.2247300795","1","2.2999999999999997E-14","3.3434059999999994E-27","987.8681776534675","8.358514984055036E-24","987.8681776534675"
"49.9999999435003","49.999999942537336","-2.8237622699179015E-8","-4913018.711900439","-4996753.848620833","-2455445.451852206","1","2.3999999999999996E-14","3.3434059999999994E-27","987.868179376767","8.35851498253647E-24","987.868179376767"
"49.99999993858728","49.99999993754058","-3.069306815103122E-8","-5117727.825316133","-5204951.926017451","-2557755.6789690987","1","2.4999999999999994E-14","3.3434059999999994E-27","987.8681811783642","8.358514980948876E-24","987.8681811783642"
"49.99999993346955","49.999999932335626","-3.3250823830000317E-8","-5322436.938784398","-5413150.003460494","-2660065.9060805305","1","2.5999999999999993E-14","3.3434059999999994E-27","987.8681830582858","8.358514979292255E-24","987.8681830582858"
