"X","Y","Z","Vx","Vy","Vz","Polarity","Time","Mass","Electric Potential Energy","Kinetic Energy"
"50.0","50.0","0.0","-2.047091128111205E10","-2.0819807686273853E10","-1.0231022717969997E10","1","1.0E-10","3.3434059999999994E-27","987.8681595590632","8.358514999999999E-24","987.8681595590632"
"43.858726615666384","43.75405769411784","-3.0693068153909993","-6.372564810849368E10","-6.462993298904151E10","-3.04752083193052E10","1","3.0E-10","3.3434059999999994E-27","1793.8355604969233","7.684258293680475E-24","1793.8355604969233"
"37.486161804817016","37.29106439521369","-6.11682764732152","-9.172738647472656E10","-9.27771250904879E10","-3.99584203518541E10","1","4.0E-10","3.3434059999999994E-27","3556.628442668749","6.431753769320449E-24","3556.628442668749"
"28.31342315734436","28.013351886164898","-10.11266968250693","-1.3015046078097626E11","-1.3131161890526782E11","-4.761466608998156E10","1","5.0E-10","3.3434059999999994E-27","6829.433827882522","4.736354850175689E-24","6829.433827882522"
"15.298377079246734","14.882189995638115","-14.874136291505085","-1.9270942681775323E11","-1.935537782011773E11","-4.552512655929425E10","1","6.0E-10","3.3434059999999994E-27","13340.83979460511","2.8229445124569953E-24","13340.83979460511"
"-3.97256560252859","-4.473187824479616","-19.42664894743451","-3.488775072175324E11","-2.9733836709403906E11","6.984826062307057E10","1","7.0E-10","3.3434059999999994E-27","29753.267895281617","1.1313414727672297E-24","29753.267895281617"
"-38.86031632428183","-34.207024533883526","-12.441822885127454","2.0364562255382935E10","-3.856773741208362E11","4.122954862686794E11","1","7.999999999999999E-10","3.3434059999999994E-27","43564.12548429854","6.907232327930707E-25","43564.12548429854"
"-36.82386009874354","-72.77476194596714","28.787725741740484","6.20691383146545E10","-3.4909764183427026E11","4.100307259021077E11","1","8.999999999999999E-10","3.3434059999999994E-27","7050.774460910004","4.739351006581314E-24","7050.774460910004"
"-30.616946267278088","-107.68452612939417","69.79079833195127","8.01619842702248E10","-3.12823557723464E11","3.9046058453012964E11","1","9.999999999999999E-10","3.3434059999999994E-27","-364.18492435961554","1.2505835955301526E-23","-364.18492435961554"
"-22.600747840255607","-138.96688190174058","108.83685678496423","8.46804890347519E10","-2.969566634134946E11","3.782361293535902E11","1","1.1E-9","3.3434059999999994E-27","-223.7819823352674","2.9094503063585955E-23","-223.7819823352674"
"-14.132698936780416","-168.66254824309004","146.66046972032325","8.609196343114127E10","-2.882937916850537E11","3.704613128778048E11","1","1.2E-9","3.3434059999999994E-27","-146.2056978704755","5.293957329188337E-23","-146.2056978704755"
"-5.52350259366629","-197.4919274115954","183.70660100810375","8.654851322166325E10","-2.828625263673678E11","3.651616284802811E11","1","1.3E-9","3.3434059999999994E-27","-102.56383092615528","8.38460723091185E-23","-102.56383092615528"
"3.1313487285000363","-225.7781800483322","220.22276385613185","8.66535088587333E10","-2.7913860022223193E11","3.61330802930293E11","1","1.4000000000000001E-9","3.3434059999999994E-27","-76.11294951739754","1.2166936237588564E-22","-76.11294951739754"
"11.796699614373367","-253.69204007055538","256.35584414916116","8.661639195374811E10","-2.7642405138222107E11","3.584346515811504E11","1","1.5000000000000002E-9","3.3434059999999994E-27","-58.82980820921262","1.6630712894653446E-22","-58.82980820921262"
"20.458338809748177","-281.3344452087775","292.19930930727617","8.652056900575203E10","-2.7435567088612793E11","3.56168217731042E11","1","1.6000000000000003E-9","3.3434059999999994E-27","-46.88951705464769","2.1768437046050155E-22","-46.88951705464769"
"29.11039571032338","-308.7700122973903","327.8161310803804","8.64023162000296E10","-2.7272604870104004E11","3.543457859809226E11","1","1.7000000000000003E-9","3.3434059999999994E-27","-38.281955162699646","2.7574415010844606E-22","-38.281955162699646"
"37.75062733032634","-336.0426171674943","363.2507096784726","8.627825006768724E10","-2.7140814328466153E11","3.5284806348940295E11","1","1.8000000000000004E-9","3.3434059999999994E-27","-31.865200671137497","3.4044190041319924E-22","-31.865200671137497"
"46.37845233709506","-363.18343149596046","398.5355160274129","8.615612245979564E10","-2.7031977107699948E11","3.5159499606411115E11","1","1.9000000000000005E-9","3.3434059999999994E-27","-26.949867869738704","4.1174183390347186E-22","-26.949867869738704"
"54.994064583074625","-390.2154086036604","433.695015633824","8.603946372017435E10","-2.69405392044108E11","3.5053087954266266E11","1","2.0000000000000005E-9","3.3434059999999994E-27","-23.09902178477902","4.896145988743966E-22","-23.09902178477902"
"63.59801095509206","-417.15594780807123","468.7481035880903","8.592972157358655E10","-2.6862610620512082E11","3.496157584591597E11","1","2.1000000000000006E-9","3.3434059999999994E-27","-20.02447820283633","5.740356932326677E-22","-20.02447820283633"
