energy (eV),count,cdf,cos
9.999999999999999e-06,2,[0.5 0.5][0. 1.],[-1.  1.]
1.9999999999999998e-05,2,[0.5 0.5][0. 1.],[-1.  1.]
5e-05,2,[0.5 0.5][0. 1.],[-1.  1.]
0.0001,2,[0.5 0.5][0. 1.],[-1.  1.]
0.0002,2,[0.5 0.5][0. 1.],[-1.  1.]
0.0005,2,[0.5 0.5][0. 1.],[-1.  1.]
0.001,2,[0.5 0.5][0. 1.],[-1.  1.]
0.002,2,[0.5 0.5][0. 1.],[-1.  1.]
0.005,2,[0.5 0.5][0. 1.],[-1.  1.]
0.01,2,[0.5 0.5][0. 1.],[-1.  1.]
0.02,2,[0.5 0.5][0. 1.],[-1.  1.]
0.049999999999999996,2,[0.5 0.5][0. 1.],[-1.  1.]
0.09999999999999999,2,[0.5 0.5][0. 1.],[-1.  1.]
0.19999999999999998,2,[0.5 0.5][0. 1.],[-1.  1.]
0.5,2,[0.4999999 0.5000001][0. 1.],[-1.  1.]
1.0,2,[0.4999998 0.5000002][0. 1.],[-1.  1.]
2.0,2,[0.4999997 0.5000003][0. 1.],[-1.  1.]
5.0,2,[0.4999992 0.5000008][0. 1.],[-1.  1.]
10.0,2,[0.4999985 0.5000015][0. 1.],[-1.  1.]
20.0,2,[0.4999969 0.5000031][0. 1.],[-1.  1.]
50.0,2,[0.4999923 0.5000077][0. 1.],[-1.  1.]
100.0,2,[0.4999845 0.5000155][0. 1.],[-1.  1.]
200.0,2,[0.4999688 0.5000312][0. 1.],[-1.  1.]
400.0,2,[0.4999369 0.5000631][0. 1.],[-1.  1.]
600.0,2,[0.4999044 0.5000956][0. 1.],[-1.  1.]
1000.0,2,[0.499838 0.500162][0. 1.],[-1.  1.]
2000.0,2,[0.499666  0.5003341][0. 1.],[-1.  1.]
3000.0,2,[0.4994865 0.5005135][0. 1.],[-1.  1.]
4000.0,2,[0.4993007 0.5006993][0. 1.],[-1.  1.]
5000.0,2,[0.499109 0.500891][0. 1.],[-1.  1.]
6000.0,2,[0.4989118 0.5010882][0. 1.],[-1.  1.]
7000.0,2,[0.4987094 0.5012906][0. 1.],[-1.  1.]
10000.0,2,[0.4980727 0.5019273][0. 1.],[-1.  1.]
15000.0,2,[0.4969199 0.5030801][0. 1.],[-1.  1.]
20000.0,2,[0.4956604 0.5043396][0. 1.],[-1.  1.]
25000.0,2,[0.4942993 0.5057007][0. 1.],[-1.  1.]
30000.0,2,[0.4928399 0.5071602][0. 1.],[-1.  1.]
40000.0,2,[0.4896321 0.5103679][0. 1.],[-1.  1.]
50000.0,3,[0.4863855 0.4996448 0.5143249][0.        0.4930152 1.       ],[-1.  0.  1.]
60000.0,3,[0.4825691 0.4994635 0.5185039][0.        0.4910163 1.       ],[-1.  0.  1.]
70000.0,3,[0.4783673 0.4992407 0.5231514][0.       0.488804 1.      ],[-1.  0.  1.]
80000.0,5,[0.4739741 0.4860957 0.4992311 0.5133917 0.5285889][0.        0.2400175 0.4863492 0.7395049 1.       ],[-1.  -0.5  0.   0.5  1. ]
90000.0,5,[0.4689128 0.4832969 0.4989988 0.5160357 0.5344243][0.         0.23805242 0.48362635 0.73738497 1.        ],[-1.  -0.5  0.   0.5  1. ]
100000.0,5,[0.4632856 0.4801754 0.4987318 0.5189792 0.5409416][0.        0.2358653 0.4805921 0.7350199 1.       ],[-1.  -0.5  0.   0.5  1. ]
120000.0,5,[0.4499533 0.4727612 0.4980816 0.5259599 0.5564414][0.        0.2306786 0.4733893 0.7293997 1.       ],[-1.  -0.5  0.   0.5  1. ]
140000.0,9,[0.4333079 0.4480033 0.463589  0.4800748 0.4974706 0.5157862 0.5350314  0.555216  0.5763496][0.        0.1101639 0.2241129 0.3420709 0.4642641 0.5909212 0.7222734  0.8585543 1.       ],[-1.   -0.75 -0.5  -0.25  0.    0.25  0.5   0.75  1.  ]
160000.0,9,[0.4120341 0.4312692 0.4517418 0.473468  0.496464  0.5207459 0.5463296  0.5732312 0.6014663][0.         0.10541291 0.21578932 0.33144053 0.45268204 0.57983326  0.71321767 0.85316278 1.        ],[-1.   -0.75 -0.5  -0.25  0.    0.25  0.5   0.75  1.  ]
180000.0,9,[0.3852207 0.4101247 0.4367262 0.4650505 0.4951231 0.5269691 0.5606138  0.5960823 0.6333999][0.         0.09941818 0.2052745  0.3179966  0.4380183  0.5657798  0.7017277  0.8463147  1.        ],[-1.   -0.75 -0.5  -0.25  0.    0.25  0.5   0.75  1.  ]
200000.0,9,[0.3517676 0.3836331 0.4178182 0.4543615 0.4933018 0.5346778 0.5785283  0.6248919 0.6738073][0.         0.09192509 0.1921065  0.301129   0.4195869  0.5480844  0.6872352  0.8376627  1.        ],[-1.   -0.75 -0.5  -0.25  0.    0.25  0.5   0.75  1.  ]
220000.0,17,[0.3107949 0.3305175 0.3510266 0.3723294 0.3944331 0.417345  0.4410722  0.4656219 0.4910014 0.517218  0.5442788 0.5721913 0.6009626 0.6306  0.661111  0.6925027 0.7247825][0.         0.04008203 0.08267854 0.1278883  0.175811   0.2265471  0.2801982  0.3368666  0.3966556  0.4596693  0.5260129  0.5957923  0.6691144  0.7460871  0.826819   0.9114199  1.        ],[-1.    -0.875 -0.75  -0.625 -0.5   -0.375 -0.25  -0.125  0.     0.125   0.25   0.375  0.5    0.625  0.75   0.875  1.   ]
250000.0,17,[0.2341193 0.2610413 0.2892244 0.3186809 0.3494231 0.3814636 0.4148147  0.449489  0.4854994 0.5228583 0.5615788 0.6016736 0.6431557 0.6860381  0.7303339 0.7760563 0.8232186][0.         0.03094754 0.06533915 0.1033332  0.1450897  0.1907701  0.2405375  0.2945565  0.3529933  0.4160157  0.483793   0.5564963  0.6342981  0.7173727  0.805896   0.9000454  1.        ],[-1.    -0.875 -0.75  -0.625 -0.5   -0.375 -0.25  -0.125  0.     0.125   0.25   0.375  0.5    0.625  0.75   0.875  1.   ]
280000.0,26,[0.1453376 0.1622737 0.1797053 0.1976346 0.2160642 0.2349964 0.2544337  0.2743786 0.2948336 0.3158011 0.3372837 0.359284  0.3818044 0.4048475  0.428416  0.4525123 0.4771392 0.5022991 0.5279949 0.5810044 0.6361891  0.6935705 0.7531707 0.8150118 0.8791161 0.9455063][0.         0.00961285 0.0202997  0.03209157 0.04501966 0.0591153  0.07440999 0.09093537 0.1087233  0.1278056  0.1482145  0.1699822  0.1931412  0.2177241  0.2437636  0.2712926  0.3003442  0.3309516  0.3631483  0.4324608  0.5085354  0.5916454  0.6820667  0.7800781  0.8859611  1.        ],[-1.     -0.9375 -0.875  -0.8125 -0.75   -0.6875 -0.625  -0.5625 -0.5  -0.4375 -0.375  -0.3125 -0.25   -0.1875 -0.125  -0.0625  0.      0.0625   0.125   0.25    0.375   0.5     0.625   0.75    0.875   1.    ]
