energy (eV), scatter (barn), absorb (barn), total (barn)
9.999999999999999e-06,19.46408,774.6586,794.12268
1.03125e-05,19.17077,762.8311,782.00187
1.0625e-05,18.89055,751.5293,770.41985
1.09375e-05,18.62248,740.7153,759.33778
1.125e-05,18.36571,730.3552,748.72091
1.15625e-05,18.11948,720.4179,738.53738
1.1874999999999999e-05,17.88307,710.8755,728.75857
1.21875e-05,17.65587,701.7025,719.35837
1.25e-05,17.43728,692.8757,710.31298
1.28125e-05,17.22678,684.3739,701.60068
1.3125e-05,17.02389,676.1775,693.20139
1.34375e-05,16.82815,668.2687,685.09685
1.3749999999999999e-05,16.63917,660.6311,677.27027
1.4375e-05,16.27997,646.1099,662.38987
1.5e-05,15.9436,632.5061,648.4497
1.5625e-05,15.62774,619.7269,635.35464
1.625e-05,15.3304,607.6922,623.0226
1.6875e-05,15.04986,596.3325,611.38236
1.7500000000000002e-05,14.78459,585.5869,600.37149
1.8125e-05,14.53326,575.402,589.93526
1.875e-05,14.2947,565.7307,580.0254
1.9375e-05,14.06787,556.5312,570.59907
1.9999999999999998e-05,13.85185,547.7664,561.61825
2.0937499999999997e-05,13.54629,535.3625,548.90879
2.1875e-05,13.26076,523.7648,537.02556
2.28125e-05,12.99318,512.8896,525.88278
2.3749999999999998e-05,12.74176,502.6649,515.40666
2.46875e-05,12.50494,493.0283,505.53324
2.5625e-05,12.28137,483.9254,496.20677
2.65625e-05,12.06988,475.3088,487.37868
2.7499999999999998e-05,11.86941,467.1367,479.00611
2.84375e-05,11.67906,459.3721,471.05116
2.9375000000000003e-05,11.498,451.9823,463.4803
3.0312499999999998e-05,11.32551,444.938,456.26351
3.125e-05,11.16095,438.2131,449.37405
3.2187499999999996e-05,11.00372,431.7842,442.78792
3.3125e-05,10.8533,425.6302,436.4835
3.40625e-05,10.70923,419.732,430.44123
3.5000000000000004e-05,10.57106,414.0725,424.64356
3.59375e-05,10.43842,408.6358,419.07422
3.6875e-05,10.31095,403.4079,413.71885
3.78125e-05,10.18832,398.3756,408.56392
3.875e-05,10.07023,393.527,403.59723
3.9687499999999996e-05,9.956429,388.8512,398.807629
4.0625000000000005e-05,9.846652,384.3383,394.184952
4.25e-05,9.638286,375.7647,385.402986
4.4375e-05,9.443502,367.7403,377.183802
4.625e-05,9.260904,360.209,369.469904
4.8125000000000004e-05,9.089289,353.1222,362.211489
5e-05,8.927614,346.4379,355.365514
5.15625e-05,8.799816,341.1484,349.948216
5.3125e-05,8.67782,336.0941,344.77192
5.46875e-05,8.561206,331.258,339.819206
5.625e-05,8.449596,326.6248,335.074396
5.78125e-05,8.342649,322.1807,330.523349
5.9375e-05,8.240052,317.9132,326.153252
6.0937500000000004e-05,8.141525,313.8109,321.952425
6.25e-05,8.046809,309.8635,317.910309
6.40625e-05,7.955669,306.0613,314.016969
6.562500000000001e-05,7.867893,302.3958,310.263693
6.71875e-05,7.783278,298.8589,306.642178
6.874999999999999e-05,7.701645,295.4432,303.144845
7.1875e-05,7.546667,288.9492,296.495867
7.5e-05,7.401763,282.8654,290.267163
7.8125e-05,7.265909,277.1503,284.416209
8.125000000000001e-05,7.138221,271.7683,278.906521
8.4375e-05,7.017928,266.688,273.705928
8.75e-05,6.904361,261.8824,268.786761
9.0625e-05,6.79693,257.3276,264.12453
9.375e-05,6.695114,253.0025,259.697614
9.6875e-05,6.598453,248.8884,255.486853
0.0001,6.506537,244.9686,251.475137
0.000103125,6.419001,241.2284,247.647401
0.00010625,6.335517,237.6545,243.990017
0.000109375,6.255791,234.2348,240.490591
0.0001125,6.179557,230.9586,237.138157
0.000115625,6.106575,227.8162,233.922775
0.00011875,6.036628,224.7986,230.835228
0.00012187500000000001,5.969517,221.8979,227.867417
0.000125,5.905063,219.1066,225.011663
0.000128125,5.843099,216.4181,222.261199
0.00013125000000000002,5.783476,213.8261,219.609576
0.000134375,5.726054,211.3252,217.051254
0.00013749999999999998,5.670706,208.9099,214.580606
0.00014375,5.565772,204.318,209.883772
0.00015,5.467837,200.016,205.483837
0.00015625,5.376185,195.9749,201.351085
0.00016250000000000002,5.290197,192.1692,197.459397
0.00016875,5.209334,188.5769,193.786234
0.000175,5.133127,185.1789,190.312027
0.00018125,5.061165,181.9581,187.019265
0.0001875,4.993084,178.8998,183.892884
0.00019375,4.928564,175.9907,180.919264
0.0002,4.867317,173.219,178.086317
0.00020937499999999998,4.781038,169.2966,174.077638
0.00021875,4.700806,165.629,170.329806
0.000228125,4.625981,162.19,166.815981
0.0002375,4.556012,158.9567,163.512712
0.00024687499999999997,4.490422,155.9093,160.399722
0.00025625,4.428797,153.0307,157.459497
0.000265625,4.370775,150.3059,154.676675
0.00027499999999999996,4.316037,147.7217,152.037737
0.000284375,4.264303,145.2663,149.530603
0.00029375,4.215324,142.9294,147.144724
0.00030312499999999995,4.168879,140.7018,144.870679
0.0003125,4.12477,138.5752,142.69997
0.000321875,4.082821,136.5422,140.625021
0.00033125,4.042871,134.5962,138.639071
0.000340625,4.004779,132.731,136.735779
0.00035,3.968413,130.9413,134.909713
0.000359375,3.933657,129.2221,133.155757
0.00036875,3.900403,127.5688,131.469203
0.00037812500000000004,3.868555,125.9775,129.846055
0.0003875,3.838022,124.4442,128.282222
0.000396875,3.808724,122.9656,126.774324
0.00040625000000000004,3.780585,121.5385,125.319085
0.000425,3.727518,118.8273,122.554818
0.00044374999999999997,3.678333,116.2898,119.968133
0.0004625,3.632614,113.9082,117.540814
0.00048124999999999996,3.590003,111.6671,115.257103
0.0005,3.55019,109.5534,113.10359
0.0005156249999999999,3.518955,107.8807,111.399655
0.00053125,3.489339,106.2824,109.771739
0.000546875,3.461218,104.7531,108.214318
0.0005625,3.434481,103.2879,106.722381
0.000578125,3.409029,101.8826,105.291629
0.0005937500000000001,3.38477,100.5331,103.91787
0.000609375,3.361623,99.23582,102.597443
0.000625,3.339512,97.98752,101.327032
0.000640625,3.31837,96.78518,100.10355
0.0006562499999999999,3.298135,95.62604,98.924175
0.0006718750000000001,3.27875,94.50756,97.78631
0.0006875,3.260162,93.42744,96.687602
0.00071875,3.22519,91.37384,94.59903
0.00075,3.192879,89.44997,92.642849
0.0007812499999999999,3.162938,87.64272,90.805658
0.0008125000000000001,3.135118,85.94075,89.075868
0.00084375,3.109202,84.33424,87.443442
0.000875,3.085005,82.81458,85.899585
0.00090625,3.06236,81.37422,84.43658
0.0009375,3.041127,80.00649,83.047617
0.00096875,3.021177,78.70548,81.726657
0.001,3.0024,77.46595,80.46835
0.0010312499999999998,2.984697,76.28319,79.267887
0.0010625,2.967978,75.15301,78.120988
0.00109375,2.952165,74.07161,77.023775
0.001125,2.937188,73.03559,75.972778
0.00115625,2.922982,72.04186,74.964842
0.0011875000000000002,2.909491,71.08762,73.997111
0.00121875,2.896662,70.17032,73.066982
0.00125,2.884449,69.28764,72.172089
0.00128125,2.872809,68.43745,71.310259
0.0013124999999999999,2.861703,67.6178,70.479503
0.0013437500000000001,2.851096,66.82692,69.678016
0.001375,2.840955,66.06316,68.904115
0.0014375,2.821955,64.61103,67.432985
0.0015,2.804495,63.25064,66.055135
0.0015624999999999999,2.788397,61.97271,64.761107
0.0016250000000000001,2.773509,60.76923,63.542739
0.0016875,2.759701,59.63325,62.392951
0.00175,2.746862,58.55868,61.305542
0.0018125,2.734893,57.54018,60.275073
0.001875,2.72371,56.57304,59.29675
0.0019375,2.71324,55.65308,58.36632
0.002,2.703415,54.77659,57.480005
0.00209375,2.689767,53.53619,56.225957
0.0021875,2.677278,52.37641,55.053688
0.0022812500000000003,2.665808,51.28887,53.954678
0.0023750000000000004,2.655237,50.26639,52.921627
0.00246875,2.645465,49.30271,51.948175
0.0025625,2.636404,48.39241,51.028814
0.0026562499999999998,2.62798,47.53074,50.15872
0.00275,2.620129,46.71352,49.333649
0.00284375,2.612794,45.93705,48.549844
0.0029375,2.605926,45.19805,47.803976
0.0030312499999999997,2.599481,44.49361,47.093091
0.0031249999999999997,2.593423,43.82111,46.414533
0.00321875,2.587718,43.17821,45.765928
0.0033125,2.582334,42.5628,45.145134
