energy (eV), scatter (barn), absorb (barn), total (barn)
9.999999999999999e-06,583.5835,2071273.0,2071856.58
1.0444160000000001e-05,571.0511,2026753.0,2027324.05
1.088832e-05,559.2938,1984985.0,1985544.29
1.133248e-05,548.2349,1945697.0,1946245.24
1.177664e-05,537.8079,1908654.0,1909191.81
1.22208e-05,527.9548,1873649.0,1874176.95
1.266496e-05,518.625,1840501.0,1841019.63
1.310912e-05,509.7737,1809054.0,1809563.77
1.355328e-05,501.3612,1779165.0,1779666.36
1.399744e-05,493.3525,1750710.0,1751203.35
1.44416e-05,485.7163,1723578.0,1724063.72
1.4885760000000001e-05,478.4247,1697669.0,1698147.42
1.532992e-05,471.4524,1672895.0,1673366.45
1.577408e-05,464.7769,1649175.0,1649639.78
1.621824e-05,458.3776,1626436.0,1626894.38
1.6662399999999998e-05,452.2361,1604613.0,1605065.24
1.710655e-05,446.3355,1583645.0,1584091.34
1.7767389999999998e-05,437.9695,1553916.0,1554353.97
1.842823e-05,430.0578,1525800.0,1526230.06
1.908907e-05,422.5608,1499157.0,1499579.56
1.97499e-05,415.4437,1473864.0,1474279.44
1.9774900000000003e-05,415.1814,1472932.0,1473347.18
1.983118e-05,414.5929,1470840.0,1471254.59
1.988745e-05,414.0071,1468758.0,1469172.01
1.9999999999999998e-05,412.8426,1464620.0,1465032.84
2.04353e-05,408.4299,1448937.0,1449345.43
2.08706e-05,404.1561,1433747.0,1434151.16
2.1741199999999998e-05,395.997,1404748.0,1405144.0
2.1795600000000002e-05,395.5035,1402994.0,1403389.5
2.193134e-05,394.2801,1398646.0,1399040.28
2.206708e-05,393.068,1394337.0,1394730.07
2.233855e-05,390.6771,1385839.0,1386229.68
2.28815e-05,386.0236,1369299.0,1369685.02
2.342445e-05,381.5329,1353337.0,1353718.53
2.39674e-05,377.1959,1337920.0,1338297.2
2.4027400000000003e-05,376.7257,1336249.0,1336625.73
2.417672e-05,375.563,1332116.0,1332491.56
2.432604e-05,374.4111,1328022.0,1328396.41
2.4624679999999997e-05,372.1389,1319944.0,1320316.14
2.522195e-05,367.7162,1304223.0,1304590.72
2.581923e-05,363.4479,1289049.0,1289412.45
2.64165e-05,359.3253,1274394.0,1274753.33
2.64826e-05,358.8777,1272803.0,1273161.88
2.664754e-05,357.768,1268857.0,1269214.77
2.681247e-05,356.6686,1264949.0,1265305.67
2.714233e-05,354.4999,1257239.0,1257593.5
2.7802050000000003e-05,350.2791,1242234.0,1242584.28
2.846178e-05,346.2062,1227753.0,1228099.21
2.91215e-05,342.2724,1213767.0,1214109.27
2.91943e-05,341.8466,1212252.0,1212593.85
