energy (eV), scatter (barn), absorb (barn), total (barn)
9.999999999999999e-06,5.864876,33.20045,39.065326
1.03125e-05,5.776265,32.69354,38.469805
1.0625e-05,5.691606,32.20917,37.900776
1.09375e-05,5.610614,31.7457,37.356314
1.125e-05,5.533034,31.30168,36.834714
1.15625e-05,5.458633,30.87579,36.334423
1.1874999999999999e-05,5.3872,30.46682,35.85402
1.21875e-05,5.318543,30.07368,35.392223
1.25e-05,5.25249,29.69539,34.94788
1.28125e-05,5.188877,29.33101,34.519887
1.3125e-05,5.12756,28.97973,34.10729
1.34375e-05,5.068404,28.64077,33.709174
1.3749999999999999e-05,5.011285,28.31344,33.324725
1.4375e-05,4.902714,27.69109,32.593804
1.5e-05,4.801034,27.10805,31.909084
1.5625e-05,4.705549,26.56036,31.265909
1.625e-05,4.615655,26.04458,30.660235
1.6875e-05,4.530831,25.55772,30.088551
1.7500000000000002e-05,4.450619,25.09718,29.547799
1.8125e-05,4.374618,24.66068,29.035298
1.875e-05,4.302471,24.24618,28.548651
1.9375e-05,4.233866,23.85191,28.085776
1.9999999999999998e-05,4.168525,23.47626,27.644785
2.0937499999999997e-05,4.076091,22.94466,27.020751
2.1875e-05,3.989707,22.4476,26.437307
2.28125e-05,3.908743,21.98151,25.890253
2.3749999999999998e-05,3.832659,21.5433,25.375959
2.46875e-05,3.760986,21.13029,24.891276
2.5625e-05,3.693316,20.74016,24.433476
2.65625e-05,3.629292,20.37087,24.000162
2.7499999999999998e-05,3.5686,20.02063,23.58923
2.84375e-05,3.510962,19.68785,23.198812
2.9375000000000003e-05,3.456132,19.37113,22.827262
3.0312499999999998e-05,3.403891,19.06923,22.473121
3.125e-05,3.354043,18.78101,22.135053
3.2187499999999996e-05,3.306413,18.50548,21.811893
3.3125e-05,3.26084,18.24173,21.50257
3.40625e-05,3.217184,17.98895,21.206134
3.5000000000000004e-05,3.175314,17.74639,20.921704
3.59375e-05,3.135113,17.51338,20.648493
3.6875e-05,3.096473,17.28932,20.385793
3.78125e-05,3.059297,17.07365,20.132947
3.875e-05,3.023496,16.86585,19.889346
3.9687499999999996e-05,2.988987,16.66545,19.654437
4.0625000000000005e-05,2.955696,16.47204,19.427736
4.25e-05,2.892496,16.10458,18.997076
4.4375e-05,2.833401,15.76067,18.594071
4.625e-05,2.777991,15.4379,18.215891
4.8125000000000004e-05,2.725901,15.13417,17.860071
5e-05,2.676817,14.84769,17.524507
5.15625e-05,2.638009,14.621,17.259009
5.3125e-05,2.600956,14.40438,17.005336
5.46875e-05,2.565531,14.19711,16.762641
5.625e-05,2.53162,13.99854,16.53016
5.78125e-05,2.499119,13.80807,16.307189
5.9375e-05,2.467934,13.62518,16.093114
6.0937500000000004e-05,2.43798,13.44936,15.88734
6.25e-05,2.40918,13.28018,15.68936
6.40625e-05,2.381461,13.11723,15.498691
6.562500000000001e-05,2.35476,12.96013,15.31489
6.71875e-05,2.329016,12.80854,15.137556
6.874999999999999e-05,2.304175,12.66216,14.966335
7.1875e-05,2.257,12.38383,14.64083
7.5e-05,2.212876,12.12309,14.335966
7.8125e-05,2.171491,11.87815,14.049641
8.125000000000001e-05,2.13258,11.64749,13.78007
8.4375e-05,2.095908,11.42976,13.525668
8.75e-05,2.061274,11.2238,13.285074
9.0625e-05,2.028498,11.02859,13.057088
9.375e-05,1.997424,10.84322,12.840644
9.6875e-05,1.967912,10.6669,12.634812
0.0001,1.939839,10.4989,12.438739
0.000103125,1.913093,10.33861,12.251703
0.00010625,1.887576,10.18543,12.073006
0.000109375,1.863199,10.03887,11.902069
0.0001125,1.839881,9.898462,11.738343
0.000115625,1.81755,9.763783,11.581333
0.00011875,1.796139,9.634456,11.430595
0.00012187500000000001,1.775589,9.510136,11.285725
0.000125,1.755846,9.390506,11.146352
0.000128125,1.736858,9.275281,11.012139
0.00013125000000000002,1.718581,9.164196,10.882777
0.000134375,1.700972,9.057009,10.757981
0.00013749999999999998,1.683994,8.953496,10.63749
0.00014375,1.651787,8.756692,10.408479
0.00015,1.621707,8.57232,10.194027
0.00015625,1.593537,8.399124,9.992661
0.00016250000000000002,1.567089,8.236019,9.803108
0.00016875,1.5422,8.082061,9.624261
0.000175,1.518729,7.936427,9.455156
0.00018125,1.496549,7.798391,9.29494
0.0001875,1.475552,7.667317,9.142869
0.00019375,1.455638,7.542636,8.998274
0.0002,1.436723,7.423847,8.86057
0.00020937499999999998,1.410054,7.255738,8.665792
0.00021875,1.38523,7.098556,8.483786
0.000228125,1.362056,6.951165,8.313221
0.0002375,1.340364,6.81259,8.152954
0.00024687499999999997,1.320011,6.681985,8.001996
0.00025625,1.300869,6.558614,7.859483
0.000265625,1.28283,6.441835,7.724665
0.00027499999999999996,1.265796,6.331079,7.596875
0.000284375,1.249681,6.225846,7.475527
