energy (eV), scatter (barn), capture (barn), total (barn)
1811680.0,1.320484,0.00173785492,1.7668998
1811700.0,1.321145,0.00173784392,1.76279969
1811731.0,1.322307,0.00173782592,1.75658187
1812200.0,1.240007,0.00173755993,1.66250051
1812433.0,1.175006,0.00173742693,1.59164647
1813080.0,0.9809467,0.00173705893,1.39490001
1813100.0,0.9856298,0.00173704793,1.3995
1813736.0,1.135187,0.00173668593,1.54641573
1813800.0,1.139791,0.00173664994,1.5612002
1813950.0,1.15063,0.00173656394,1.59589971
1814300.0,1.499556,0.00173636494,2.00050031
1814470.0,1.720914,0.00173626794,2.24890032
1814739.0,1.665163,0.00173611494,2.23593916
1814800.0,1.656728,0.00173608094,2.23300003
1814820.0,1.653426,0.00173606894,2.23149992
1815000.0,1.507109,0.00173596694,2.10140011
1815700.0,1.287942,0.00173556895,1.94530002
1815800.0,1.227232,0.00173551195,1.89359966
1815841.0,1.202307,0.00173548895,1.87236854
1816400.0,1.044801,0.00173517095,1.58289972
1816750.0,0.9791256,0.00173497195,1.43460002
1816843.0,0.9877146,0.00173491895,1.42123457
1817100.0,0.9654751,0.00173477296,1.38430002
1817200.0,0.991593,0.00173471596,1.40470006
1817800.0,1.1482,0.00173437396,1.52699962
1817846.0,1.145322,0.00173434796,1.5214914
1818200.0,1.095772,0.00173414696,1.47910039
1818320.0,1.079045,0.00173407896,1.46480013
1818500.0,1.114405,0.00173397596,1.50380032
1818548.0,1.1436,0.00173394896,1.533966
1819020.0,1.290253,0.00173367997,1.83059973
1819250.0,1.296602,0.00173354997,1.9100326
1819300.0,1.329847,0.00173352097,1.92729967
1819370.0,1.376417,0.00173348097,1.95150043
1819600.0,1.307415,0.00173335097,1.8089998
1820070.0,1.166408,0.00173308297,1.51779983
1820252.0,1.199037,0.00173297997,1.49226903
1820430.0,1.181114,0.00173287798,1.46730023
1820600.0,1.219143,0.00173278198,1.49860003
1820950.0,1.297397,0.00173258298,1.56299993
1820954.0,1.301475,0.00173257998,1.56691963
1821000.0,1.330257,0.00173255398,1.6120002
1821300.0,1.518262,0.00173238398,1.90630003
1821355.0,1.606361,0.00173235198,2.0138864
1821480.0,1.721123,0.00173228098,2.25840023
1821650.0,2.02306,0.00173218398,2.73679963
1821830.0,2.529218,0.00173208198,3.42980023
1821956.0,2.756046,0.00173200998,3.78741806
1822000.0,2.900195,0.00173198498,3.91230003
1822010.0,2.932874,0.00173197998,3.94060003
1822180.0,3.235816,0.00173188299,4.16910053
