energy (eV), scatter (barn), absorb (barn), total (barn)
9.999999999999999e-06,78.26555,0.1942569,78.4598069
1.03125e-05,77.07435,0.1912909,77.2656409
1.0625e-05,75.93615,0.1884568,76.1246068
1.09375e-05,74.84714,0.1857451,75.0328851
1.125e-05,73.80388,0.1831471,73.9870271
1.15625e-05,72.80325,0.1806552,72.9839052
1.1874999999999999e-05,71.84243,0.1782623,72.0206923
1.21875e-05,70.91886,0.1759621,71.0948221
1.25e-05,70.03018,0.1737486,70.2039286
1.28125e-05,69.17425,0.1716166,69.3458666
1.3125e-05,68.34912,0.1695613,68.5186813
1.34375e-05,67.55299,0.167578,67.720568
1.3749999999999999e-05,66.78418,0.1656628,66.9498428
1.4375e-05,65.32259,0.1620214,65.4846114
1.5e-05,63.95346,0.15861,64.11207
1.546246e-05,62.99437,0.1562201,63.1505901
1.5924920000000002e-05,62.07743,0.1539351,62.2313651
1.638738e-05,61.19965,0.1517475,61.3513975
1.684983e-05,60.35834,0.1496506,60.5079906
1.6875e-05,60.31355,0.149539,60.463089
1.695313e-05,60.17514,0.149194,60.324334
1.703125e-05,60.0377,0.1488514,60.1865514
1.7187499999999998e-05,59.76564,0.1481733,59.9138133
1.7500000000000002e-05,59.2325,0.1468444,59.3793444
1.8125e-05,58.20797,0.1442904,58.3522604
1.875e-05,57.23519,0.1418651,57.3770551
1.9375e-05,56.30996,0.1395582,56.4495182
1.9999999999999998e-05,55.42853,0.1373603,55.5658903
2.083056e-05,54.3193,0.134594,54.453894
2.166111e-05,53.27463,0.1319884,53.4066184
2.2491669999999998e-05,52.2885,0.1295285,52.4180285
2.332222e-05,51.35565,0.1272012,51.4828512
2.4152780000000002e-05,50.47145,0.124995,50.596445
2.498333e-05,49.63184,0.1228998,49.7547398
2.581389e-05,48.83318,0.1209065,48.9540865
2.6644439999999998e-05,48.07226,0.1190071,48.1912671
2.7499999999999998e-05,47.32486,0.1171413,47.4420013
2.84375e-05,46.54503,0.1151942,46.6602242
2.9375000000000003e-05,45.80295,0.1133411,45.9162911
3.0312499999999998e-05,45.09566,0.1115746,45.2072346
3.125e-05,44.42057,0.1098883,44.5304583
3.2187499999999996e-05,43.77527,0.1082761,43.8835461
