energy (eV), scatter (barn), absorb (barn), total (barn)
0.00037812500000000004,3.61417,17.4176044,21.0317744
0.0003875,3.583096,17.2056468,20.7887428
0.000396875,3.553252,17.0012461,20.5544981
0.00040625000000000004,3.524563,16.8039619,20.3285249
0.000425,3.470386,16.4291515,19.8995375
0.00044374999999999997,3.420083,16.0783631,19.4984461
0.0004625,3.373245,15.7491242,19.1223692
0.00048124999999999996,3.329518,15.439323,18.768841
0.0005,3.288595,15.1471178,18.4357128
0.0005156249999999999,3.256441,14.9158862,18.1723272
0.00053125,3.225914,14.6949339,17.9208479
0.000546875,3.196889,14.4835202,17.6804092
0.0005625,3.169259,14.2809845,17.4502435
0.000578125,3.142922,14.0867063,17.2296283
0.0005937500000000001,3.11779,13.9001549,17.0179449
0.000609375,3.09378,13.7208201,16.8146001
0.000625,3.070818,13.5482613,16.6190793
0.000640625,3.048837,13.3820482,16.4308852
0.0006562499999999999,3.027774,13.2218105,16.2495845
0.0006718750000000001,3.007573,13.0671977,16.0747707
0.0006875,2.988181,12.9178797,15.9060607
0.00071875,2.951639,12.6339968,15.5856358
0.00075,2.917806,12.3680398,15.2858458
0.0007812499999999999,2.886391,12.118217,15.004608
0.0008125000000000001,2.857145,11.8829371,14.7400821
0.00084375,2.829849,11.6608588,14.4907078
0.000875,2.804317,11.450791,14.255108
0.00090625,2.780383,11.2516728,14.0320558
0.0009375,2.757902,11.0626034,13.8205054
0.00096875,2.736746,10.8827621,13.6195081
0.001,2.716803,10.7114081,13.4282111
0.0010312499999999998,2.697972,10.5479109,13.2458829
0.0010625,2.680163,10.3916799,13.0718429
0.00109375,2.663296,10.2421948,12.9054908
0.001125,2.647299,10.0989751,12.7462741
0.00115625,2.632106,9.96160942,12.5937154
0.0011875000000000002,2.617661,9.8297004,12.4473614
0.00121875,2.603908,9.70289675,12.3068048
0.00125,2.590801,9.58087917,12.1716802
0.00128125,2.578295,9.46335341,12.0416484
0.0013124999999999999,2.56635,9.35005024,11.9164002
0.0013437500000000001,2.55493,9.24072244,11.7956524
0.001375,2.544002,9.1351438,11.6791458
0.0014375,2.5235,8.93441032,11.4579103
0.0015,2.504627,8.7463575,11.2509845
0.0015624999999999999,2.4872,8.56970323,11.0569032
0.0016250000000000001,2.471059,8.40334154,10.8744005
0.0016875,2.45607,8.24630962,10.7023796
0.00175,2.442115,8.09776675,10.5398817
0.0018125,2.429092,7.95697528,10.3860673
0.001875,2.416913,7.82328367,10.2401967
0.0019375,2.405497,7.69611343,10.1016104
0.002,2.394778,7.57495211,9.96973011
0.00209375,2.379872,7.40348606,9.78335806
0.0021875,2.366218,7.2431641,9.6093821
0.0022812500000000003,2.353666,7.09282927,9.44649527
0.0023750000000000004,2.34209,6.95148575,9.29357575
0.00246875,2.33138,6.81827181,9.14965181
0.0025625,2.321445,6.69243585,9.01388085
