energy (eV), scatter (barn), absorb (barn), total (barn)
9.999999999999999e-06,43.76688,2.529666,46.296546
1.03125e-05,43.10284,2.491043,45.593883
1.0625e-05,42.46837,2.454136,44.922506
1.09375e-05,41.86136,2.418823,44.280183
1.125e-05,41.27988,2.384992,43.664872
1.15625e-05,40.72218,2.352541,43.074721
1.1874999999999999e-05,40.1867,2.321381,42.508081
1.21875e-05,39.672,2.291426,41.963426
1.25e-05,39.17677,2.262602,41.439372
1.28125e-05,38.69982,2.234839,40.934659
1.3125e-05,38.24005,2.208073,40.448123
1.34375e-05,37.79646,2.182247,39.978707
1.3749999999999999e-05,37.36812,2.157306,39.525426
1.4375e-05,36.55385,2.109887,38.663737
1.5e-05,35.79116,2.065463,37.856623
1.5625e-05,35.07485,2.023733,37.098583
1.625e-05,34.4004,1.984433,36.384833
1.6875e-05,33.7639,1.947338,35.711238
1.7500000000000002e-05,33.16194,1.912248,35.074188
1.8125e-05,32.59149,1.878989,34.470479
1.875e-05,32.04991,1.847407,33.897317
1.9375e-05,31.53485,1.817366,33.352216
1.9999999999999998e-05,31.04423,1.788744,32.832974
2.0937499999999997e-05,30.35007,1.748239,32.098309
2.1875e-05,29.70122,1.710366,31.411586
2.28125e-05,29.09296,1.674853,30.767813
2.3749999999999998e-05,28.52126,1.641464,30.162724
2.46875e-05,27.98259,1.609995,29.592585
2.5625e-05,27.47391,1.58027,29.05418
2.65625e-05,26.99254,1.552132,28.544672
2.7499999999999998e-05,26.53614,1.525446,28.061586
2.84375e-05,26.10262,1.50009,27.60271
2.9375000000000003e-05,25.69015,1.475959,27.166109
3.0312499999999998e-05,25.29709,1.452955,26.750045
3.125e-05,24.92195,1.430995,26.352945
3.2187499999999996e-05,24.56342,1.410001,25.973421
3.3125e-05,24.22033,1.389905,25.610235
3.40625e-05,23.8916,1.370645,25.262245
3.5000000000000004e-05,23.57625,1.352163,24.928413
3.59375e-05,23.27342,1.33441,24.60783
3.6875e-05,22.98229,1.317338,24.299628
3.78125e-05,22.70214,1.300905,24.003045
3.875e-05,22.4323,1.285072,23.717372
3.9687499999999996e-05,22.17215,1.269803,23.441953
4.0625000000000005e-05,21.92114,1.255066,23.176206
4.25e-05,21.44447,1.227068,22.671538
4.4375e-05,20.99859,1.200864,22.199454
4.625e-05,20.58036,1.176271,21.756631
4.8125000000000004e-05,20.18704,1.153129,21.340169
5e-05,19.81627,1.131301,20.947571
5.15625e-05,19.52303,1.114028,20.637058
5.3125e-05,19.24296,1.097523,20.340483
5.46875e-05,18.97511,1.081731,20.056841
5.625e-05,18.71862,1.066601,19.785221
5.78125e-05,18.47272,1.052089,19.524809
5.9375e-05,18.23671,1.038153,19.274863
6.0937500000000004e-05,18.00994,1.024757,19.034697
6.25e-05,17.79183,1.011866,18.803696
6.40625e-05,17.58186,0.9994504,18.5813104
6.562500000000001e-05,17.37953,0.9874805,18.3670105
6.71875e-05,17.18439,0.9759306,18.1603206
6.874999999999999e-05,16.99603,0.9647767,17.9608067
7.1875e-05,16.63817,0.9435702,17.5817402
7.5e-05,16.30324,0.9237034,17.2269434
7.8125e-05,15.98891,0.9050408,16.8939508
8.125000000000001e-05,15.69318,0.8874655,16.5806455
8.4375e-05,15.41431,0.8708759,16.2851859
8.75e-05,15.15076,0.8551832,16.0059432
9.0625e-05,14.9012,0.8403093,15.7415093
9.375e-05,14.66445,0.8261854,15.4906354
9.6875e-05,14.43947,0.8127506,15.2522206
0.0001,14.22533,0.7999506,15.0252806
0.000103125,14.02119,0.7877369,14.8089269
0.00010625,13.8263,0.776066,14.602366
0.000109375,13.64001,0.764899,14.404909
0.0001125,13.46171,0.7542007,14.2159107
0.000115625,13.29085,0.7439389,14.0347889
0.00011875,13.12693,0.734085,13.861015
0.00012187500000000001,12.96951,0.7246126,13.6941226
0.000125,12.81817,0.7154976,13.5336676
0.000128125,12.67254,0.7067181,13.3792581
0.00013125000000000002,12.53228,0.6982541,13.2305341
0.000134375,12.39707,0.6900871,13.0871571
0.00013749999999999998,12.26661,0.6822002,12.9488102
0.00014375,12.01894,0.6672049,12.6861449
0.00015,11.78734,0.6531569,12.4404969
0.00015625,11.5702,0.6399605,12.2101605
0.00016250000000000002,11.36609,0.6275329,11.9936229
0.00016875,11.17379,0.6158022,11.7895922
0.000175,10.99223,0.6047058,11.5969358
0.00018125,10.82046,0.5941884,11.4146484
0.0001875,10.65766,0.5842013,11.2418613
0.00019375,10.50309,0.5747015,11.0777915
0.0002,10.3561,0.5656505,10.9217505
0.00020937499999999998,10.14856,0.5528417,10.7014017
0.00021875,9.955049,0.5408653,10.4959143
0.000228125,9.774097,0.5296351,10.3037321
0.0002375,9.604439,0.5190765,10.1235155
0.00024687499999999997,9.444983,0.5091252,9.9541082
0.00025625,9.294773,0.4997252,9.7944982
0.000265625,9.152978,0.4908273,9.6438053
0.00027499999999999996,9.018867,0.4823884,9.5012554
0.000284375,8.891791,0.4743703,9.3661613
