#LIBRARY    ENDF/B-VIII.0
#REACTION   N-14(N,TOT),SIG
#NUCLEUS    N-14
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 0.357316    10.4516      Lin-Lin
 0.394132    10.4257      Lin-Lin
 0.434743    10.4009      Lin-Lin
 0.479537    10.377       Lin-Lin
 0.528947    10.3539      Lin-Lin
 0.583448    10.3317      Lin-Lin
 0.643565    10.3101      Lin-Lin
 0.709876    10.2891      Lin-Lin
 0.78302     10.2688      Lin-Lin
 0.8637      10.2489      Lin-Lin
 0.914784    10.2377      Lin-Lin
 0.952693    10.2311      Lin-Lin
 1.05086     10.2162      Lin-Lin
 1.15913     10.2022      Lin-Lin
 1.16731     10.2011      Lin-Lin
 1.27857     10.1887      Lin-Lin
 1.28758     10.1877      Lin-Lin
 1.4103      10.1758      Lin-Lin
 1.42025     10.1749      Lin-Lin
 1.56659     10.1627      Lin-Lin
 1.72801     10.151       Lin-Lin
 1.90606     10.1399      Lin-Lin
 2.10245     10.1294      Lin-Lin
 2.31908     10.1194      Lin-Lin
 2.57595     10.1091      Lin-Lin
 2.84137     10.1         Lin-Lin
 3.13414     10.0914      Lin-Lin
 3.45707     10.083       Lin-Lin
 3.84017     10.0746      Lin-Lin
 4.26552     10.0666      Lin-Lin
 4.6723      10.06        Lin-Lin
 5.18982     10.0526      Lin-Lin
 5.80533     10.0452      Lin-Lin
 6.49383     10.0382      Lin-Lin
 7.11311     10.0327      Lin-Lin
 7.84603     10.0271      Lin-Lin
 8.65446     10.0217      Lin-Lin
 9.41338     10.0172      Lin-Lin
 9.47932     10.0168      Lin-Lin
 10.3833     10.0122      Lin-Lin
 11.3729     10.0077      Lin-Lin
 11.6148     10.0068      Lin-Lin
 12.4575     10.0034      Lin-Lin
 13.0833     10.0012      Lin-Lin
 13.5499     9.99957      Lin-Lin
 14.4313     9.99682      Lin-Lin
 14.8414     9.99555      Lin-Lin
 15.8075     9.99287      Lin-Lin
 16.1429     9.99195      Lin-Lin
 17.1937     9.98931      Lin-Lin
 17.4363     9.98871      Lin-Lin
 18.7015     9.98587      Lin-Lin
 18.9653     9.98528      Lin-Lin
 20.6284     9.98194      Lin-Lin
 22.4374     9.97866      Lin-Lin
 22.5945     9.97841      Lin-Lin
 24.234      9.97576      Lin-Lin
 24.4049     9.97548      Lin-Lin
 26.545      9.97232      Lin-Lin
 26.731      9.97208      Lin-Lin
 28.8728     9.96924      Lin-Lin
 29.0751     9.96899      Lin-Lin
 31.4047     9.96619      Lin-Lin
 31.6247     9.96595      Lin-Lin
 34.3979     9.96291      Lin-Lin
 37.1541     9.96019      Lin-Lin
 37.6782     9.95967      Lin-Lin
 40.9823     9.95668      Lin-Lin
 41.2694     9.95644      Lin-Lin
 44.8884     9.95345      Lin-Lin
 48.1454     9.95096      Lin-Lin
 48.4851     9.95071      Lin-Lin
 52.7368     9.94768      Lin-Lin
 53.4808     9.94718      Lin-Lin
 57.3614     9.94463      Lin-Lin
 58.1706     9.94413      Lin-Lin
 62.3915     9.94153      Lin-Lin
 62.8285     9.94128      Lin-Lin
 68.3381     9.93811      Lin-Lin
 68.8201     9.93784      Lin-Lin
 73.8137     9.93515      Lin-Lin
 74.8551     9.93459      Lin-Lin
 81.4192     9.93125      Lin-Lin
 81.9895     9.93098      Lin-Lin
 88.559      9.92782      Lin-Lin
 89.8084     9.92722      Lin-Lin
 95.6501     9.92456      Lin-Lin
 98.3681     9.92333      Lin-Lin
 106.25      9.91989      Lin-Lin
 106.994     9.91957      Lin-Lin
 115.567     9.91598      Lin-Lin
 124.821     9.91225      Lin-Lin
 128.368     9.91082      Lin-Lin
 136.724     9.90758      Lin-Lin
 137.682     9.90721      Lin-Lin
 147.672     9.90343      Lin-Lin
 149.756     9.90265      Lin-Lin
 164.037     9.89742      Lin-Lin
 166.351     9.89657      Lin-Lin
 175.939     9.89316      Lin-Lin
 179.671     9.89183      Lin-Lin
 191.368     9.88775      Lin-Lin
 195.427     9.88634      Lin-Lin
 212.564     9.88049      Lin-Lin
 231.204     9.87424      Lin-Lin
 249.73      9.86814      Lin-Lin
 256.826     9.86581      Lin-Lin
 273.532     9.8604       Lin-Lin
 275.461     9.85978      Lin-Lin
 295.449     9.85337      Lin-Lin
 299.617     9.85203      Lin-Lin
 328.174     9.843        Lin-Lin
 332.803     9.84154      Lin-Lin
 351.986     9.83554      Lin-Lin
 359.47      9.8332       Lin-Lin
