#LIBRARY    ENDF/B-VIII.0
#REACTION   C-12(N,EL)C-12-L0,SIG
#NUCLEUS    C-12
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 2.68E+06    1.73491      Lin-Lin
 2.71E+06    1.77677      Lin-Lin
 2.73E+06    1.81036      Lin-Lin
 2.75E+06    1.85003      Lin-Lin
 2.76E+06    1.87159      Lin-Lin
 2.78E+06    1.92379      Lin-Lin
 2.8E+06     1.99436      Lin-Lin
 2.805E+06   2.02449      Lin-Lin
 2.807E+06   2.0435       Lin-Lin
 2.808E+06   2.05508      Lin-Lin
 2.81E+06    2.0945       Lin-Lin
 2.812E+06   2.18439      Lin-Lin
 2.81288E+06 2.27215      Lin-Lin
 2.813E+06   2.28947      Lin-Lin
 2.81325E+06 2.34067      Lin-Lin
 2.81388E+06 2.48357      Lin-Lin
 2.814E+06   2.52032      Lin-Lin
 2.81419E+06 2.59638      Lin-Lin
 2.81438E+06 2.68396      Lin-Lin
 2.8145E+06  2.75381      Lin-Lin
 2.81462E+06 2.84157      Lin-Lin
 2.81481E+06 2.99116      Lin-Lin
 2.81494E+06 3.10257      Lin-Lin
 2.81503E+06 3.20421      Lin-Lin
 2.81512E+06 3.3242       Lin-Lin
 2.81531E+06 3.58989      Lin-Lin
 2.81544E+06 3.77974      Lin-Lin
 2.8155E+06  3.88428      Lin-Lin
 2.81562E+06 4.11776      Lin-Lin
 2.81588E+06 4.61668      Lin-Lin
 2.81597E+06 4.77883      Lin-Lin
 2.81606E+06 4.90291      Lin-Lin
 2.81619E+06 5.01827      Lin-Lin
 2.81631E+06 5.1089       Lin-Lin
 2.81641E+06 5.15395      Lin-Lin
 2.81644E+06 5.1587       Lin-Lin
 2.8165E+06  5.14485      Lin-Lin
 2.81656E+06 5.09661      Lin-Lin
 2.81662E+06 5.01893      Lin-Lin
 2.81675E+06 4.81798      Lin-Lin
 2.81712E+06 4.1582       Lin-Lin
 2.81738E+06 3.71098      Lin-Lin
 2.81747E+06 3.55796      Lin-Lin
 2.81756E+06 3.42629      Lin-Lin
 2.81769E+06 3.27875      Lin-Lin
 2.81788E+06 3.07922      Lin-Lin
 2.81797E+06 2.99193      Lin-Lin
 2.81806E+06 2.92226      Lin-Lin
 2.81819E+06 2.85246      Lin-Lin
 2.81888E+06 2.5273       Lin-Lin
 2.819E+06   2.47896      Lin-Lin
 2.81912E+06 2.44594      Lin-Lin
 2.81988E+06 2.31222      Lin-Lin
 2.82E+06    2.29441      Lin-Lin
 2.82025E+06 2.27427      Lin-Lin
 2.822E+06   2.1702       Lin-Lin
 2.824E+06   2.13309      Lin-Lin
 2.826E+06   2.12142      Lin-Lin
 2.828E+06   2.11958      Lin-Lin
 2.835E+06   2.13873      Lin-Lin
 2.845E+06   2.18715      Lin-Lin
 2.855E+06   2.24695      Lin-Lin
 2.865E+06   2.31715      Lin-Lin
 2.875E+06   2.39923      Lin-Lin
 2.885E+06   2.49556      Lin-Lin
 2.895E+06   2.60899      Lin-Lin
 2.905E+06   2.74218      Lin-Lin
 2.915E+06   2.8956       Lin-Lin
 2.93E+06    3.14241      Lin-Lin
 2.935E+06   3.21233      Lin-Lin
 2.94E+06    3.2605       Lin-Lin
 2.943E+06   3.27266      Lin-Lin
 2.946E+06   3.26634      Lin-Lin
 2.947E+06   3.26087      Lin-Lin
 2.95E+06    3.22554      Lin-Lin
 2.955E+06   3.10664      Lin-Lin
 2.96E+06    2.90785      Lin-Lin
 2.965E+06   2.64084      Lin-Lin
 2.975E+06   2.03498      Lin-Lin
 2.98E+06    1.76901      Lin-Lin
 2.985E+06   1.5564       Lin-Lin
 2.99E+06    1.39985      Lin-Lin
 2.995E+06   1.29289      Lin-Lin
 3E+06       1.22556      Lin-Lin
 3.005E+06   1.18799      Lin-Lin
 3.01E+06    1.17188      Lin-Lin
 3.015E+06   1.17082      Lin-Lin
 3.02E+06    1.1801       Lin-Lin
 3.025E+06   1.19634      Lin-Lin
 3.03E+06    1.21719      Lin-Lin
 3.04E+06    1.26658      Lin-Lin
 3.07E+06    1.42788      Lin-Lin
 3.09E+06    1.5292       Lin-Lin
 3.11E+06    1.62337      Lin-Lin
 3.14E+06    1.75383      Lin-Lin
 3.18E+06    1.91381      Lin-Lin
 3.23E+06    2.09842      Lin-Lin
 3.28E+06    2.26736      Lin-Lin
 3.32E+06    2.38852      Lin-Lin
 3.36E+06    2.49353      Lin-Lin
 3.39E+06    2.55947      Lin-Lin
 3.42E+06    2.61293      Lin-Lin
 3.45E+06    2.65299      Lin-Lin
 3.48E+06    2.67919      Lin-Lin
 3.52E+06    2.69273      Lin-Lin
 3.555E+06   2.68453      Lin-Lin
 3.59E+06    2.6626       Lin-Lin
 3.63E+06    2.61975      Lin-Lin
 3.68E+06    2.5467       Lin-Lin
 3.74E+06    2.4396       Lin-Lin
 3.95E+06    2.01935      Lin-Lin
 4.01E+06    1.91184      Lin-Lin
 4.05E+06    1.85266      Lin-Lin
 4.08E+06    1.8215       Lin-Lin
 4.1E+06     1.81145      Lin-Lin
 4.11E+06    1.81102      Lin-Lin
 4.125E+06   1.81848      Lin-Lin
 4.14E+06    1.83588      Lin-Lin
 4.15E+06    1.8553       Lin-Lin
 4.16E+06    1.88137      Lin-Lin
 4.17E+06    1.91442      Lin-Lin
 4.185E+06   1.97711      Lin-Lin
 4.22E+06    2.15013      Lin-Lin
 4.23E+06    2.19351      Lin-Lin
 4.24E+06    2.22796      Lin-Lin
 4.25E+06    2.2513       Lin-Lin
 4.26E+06    2.26271      Lin-Lin
 4.265E+06   2.26273      Lin-Lin
 4.27E+06    2.26264      Lin-Lin
 4.28E+06    2.25252      Lin-Lin
 4.29E+06    2.23426      Lin-Lin
 4.31E+06    2.18144      Lin-Lin
 4.37E+06    1.98984      Lin-Lin
 4.4E+06     1.90423      Lin-Lin
 4.43E+06    1.82943      Lin-Lin
 4.46E+06    1.76415      Lin-Lin
 4.5E+06     1.68902      Lin-Lin
 4.55E+06    1.60946      Lin-Lin
 4.6E+06     1.54134      Lin-Lin
 4.66E+06    1.47008      Lin-Lin
 4.8E+06     1.32597      Lin-Lin
 4.82E+06    1.29812      Lin-Lin
 4.86E+06    1.26352      Lin-Lin
 4.908E+06   1.22939      Lin-Lin
 4.92E+06    1.22522      Lin-Lin
 4.9245E+06  1.22817      Lin-Lin
 4.927E+06   1.23452      Lin-Lin
 4.928E+06   1.23852      Lin-Lin
 4.93E+06    1.25575      Lin-Lin
 4.931E+06   1.27302      Lin-Lin
 4.932E+06   1.30411      Lin-Lin
 4.93275E+06 1.34747      Lin-Lin
 4.933E+06   1.36696      Lin-Lin
 4.93325E+06 1.3979       Lin-Lin
 4.93381E+06 1.47957      Lin-Lin
 4.93394E+06 1.50501      Lin-Lin
 4.934E+06   1.52182      Lin-Lin
 4.93412E+06 1.56491      Lin-Lin
 4.93425E+06 1.61693      Lin-Lin
 4.93475E+06 1.84216      Lin-Lin
 4.93488E+06 1.90837      Lin-Lin
 4.93497E+06 1.97218      Lin-Lin
 4.93503E+06 2.02459      Lin-Lin
 4.93512E+06 2.11816      Lin-Lin
 4.93522E+06 2.22572      Lin-Lin
 4.93531E+06 2.34381      Lin-Lin
 4.93541E+06 2.47531      Lin-Lin
 4.93547E+06 2.57414      Lin-Lin
 4.93553E+06 2.68398      Lin-Lin
 4.93562E+06 2.86862      Lin-Lin
 4.93588E+06 3.40517      Lin-Lin
 4.93597E+06 3.58452      Lin-Lin
 4.93606E+06 3.73529      Lin-Lin
 4.93616E+06 3.8582       Lin-Lin
 4.93625E+06 3.9586       Lin-Lin
 4.93634E+06 4.03265      Lin-Lin
 4.93641E+06 4.05774      Lin-Lin
 4.93644E+06 4.05998      Lin-Lin
 4.93648E+06 4.04804      Lin-Lin
 4.93653E+06 4.01649      Lin-Lin
 4.93656E+06 3.98466      Lin-Lin
 4.93662E+06 3.89787      Lin-Lin
 4.93669E+06 3.78704      Lin-Lin
 4.93681E+06 3.52859      Lin-Lin
 4.93694E+06 3.2626       Lin-Lin
 4.93706E+06 3.01233      Lin-Lin
 4.93719E+06 2.78048      Lin-Lin
 4.93731E+06 2.56255      Lin-Lin
 4.93741E+06 2.41134      Lin-Lin
 4.93747E+06 2.32004      Lin-Lin
 4.93753E+06 2.23817      Lin-Lin
