energy (eV),scatter (barn),capture (barn),total (barn)
0.000875,125.4735,1.788497,127.261997
0.00090625,123.341,1.757391,125.098391
0.0009375,121.3168,1.727852,123.044652
0.00096875,119.3922,1.699755,121.091955
0.001,117.5593,1.672986,119.232286
0.0010312499999999998,115.811,1.647443,117.458443
0.0010625,114.1411,1.623035,115.764135
0.00109375,112.544,1.59968,114.14368
0.001125,111.0145,1.577306,112.591806
0.00115625,109.548,1.555845,111.103845
0.0011875000000000002,108.1403,1.535237,109.675537
0.00121875,106.7878,1.515427,108.303227
0.00125,105.4867,1.496364,106.983064
0.00128125,104.2341,1.478003,105.712103
0.0013124999999999999,103.027,1.460302,104.487302
0.0013437500000000001,101.8627,1.443222,103.305922
0.001375,100.7388,1.426727,102.165527
0.0014375,98.60327,1.395367,99.998637
0.0015,96.60424,1.365987,97.970227
0.0015624999999999999,94.7279,1.338389,96.066289
0.0016250000000000001,92.9623,1.312398,94.274698
0.0016875,91.29708,1.287865,92.584945
0.00175,89.72315,1.264658,90.987808
0.0018125,88.23256,1.242663,89.475223
0.001875,86.81827,1.221776,88.040046
0.0019375,85.47409,1.201909,86.675999
0.002,84.19443,1.18298,85.37741
0.00209375,82.38529,1.156192,83.541482
0.0021875,80.69577,1.131145,81.826915
0.0022812500000000003,79.11342,1.107658,80.221078
0.0023750000000000004,77.62749,1.085577,78.713067
0.00246875,76.22872,1.064765,77.293485
0.0025625,74.90901,1.045106,75.954116
0.0026562499999999998,73.66131,1.026497,74.687807
0.00275,72.47938,1.008848,73.488228
0.00284375,71.35775,0.9920797,72.3498297
0.0029375,70.29152,0.9761203,71.2676403
0.0030312499999999997,69.27636,0.9609071,70.2372671
0.0031249999999999997,68.30839,0.9463837,69.2547737
0.00321875,67.38412,0.9324996,68.3166196
0.0033125,66.50045,0.9192091,67.4196591
0.00340625,65.65451,0.9064712,66.5609812
0.0035,64.84376,0.8942486,65.7380086
0.0035937499999999997,64.06586,0.8825074,64.9483674
0.0036875,63.31872,0.8712168,64.1899368
0.0037812500000000003,62.60039,0.8603488,63.4607388
0.003875,61.90911,0.8498777,62.7589877
0.00396875,61.24326,0.8397798,62.0830398
0.0040625,60.60135,0.8300334,61.4313834
0.00425,59.384,0.8115173,60.1955173
0.0044375,58.24733,0.7941876,59.0415176
0.004625,57.18301,0.7779226,57.9609326
0.0048125,56.18387,0.7626177,56.9464877
0.005,55.24368,0.7481821,55.9918621
0.00515625,54.50129,0.7367588,55.2380488
0.0053124999999999995,53.79327,0.7258432,54.5191132
0.00546875,53.11713,0.7153989,53.8325289
0.005625,52.47062,0.7053928,53.1760128
0.00578125,51.8517,0.6957952,52.5474952
0.0059375,51.25852,0.6865789,51.9450989
0.00609375,50.68941,0.6777195,51.3671295
0.0062499999999999995,50.14283,0.6691944,50.8120244
0.00640625,49.61738,0.6609831,50.2783631
0.0065625,49.11179,0.6530668,49.7648568
0.00671875,48.62487,0.6454284,49.2702984
0.006875,48.15554,0.6380518,48.7935918
0.0071874999999999994,47.26577,0.624027,47.889797
0.0075,46.43538,0.6108881,47.0462681
0.0078125,45.65828,0.5985456,46.2568256
0.008125,44.92922,0.5869223,45.5161423
