"X","Y","Z","Polarity"
"10.0","36.14072433264446","-91.37070529738409","1"
"10.0","-74.77879588526368","68.78080707507955","1"
"10.0","-23.01959082368245","94.406568922992","1"
"9.999999999999998","68.50243154550736","91.23168461716975","1"
"10.0","-67.57053151098033","35.286005618741456","1"
"10.0","6.47762648056481","-5.234913167860585","1"
"10.0","-15.072226157197917","-63.06020628893636","1"
"210.0","-96.66742911629889","-99.53045211747512","1"
"10.0","-42.04838747713808","-34.43192481056593","1"
"209.86562854947343","41.523545147400654","100.0","1"
"10.0","23.14387323940292","-89.01992445162749","1"
"68.14881501915735","73.43726874605588","-100.0","1"
"78.64580174284805","74.56382687842608","100.0","1"
"109.62931823661354","100.0","-66.57937095199478","1"
"10.0","-10.834198155285812","65.34553307346962","1"
"84.4357888319423","-100.0","67.87072313614017","1"
"10.0","-94.57145633529753","-71.67487309647753","1"
"10.0","47.446319960427545","-97.49872013658084","1"
"210.0","-99.50509314738318","6.375714355092832","1"
"209.99999999999997","-14.263538219710096","55.01348876753599","1"
"10.0","64.0664440453774","0.12874515102229722","1"
"10.0","-35.13907230941031","27.342665401676886","1"
"209.40620242547402","-30.11017081984189","100.0","1"
"10.0","-31.12232659090344","94.91726234840074","1"
"10.0","-71.08608986892187","49.05692322660308","1"
"10.0","47.63126097703124","42.334817983866934","1"
"10.520671466406732","99.99999999999999","-42.8128807525474","1"
"10.0","-12.321675760232104","-54.60802637289968","1"
"10.0","-82.6477283413355","-14.204199751962435","1"
"10.0","99.92019154119286","-76.38201104705497","1"
"10.0","-79.52652917709607","-36.268638598163164","1"
"10.0","45.68286983047578","32.93420895661848","1"
"10.0","69.0011646420146","-45.924238020936066","1"
"10.0","-68.81578717004184","-27.474754627856694","1"
"10.0","-74.43108293710789","-14.655845755012436","1"
"10.0","36.305384458731304","-82.90597767902173","1"
"10.0","99.2166628443483","-87.35907785705054","1"
"10.0","-46.77305650952766","-15.833282577115492","1"
"10.000000000000002","95.88290748334526","73.03937602360824","1"
"10.0","-44.491813261285685","16.79987935559396","1"
"10.0","-84.91698796795978","51.04769835020565","1"
"10.0","-42.12276773495604","44.23992482058203","1"
"119.92357643923106","-47.129485488462784","100.00000000000001","1"
"40.15402172080277","-100.0","99.79896861227766","1"
"112.21683336774308","-98.64289217344901","100.0","1"
"10.0","17.678186489126446","12.597859672687889","1"
"50.48319952137613","-32.33353622929164","-100.0","1"
"10.0","58.640398994196644","-68.82998308434875","1"
"10.0","12.97814976753007","-96.20016614747938","1"
"10.0","-51.23810435321062","-23.532411171785462","1"
"83.99431190330994","99.99999999999999","23.67115570397951","1"
"20.413277263379445","100.0","80.97809707513562","1"
