"Line","X","Y","Z"
"1","-0.07900000000000001","0.0","-0.06793252725173733"
"1","-0.07800000000000001","0.0","-0.06767629739101515"
"1","-0.07700000000000001","0.0","-0.0674222580377276"
"1","-0.07600000000000001","0.0","-0.06715290022767567"
"1","-0.07500000000000001","0.0","-0.0668630701436032"
"1","-0.07400000000000001","0.0","-0.066563199469326"
"1","-0.07300000000000001","0.0","-0.06626413288226658"
"1","-0.07200000000000001","0.0","-0.06597177260954637"
"1","-0.07100000000000001","0.0","-0.06568860858894532"
"1","-0.07","0.0","-0.06541559666127472"
"1","-0.069","0.0","-0.0651530954183574"
"1","-0.068","0.0","-0.064901231184601"
"1","-0.067","0.0","-0.064660029716549"
"1","-0.066","0.0","-0.0644294651867161"
"1","-0.065","0.0","-0.06420948089736418"
"1","-0.064","0.0","-0.064"
"1","-0.063","0.0","-0.06379051910263582"
"1","-0.062","0.0","-0.063591453157305"
"1","-0.061","0.0","-0.06340270116570475"
"1","-0.06","0.0","-0.06322415759074747"
"1","-0.059","0.0","-0.06305571564807078"
"1","-0.057999999999999996","0.0","-0.06289727003464934"
"1","-0.056999999999999995","0.0","-0.06274871919962235"
"1","-0.055999999999999994","0.0","-0.06260996724374904"
"1","-0.05499999999999999","0.0","-0.06248092552307732"
"1","-0.05399999999999999","0.0","-0.06236151402150071"
"1","-0.05299999999999999","0.0","-0.06225166254488098"
"1","-0.05199999999999999","0.0","-0.062151311777157846"
"1","-0.05099999999999999","0.0","-0.062060414227248485"
"1","-0.04999999999999999","0.0","-0.06197893508509695"
"1","-0.04899999999999999","0.0","-0.061906852996179526"
"1","-0.04799999999999999","0.0","-0.06184416075612594"
"1","-0.046999999999999986","0.0","-0.06179086592080652"
"1","-0.045999999999999985","0.0","-0.06174699132215342"
"1","-0.044999999999999984","0.0","-0.061712575475995755"
"1","-0.043999999999999984","0.0","-0.06168767286512719"
"1","-0.04299999999999998","0.0","-0.061672354078487424"
"1","-0.04199999999999998","0.0","-0.0616667057854936"
"1","-0.04099999999999998","0.0","-0.06167083052297002"
"1","-0.03999999999999998","0.0","-0.061684846270592696"
"1","-0.03899999999999998","0.0","-0.06170888578915732"
"1","-0.03799999999999998","0.0","-0.061743095694247685"
"1","-0.03699999999999998","0.0","-0.06178763523606624"
"1","-0.035999999999999976","0.0","-0.06184267475438914"
"1","-0.034999999999999976","0.0","-0.061908393775955"
"1","-0.033999999999999975","0.0","-0.06198497872021846"
"1","-0.032999999999999974","0.0","-0.0620726201783979"
"1","-0.03199999999999997","0.0","-0.062171509730183906"
"1","-0.030999999999999972","0.0","-0.06228183626235357"
"1","-0.02999999999999997","0.0","-0.06240378175377445"
"1","-0.02899999999999997","0.0","-0.0625375164916611"
"1","-0.02799999999999997","0.0","-0.06268319368404514"
"1","-0.02699999999999997","0.0","-0.06284094343252225"
"1","-0.025999999999999968","0.0","-0.0630108660263622"
"1","-0.024999999999999967","0.0","-0.06319302451249438"
"1","-0.023999999999999966","0.0","-0.06338743648375524"
"1","-0.022999999999999965","0.0","-0.06359406500778196"
"1","-0.021999999999999964","0.0","-0.06381280858857839"
"1","-0.020999999999999963","0.0","-0.06404349000983967"
"1","-0.019999999999999962","0.0","-0.06428584385234282"
"1","-0.01899999999999996","0.0","-0.06453950240793697"
"1","-0.01799999999999996","0.0","-0.06480397963455745"
"1","-0.01699999999999996","0.0","-0.06507865272120864"
"1","-0.01599999999999996","0.0","-0.06536274077972451"
"1","-0.014999999999999958","0.0","-0.06565528018628938"
"1","-0.013999999999999957","0.0","-0.06595509621453992"
"1","-0.012999999999999956","0.0","-0.06626077091151164"
"1","-0.011999999999999955","0.0","-0.06657060776831597"
"1","-0.010999999999999954","0.0","-0.06688259473788467"
"1","-0.009999999999999953","0.0","-0.06719436862684978"
"1","-0.008999999999999952","0.0","-0.06750318579045188"
"1","-0.007999999999999952","0.0","-0.06780590607441103"
"1","-0.006999999999999952","0.0","-0.06809899829547124"
"1","-0.0059999999999999516","0.0","-0.06837857472150446"
"1","-0.0049999999999999515","0.0","-0.06864045622847091"
"1","-0.0039999999999999515","0.0","-0.0688802532906217"
"1","-0.0029999999999999515","0.0","-0.0690934060395293"
"1","-0.0019999999999999515","0.0","-0.06927501567187028"
"1","-9.999999999999514E-4","0.0","-0.06941890206144613"
"1","4.85722573273506E-17","0.0","-0.06951453542482118"
"1","0.0010000000000000486","0.0","-0.07051093626268294"
"1","0.0020000000000000486","0.0","-0.0705973540287882"
"1","0.0030000000000000486","0.0","-0.07073631713432936"
"1","0.004000000000000049","0.0","-0.07091502889961356"
"1","0.005000000000000049","0.0","-0.07112825962137152"
"1","0.006000000000000049","0.0","-0.07137429645433044"
"1","0.007000000000000049","0.0","-0.07165161199800722"
"1","0.008000000000000049","0.0","-0.07195806528269907"
"1","0.00900000000000005","0.0","-0.07229081378031602"
"1","0.01000000000000005","0.0","-0.0726463475945021"
"1","0.011000000000000051","0.0","-0.07302052471577773"
"1","0.012000000000000052","0.0","-0.07340863703796766"
"1","0.013000000000000053","0.0","-0.07380556249681798"
"1","0.014000000000000054","0.0","-0.0742060300832251"
"1","0.015000000000000055","0.0","-0.07460496893021232"
"1","0.016000000000000056","0.0","-0.07499785981361844"
"1","0.017000000000000057","0.0","-0.07538099183898188"
"1","0.018000000000000058","0.0","-0.07575156161463241"
"1","0.01900000000000006","0.0","-0.07610761385726526"
"1","0.02000000000000006","0.0","-0.07644787754691532"
"1","0.02100000000000006","0.0","-0.07677158429539895"
"1","0.02200000000000006","0.0","-0.07707835949719875"
"1","0.023000000000000062","0.0","-0.07736822354232017"
"1","0.024000000000000063","0.0","-0.07764159080929177"
"1","0.025000000000000064","0.0","-0.07789906719317169"
"1","0.026000000000000065","0.0","-0.0781411410954636"
"1","0.027000000000000066","0.0","-0.07836811981436907"
