"Line","X","Y","Z"
"1","-0.05370627476653815","-0.05309708269829542","0.0"
"1","-0.05442674174153102","-0.05379057194691044","0.0"
"1","-0.05370608444233196","-0.05309728048070657","0.0"
"1","-0.05442683598605172","-0.053790473969009496","0.0"
"1","-0.05370509627147148","-0.05309830940447471","0.0"
"1","-0.054427324865776616","-0.05378996383955629","0.0"
"1","-0.053699990002796856","-0.05310368110110645","0.0"
"1","-0.05442983904904136","-0.05378728944635685","0.0"
"1","-0.05367414429662667","-0.05313236544987108","0.0"
"1","-0.05444221906229869","-0.05377272562534881","0.0"
"1","-0.05351046885214769","-0.05340962571363913","0.0"
"1","-0.05448725187943824","-0.05362385670485449","0.0"
"1","-0.05485468492620375","-0.05455390667993358","0.0"
"1","-0.05584683582854414","-0.054428860340582294","0.0"
"1","-0.05614220017482728","-0.055384245029042774","0.0"
"1","-0.05640945912576897","-0.05634786977610023","0.0"
"1","-0.05697351147073031","-0.05717360881002293","0.0"
"1","-0.057625046719134154","-0.057932227172631794","0.0"
"1","-0.058309437328329224","-0.058661342728662254","0.0"
"1","-0.059009279395299666","-0.059375640342614965","0.0"
"1","-0.05971726393956499","-0.06008186826976131","0.0"
"1","-0.060429790908126106","-0.06078351299401505","0.0"
"1","-0.06114491843672245","-0.061482506998169366","0.0"
"1","-0.06186153732829801","-0.0621799719537313","0.0"
"1","-0.06257898779001111","-0.06287658148208104","0.0"
"1","-0.0632968649877888","-0.06357275123789556","0.0"
"1","-0.06401491444196139","-0.06426874332216265","0.0"
"1","-0.0647329732992874","-0.0649647257051406","0.0"
"1","-0.06545093620631337","-0.06566080706829783","0.0"
"1","-0.0661687348714283","-0.06635705779638307","0.0"
"1","-0.06688632547844853","-0.06705352295754789","0.0"
"1","-0.06760368072637614","-0.06775023053485038","0.0"
"1","-0.06832078466428959","-0.06844719677666487","0.0"
"1","-0.06903762925660688","-0.06914442975814629","0.0"
"1","-0.06975421204551042","-0.06984193180591906","0.0"
"1","-0.07047053452568104","-0.07053970118358065","0.0"
"1","-0.07118660099234278","-0.07123773328550904","0.0"
"1","-0.07190241771095893","-0.0719360214963143","0.0"
"1","-0.07261799231024237","-0.07263455781810461","0.0"
"1","-0.07333333333333333","-0.07333333333333333","0.0"
"1","-0.0740486743564243","-0.07403210884856205","0.0"
"1","-0.07476379309825638","-0.07473111184217546","0.0"
"1","-0.07547869889840261","-0.0754303326205547","0.0"
"1","-0.07619340123855696","-0.07612976136244189","0.0"
"1","-0.07690790960115254","-0.07682938826285451","0.0"
"1","-0.0776222333635075","-0.0775292036403185","0.0"
"1","-0.07833638171924527","-0.07822919801600807","0.0"
"1","-0.07905036362080133","-0.07892936217122483","0.0"
"1","-0.07976418773830664","-0.07962968718810468","0.0"
"2","-0.0638054198909532","-0.04203966332315712","0.0"
"2","-0.06472840484782243","-0.04165482729392763","0.0"
"2","-0.06380541989094976","-0.042039663323148874","0.0"
"2","-0.06472840484782456","-0.041654827293932765","0.0"
"2","-0.06380541989095978","-0.04203966332317292","0.0"
"2","-0.06472840484781829","-0.04165482729391773","0.0"
"2","-0.0638054198909304","-0.04203966332310245","0.0"
"2","-0.06472840484783668","-0.041654827293961846","0.0"
"2","-0.06380541989101657","-0.04203966332330913","0.0"
"2","-0.06472840484778271","-0.04165482729383242","0.0"
"2","-0.06380541989076373","-0.04203966332270273","0.0"
"2","-0.06472840484794103","-0.04165482729421214","0.0"
"2","-0.06380541989150552","-0.042039663324481856","0.0"
"2","-0.06472840484747654","-0.0416548272930981","0.0"
"2","-0.06380541988932913","-0.04203966331926201","0.0"
"2","-0.06472840484883934","-0.04165482729636661","0.0"
"2","-0.06380541989571456","-0.04203966333457672","0.0"
"2","-0.06472840484484099","-0.04165482728677705","0.0"
"2","-0.06380541987698024","-0.04203966328964462","0.0"
"2","-0.06472840485657176","-0.041654827314911956","0.0"
"2","-0.06380541993194498","-0.04203966342147122","0.0"
"2","-0.06472840482215476","-0.04165482723236676","0.0"
"2","-0.0638054197706834","-0.0420396630347038","0.0"
"2","-0.06472840492313102","-0.041654827474546956","0.0"
"2","-0.06380542024380864","-0.04203966416943995","0.0"
"2","-0.06472840462687544","-0.04165482676401423","0.0"
"2","-0.06380541885569006","-0.04203966084019426","0.0"
"2","-0.06472840549605782","-0.04165482884866726","0.0"
"2","-0.06380542292819592","-0.042039670607606","0.0"
"2","-0.06472840294591897","-0.04165482273261646","0.0"
"2","-0.06380541097891745","-0.04203964194841872","0.0"
"2","-0.06472841042747068","-0.04165484067766921","0.0"
"2","-0.06380544602909348","-0.042039726010370024","0.0"
"2","-0.06472838847451236","-0.04165478803816643","0.0"
"2","-0.0638053431268873","-0.042039479195106304","0.0"
"2","-0.0647284528586324","-0.041654942560755914","0.0"
"2","-0.0638056444479603","-0.042040201742596976","0.0"
"2","-0.06472826375604705","-0.04165448991707757","0.0"
"2","-0.06380475530328086","-0.04203806798953403","0.0"
"2","-0.06472881680213813","-0.04165582415854434","0.0"
"2","-0.06380732165294319","-0.0420442140271174","0.0"
"2","-0.06472717890511506","-0.04165196074717343","0.0"
"2","-0.06379938180754906","-0.04202504591941711","0.0"
"2","-0.06473185593204216","-0.04166380914505599","0.0"
"2","-0.06373815247059841","-0.04177585123855091","0.0"
"2","-0.06473812035023105","-0.04178386620598694","0.0"
"2","-0.06376202419893248","-0.04156652706220441","0.0"
"2","-0.0647164718186645","-0.041864905582188514","0.0"
"2","-0.06379269420373772","-0.042247834972755735","0.0"
"2","-0.06448913966244377","-0.0415302252438308","0.0"
"2","-0.06506118315871359","-0.04235044852951306","0.0"
"2","-0.06585091687658486","-0.04173699873135738","0.0"
"2","-0.06679697492546559","-0.04206099590441293","0.0"
"2","-0.06759753165867446","-0.04266025287509741","0.0"
"2","-0.06838491110532631","-0.043276721533660224","0.0"
"2","-0.06918512059157456","-0.04387644211703078","0.0"
"2","-0.06999927335649846","-0.04445709285143724","0.0"
"2","-0.07082395254141642","-0.045022693631107","0.0"
"2","-0.07165592824838173","-0.045577505692096655","0.0"
"2","-0.07249289681581403","-0.04612475665566851","0.0"
"2","-0.07333333333333333","-0.04666666666666666","0.0"
"2","-0.07417376985085264","-0.047208576677664815","0.0"
"2","-0.07501666263414865","-0.04774665822898162","0.0"
"2","-0.07586135618765338","-0.048281908451464094","0.0"
"2","-0.07670740859390066","-0.04881500818498794","0.0"
"2","-0.07755451260366394","-0.049346435317004146","0.0"
"2","-0.07840244716452639","-0.049876536232391966","0.0"
"2","-0.07925104766784667","-0.050405570433332283","0.0"
"3","-0.0731190534517308","-0.019707967149382884","0.0"
"3","-0.07409495424410202","-0.01992618182223788","0.0"
"3","-0.07311908392461862","-0.019707830913031264","0.0"
"3","-0.07409492897070262","-0.019926294745354418","0.0"
"3","-0.07311912693521891","-0.019707638879789734","0.0"
"3","-0.07409489329062433","-0.019926453915056576","0.0"
"3","-0.07311918766830013","-0.019707368227333814","0.0"
"3","-0.07409484289226992","-0.019926678245209117","0.0"
"3","-0.07311927347847787","-0.01970698682782228","0.0"
"3","-0.07409477165174518","-0.019926994359402747","0.0"
"3","-0.07311939482337794","-0.019706449482599222","0.0"
"3","-0.07409467084591438","-0.01992743970832312","0.0"
"3","-0.07311956662208788","-0.019705692661723374","0.0"
"3","-0.07409452799982391","-0.01992806692265086","0.0"
"3","-0.0731198102547906","-0.019704627182413895","0.0"
"3","-0.07409432517689447","-0.019928949866502843","0.0"
"3","-0.0731201565478307","-0.01970312807360405","0.0"
"3","-0.07409403640194274","-0.019930192006791816","0.0"
"3","-0.07312065030673423","-0.01970102065244156","0.0"
"3","-0.07409362370339159","-0.019931937887391758","0.0"
"3","-0.07312135733809452","-0.019698061606183037","0.0"
"3","-0.0740930309047683","-0.01993438866732386","0.0"
"3","-0.07312237556604353","-0.019693913692731685","0.0"
