"Line","X","Y","Z"
"1","-0.06950960749556583","0.0","-0.06688662951054916"
"1","-0.06859188888638185","0.0","-0.0664893984010456"
"1","-0.06768632849526392","0.0","-0.06606518102983322"
"1","-0.06679205171915185","0.0","-0.06561766673094814"
"1","-0.06590804340411144","0.0","-0.06515019555650056"
"1","-0.06503325535600936","0.0","-0.06466568975581521"
"1","-0.06416666666666668","0.0","-0.06416666666666668"
"1","-0.063300077977324","0.0","-0.06366764357751814"
"1","-0.06244099789352017","0.0","-0.06315580238182204"
"1","-0.061588481200379006","0.0","-0.06263310238381588"
"1","-0.060741664172522566","0.0","-0.06210121807183404"
"1","-0.05989976366203333","0.0","-0.06156158529814625"
"1","-0.05906207276811236","0.0","-0.061015440659573386"
"1","-0.058227955013340826","0.0","-0.06046385424642047"
"1","-0.05739683808742676","0.0","-0.05990775654326108"
"1","-0.05656820771141102","0.0","-0.059347960419708926"
"1","-0.05574160188738489","0.0","-0.058785179101889934"
"1","-0.05491660564180739","0.0","-0.0582200408933223"
"1","-0.054092846288704706","0.0","-0.05765310127733499"
"1","-0.053269989198757306","0.0","-0.05708485290776118"
"1","-0.05244773404204816","0.0","-0.05651573388922005"
"1","-0.0516258114652217","0.0","-0.055946134663708846"
"1","-0.0508039801622202","0.0","-0.05537640375406215"
"1","-0.04998202429868908","0.0","-0.05480685256373172"
"1","-0.04915975125215699","0.0","-0.05423775939302341"
"1","-0.048336989632545464","0.0","-0.05366937280161382"
"1","-0.04751358755015735","0.0","-0.05310191442365212"
"1","-0.04668941110090474","0.0","-0.0525355813233504"
"1","-0.04586434304110289","0.0","-0.05197054796442829"
"1","-0.04503828162663983","0.0","-0.051406967855184456"
"1","-0.04421113959370283","0.0","-0.0508449749216445"
"1","-0.043382843260478234","0.0","-0.05028468465368807"
"1","-0.042553331731321004","0.0","-0.04972619506292094"
"1","-0.04172255618679701","0.0","-0.04916958748605834"
"1","-0.040890479244723034","0.0","-0.04861492726351771"
"1","-0.04005707437885828","0.0","-0.04806226431962428"
"1","-0.039222325383230325","0.0","-0.04751163366819075"
"1","-0.0383862258712053","0.0","-0.04696305586514773"
"1","-0.037548778799332945","0.0","-0.04641653742830189"
"1","-0.03670999600670931","0.0","-0.045872071243127366"
"1","-0.03586989776109896","0.0","-0.045329636972710745"
"1","-0.03502851230333825","0.0","-0.0447892014895411"
"1","-0.03418587538159265","0.0","-0.04425071934674423"
"1","-0.03334202976685217","0.0","-0.04371413330659479"
"1","-0.03249702474060419","0.0","-0.0431793749447007"
"1","-0.0316509155449039","0.0","-0.04264636534914785"
"1","-0.030803762784045792","0.0","-0.04211501593513624"
"1","-0.029955631765700923","0.0","-0.04158522939725396"
"1","-0.029106591767694673","0.0","-0.04105690082355616"
"1","-0.02825671521452846","0.0","-0.04052991899808367"
"1","-0.02740607674526486","0.0","-0.040004167921423923"
"1","-0.02655475215146718","0.0","-0.039479528582453606"
"1","-0.025702817160481433","0.0","-0.03895588101859589"
"1","-0.024850346035443976","0.0","-0.0384331067068921"
"1","-0.023997409958968607","0.0","-0.03791109133408513"
"1","-0.02314407516249533","0.0","-0.03738972800095946"
"1","-0.022290400757755926","0.0","-0.03686892092468953"
"1","-0.021436436220716025","0.0","-0.03634858971336522"
"1","-0.02058221847166539","0.0","-0.03582867429985369"
"1","-0.019727768487790145","0.0","-0.035309140638715555"
"1","-0.01887308737643612","0.0","-0.034789987291529344"
"1","-0.01801815182806829","0.0","-0.034271253055010296"
"1","-0.017162908857059553","0.0","-0.03375302582633532"
"1","-0.016307269724792076","0.0","-0.033235452956748276"
"1","-0.01545110292111004","0.0","-0.032718753426776666"
"1","-0.014594226053358365","0.0","-0.032203232298681925"
"1","-0.013736396450846768","0.0","-0.031689298087858406"
"1","-0.012877300225676472","0.0","-0.031177483984986914"
"1","-0.012016539419099147","0.0","-0.030668474325097877"
"1","-0.011153616671059728","0.0","-0.03016313846557859"
"1","-0.010287916515779556","0.0","-0.02966257554131443"
"1","-0.009418681812904492","0.0","-0.02916817587371978"
"1","-0.008544982768650561","0.0","-0.028681709040246247"
"1","-0.0076656741535219165","0.0","-0.028205456628850205"
"1","-0.006779333256548088","0.0","-0.027742423353208347"
"1","-0.0058841667787427636","0.0","-0.027296691396743913"
"1","-0.004977872027476941","0.0","-0.026874045180828022"
"1","-0.004057452829828681","0.0","-0.02648311232137447"
"1","-0.003119098742869979","0.0","-0.02613743674010223"
"1","-0.0021587273474754825","0.0","-0.025858713251841862"
"1","-0.0011752504993809904","0.0","-0.025677679306787007"
"1","-1.797825617839055E-4","0.0","-0.025582581540166512"
"1","-0.0011761156975877995","0.0","-0.025497022890696226"
"1","-1.7872725364893242E-4","0.0","-0.025424798989547054"
"1","-0.0011761078852215788","0.0","-0.02549713069603701"
"1","-1.7872066441984948E-4","0.0","-0.025424889905749235"
"1","-0.0011761052582814735","0.0","-0.0254971669555471"
"1","-1.7871844895185444E-4","0.0","-0.025424920484524063"
"1","-0.0011761043755412304","0.0","-0.02549717914103975"
"1","-1.787177045012552E-4","0.0","-0.025424930760907072"
"1","-0.0011761040789762319","0.0","-0.025497183234993857"
"1","-1.7871745439837147E-4","0.0","-0.025424934213455968"
"1","-0.001176103979349778","0.0","-0.02549718461030856"
"1","-1.787173703804211E-4","0.0","-0.025424935373298006"
"1","-0.0011761039458826354","0.0","-0.025497185072314445"
"1","-1.7871734215661522E-4","0.0","-0.02542493576292069"
"1","-0.0011761039346402376","0.0","-0.02549718522751323"
"1","-1.7871733267558055E-4","0.0","-0.025424935893804228"
"1","-0.0011761039308636628","0.0","-0.02549718527964802"
"1","-1.7871732949068767E-4","0.0","-0.025424935937770975"
"1","-0.0011761039295950272","0.0","-0.025497185297161256"
"1","-1.7871732842081127E-4","0.0","-0.025424935952540383"
"1","-0.0011761039291688646","0.0","-0.025497185303044338"
"1","-1.7871732806141604E-4","0.0","-0.025424935957501754"
"1","-0.0011761039290257072","0.0","-0.025497185305020594"
"1","-1.7871732794068774E-4","0.0","-0.025424935959168386"
"1","-0.0011761039289776177","0.0","-0.025497185305684462"
"1","-1.787173279001323E-4","0.0","-0.025424935959728247"
"1","-0.0011761039289614633","0.0","-0.025497185305907468"
"1","-1.7871732788650885E-4","0.0","-0.025424935959916312"
"1","-0.0011761039289560368","0.0","-0.02549718530598238"
"1","-1.7871732788193265E-4","0.0","-0.025424935959979487"
"1","-0.001176103928954214","0.0","-0.02549718530600754"
"1","-1.7871732788039526E-4","0.0","-0.025424935960000707"
"1","-0.0011761039289536013","0.0","-0.025497185306016"
"1","-1.7871732787987852E-4","0.0","-0.02542493596000784"
"1","-0.0011761039289533955","0.0","-0.02549718530601884"
"1","-1.7871732787970484E-4","0.0","-0.025424935960010237"
"1","-0.0011761039289533263","0.0","-0.025497185306019795"
"1","-1.7871732787964672E-4","0.0","-0.025424935960011042"
"1","-0.0011761039289533031","0.0","-0.025497185306020114"
"1","-1.787173278796272E-4","0.0","-0.02542493596001131"
"1","-0.0011761039289532955","0.0","-0.02549718530602022"
"1","-1.787173278796207E-4","0.0","-0.0254249359600114"
"1","-0.001176103928953293","0.0","-0.025497185306020256"
"1","-1.7871732787961875E-4","0.0","-0.02542493596001143"
"1","-0.001176103928953292","0.0","-0.02549718530602027"
"1","-1.7871732787961788E-4","0.0","-0.02542493596001144"
"1","-0.0011761039289532919","0.0","-0.025497185306020274"
"1","-1.7871732787961767E-4","0.0","-0.025424935960011445"
"2","-0.06906989492215194","0.0","-0.04180531179883391"
"2","-0.06808298222370632","0.0","-0.04164405633180486"
"2","-0.06709906164459413","0.0","-0.04146544979777114"
"2","-0.06611829401340198","0.0","-0.04127027076814517"
"2","-0.06514080085864528","0.0","-0.041059303632306914"
"2","-0.06416666666666668","0.0","-0.040833333333333346"
"2","-0.06319253247468808","0.0","-0.04060736303435978"
"2","-0.06222184532338419","0.0","-0.04036701650475398"
"2","-0.06125462945861361","0.0","-0.04011306085717729"
"2","-0.06029088190558512","0.0","-0.039846245089218205"
"2","-0.0593305763184739","0.0","-0.03956729495144627"
"2","-0.058373666732498435","0.0","-0.0392769089251498"
"2","-0.05742009113715457","0.0","-0.03897575517045863"
"2","-0.05646977482037735","0.0","-0.038664469292097624"
"2","-0.05552263345517186","0.0","-0.03834365278018359"
"2","-0.05457857591604426","0.0","-0.038013872000245856"
"2","-0.05363750682416066","0.0","-0.03767565762399704"
"2","-0.05269932882860088","0.0","-0.037329504408429956"
"2","-0.05176394463703148","0.0","-0.036975871245163175"
"2","-0.050831258813099106","0.0","-0.03661518141465005"
"2","-0.049901179360248904","0.0","-0.0362478229910555"
"2","-0.048973619112850246","0.0","-0.035874149353444094"
"2","-0.048048496955757886","0.0","-0.03549447976754501"
"2","-0.04712573889299835","0.0","-0.035109100009887366"
"2","-0.04620527898534883","0.0","-0.03471826301264959"
"2","-0.04528706017532625","0.0","-0.03432218951325747"
"2","-0.04437103501664349","0.0","-0.03392106869771654"
"2","-0.04345716632359945","0.0","-0.03351505883099655"
"2","-0.042545427754198485","0.0","-0.03310428787162055"
"2","-0.04163580433906432","0.0","-0.03268885407107026"
"2","-0.04072829296642141","0.0","-0.0322688265618238"
"2","-0.039822902831535854","0.0","-0.03184424594091427"
"2","-0.03891965585699133","0.0","-0.03141512485896168"
"2","-0.038018587087950764","0.0","-0.030981448627817154"
"2","-0.03711974506402579","0.0","-0.030543175863403882"
"2","-0.036223192166415556","0.0","-0.03010023918419714"
"2","-0.03532900493542255","0.0","-0.029652545990224908"
"2","-0.034437274349096963","0.0","-0.029199979352688043"
"2","-0.03354810604833949","0.0","-0.028742399050524503"
"2","-0.03266162048696934","0.0","-0.028279642797749627"
"2","-0.03177795297661413","0.0","-0.027811527714524765"
"2","-0.030897253585262636","0.0","-0.027337852106040315"
"2","-0.030019686834258992","0.0","-0.026858397626936294"
"2","-0.02914543112055416","0.0","-0.026372931925723063"
"2","-0.028274677768103423","0.0","-0.02588121188424031"
"2","-0.027407629583098","0.0","-0.025382987592501335"
"2","-0.02654449875066411","0.0","-0.024878007230405955"
"2","-0.025685503863894777","0.0","-0.02436602306609602"
"2","-0.024830865817505425","0.0","-0.02384679882777139"
"2","-0.02398080222583468","0.0","-0.023320118763485834"
"2","-0.023135519936371512","0.0","-0.022785798774041396"
