"Line","X","Y","Z"
"1","-0.76","0.0","-0.76"
"1","-0.66","0.0","-0.7194885743613583"
"1","-0.56","0.0","-0.6960044290091412"
"1","-0.4600000000000001","0.0","-0.6835307216275636"
"1","-0.3600000000000001","0.0","-0.6817169511808724"
"1","-0.2600000000000001","0.0","-0.6912514143929726"
"1","-0.16000000000000011","0.0","-0.7137414896498435"
"2","-0.76","0.0","-0.6000000000000001"
"3","-0.76","0.0","-0.44000000000000017"
"4","-0.76","0.0","-0.28000000000000014"
"5","-0.76","0.0","-0.12000000000000008"
"6","-0.76","0.0","0.03999999999999992"
"7","-0.76","0.0","0.19999999999999993"
"8","-0.76","0.0","0.36"
"9","-0.76","0.0","0.52"
"10","-0.76","0.0","0.6799999999999999"
"11","-0.6800000000000002","0.0","-0.6800000000000002"
"12","-0.6800000000000002","0.0","-0.5200000000000001"
"13","-0.6800000000000002","0.0","-0.3600000000000001"
"14","-0.6800000000000002","0.0","-0.2000000000000001"
"15","-0.6800000000000002","0.0","-0.040000000000000084"
"16","-0.6800000000000002","0.0","0.11999999999999991"
"17","-0.6800000000000002","0.0","0.2799999999999999"
"18","-0.6800000000000002","0.0","0.43999999999999995"
"19","-0.6800000000000002","0.0","0.5999999999999999"
"20","-0.6800000000000002","0.0","0.7599999999999998"
"21","-0.6000000000000001","0.0","-0.76"
"22","-0.6000000000000001","0.0","-0.6000000000000001"
"23","-0.6000000000000001","0.0","-0.44000000000000017"
"24","-0.6000000000000001","0.0","-0.28000000000000014"
"25","-0.6000000000000001","0.0","-0.12000000000000008"
"26","-0.6000000000000001","0.0","0.03999999999999992"
"27","-0.6000000000000001","0.0","0.19999999999999993"
"28","-0.6000000000000001","0.0","0.36"
"29","-0.6000000000000001","0.0","0.52"
"30","-0.6000000000000001","0.0","0.6799999999999999"
"31","-0.5200000000000001","0.0","-0.6800000000000002"
"32","-0.5200000000000001","0.0","-0.5200000000000001"
"33","-0.5200000000000001","0.0","-0.3600000000000001"
"34","-0.5200000000000001","0.0","-0.2000000000000001"
"35","-0.5200000000000001","0.0","-0.040000000000000084"
"36","-0.5200000000000001","0.0","0.11999999999999991"
"37","-0.5200000000000001","0.0","0.2799999999999999"
"38","-0.5200000000000001","0.0","0.43999999999999995"
"39","-0.5200000000000001","0.0","0.5999999999999999"
"40","-0.5200000000000001","0.0","0.7599999999999998"
"41","-0.44000000000000017","0.0","-0.76"
"42","-0.44000000000000017","0.0","-0.6000000000000001"
"43","-0.44000000000000017","0.0","-0.44000000000000017"
"44","-0.44000000000000017","0.0","-0.28000000000000014"
"45","-0.44000000000000017","0.0","-0.12000000000000008"
"46","-0.44000000000000017","0.0","0.03999999999999992"
"47","-0.44000000000000017","0.0","0.19999999999999993"
"48","-0.44000000000000017","0.0","0.36"
"49","-0.44000000000000017","0.0","0.52"
"50","-0.44000000000000017","0.0","0.6799999999999999"
"51","-0.3600000000000001","0.0","-0.6800000000000002"
"52","-0.3600000000000001","0.0","-0.5200000000000001"
"53","-0.3600000000000001","0.0","-0.3600000000000001"
"54","-0.3600000000000001","0.0","-0.2000000000000001"
"55","-0.3600000000000001","0.0","-0.040000000000000084"
"56","-0.3600000000000001","0.0","0.11999999999999991"
"57","-0.3600000000000001","0.0","0.2799999999999999"
"58","-0.3600000000000001","0.0","0.43999999999999995"
"59","-0.3600000000000001","0.0","0.5999999999999999"
"60","-0.3600000000000001","0.0","0.7599999999999998"
"61","-0.28000000000000014","0.0","-0.76"
"62","-0.28000000000000014","0.0","-0.6000000000000001"
"63","-0.28000000000000014","0.0","-0.44000000000000017"
"64","-0.28000000000000014","0.0","-0.28000000000000014"
"65","-0.28000000000000014","0.0","-0.12000000000000008"
"66","-0.28000000000000014","0.0","0.03999999999999992"
"67","-0.28000000000000014","0.0","0.19999999999999993"
"68","-0.28000000000000014","0.0","0.36"
"69","-0.28000000000000014","0.0","0.52"
"70","-0.28000000000000014","0.0","0.6799999999999999"
"71","-0.2000000000000001","0.0","-0.6800000000000002"
"72","-0.2000000000000001","0.0","-0.5200000000000001"
"73","-0.2000000000000001","0.0","-0.3600000000000001"
"74","-0.2000000000000001","0.0","-0.2000000000000001"
"75","-0.2000000000000001","0.0","-0.040000000000000084"
"76","-0.2000000000000001","0.0","0.11999999999999991"
"77","-0.2000000000000001","0.0","0.2799999999999999"
"78","-0.2000000000000001","0.0","0.43999999999999995"
"79","-0.2000000000000001","0.0","0.5999999999999999"
"80","-0.2000000000000001","0.0","0.7599999999999998"
"81","-0.12000000000000008","0.0","-0.76"
"82","-0.12000000000000008","0.0","-0.6000000000000001"
"83","-0.12000000000000008","0.0","-0.44000000000000017"
"84","-0.12000000000000008","0.0","-0.28000000000000014"
"85","-0.12000000000000008","0.0","-0.12000000000000008"
"86","-0.12000000000000008","0.0","0.03999999999999992"
"87","-0.12000000000000008","0.0","0.19999999999999993"
"88","-0.12000000000000008","0.0","0.36"
"89","-0.12000000000000008","0.0","0.52"
"90","-0.12000000000000008","0.0","0.6799999999999999"
"91","-0.040000000000000084","0.0","-0.6800000000000002"
"92","-0.040000000000000084","0.0","-0.5200000000000001"
"93","-0.040000000000000084","0.0","-0.3600000000000001"
"94","-0.040000000000000084","0.0","-0.2000000000000001"
"95","-0.040000000000000084","0.0","-0.040000000000000084"
"96","-0.040000000000000084","0.0","0.11999999999999991"
"97","-0.040000000000000084","0.0","0.2799999999999999"
"98","-0.040000000000000084","0.0","0.43999999999999995"
"99","-0.040000000000000084","0.0","0.5999999999999999"
"100","-0.040000000000000084","0.0","0.7599999999999998"
"101","0.03999999999999992","0.0","-0.76"
"102","0.03999999999999992","0.0","-0.6000000000000001"
"103","0.03999999999999992","0.0","-0.44000000000000017"
"104","0.03999999999999992","0.0","-0.28000000000000014"
"105","0.03999999999999992","0.0","-0.12000000000000008"
"106","0.03999999999999992","0.0","0.03999999999999992"
"107","0.03999999999999992","0.0","0.19999999999999993"
"108","0.03999999999999992","0.0","0.36"
"109","0.03999999999999992","0.0","0.52"
"110","0.03999999999999992","0.0","0.6799999999999999"
"111","0.11999999999999991","0.0","-0.6800000000000002"
"112","0.11999999999999991","0.0","-0.5200000000000001"
"113","0.11999999999999991","0.0","-0.3600000000000001"
"114","0.11999999999999991","0.0","-0.2000000000000001"
"115","0.11999999999999991","0.0","-0.040000000000000084"
"116","0.11999999999999991","0.0","0.11999999999999991"
"117","0.11999999999999991","0.0","0.2799999999999999"
"118","0.11999999999999991","0.0","0.43999999999999995"
"119","0.11999999999999991","0.0","0.5999999999999999"
"120","0.11999999999999991","0.0","0.7599999999999998"
"121","0.19999999999999993","0.0","-0.76"
"122","0.19999999999999993","0.0","-0.6000000000000001"
"123","0.19999999999999993","0.0","-0.44000000000000017"
"124","0.19999999999999993","0.0","-0.28000000000000014"
"125","0.19999999999999993","0.0","-0.12000000000000008"
"126","0.19999999999999993","0.0","0.03999999999999992"
"127","0.19999999999999993","0.0","0.19999999999999993"
"128","0.19999999999999993","0.0","0.36"
"129","0.19999999999999993","0.0","0.52"
"130","0.19999999999999993","0.0","0.6799999999999999"
"131","0.2799999999999999","0.0","-0.6800000000000002"
"132","0.2799999999999999","0.0","-0.5200000000000001"
"133","0.2799999999999999","0.0","-0.3600000000000001"
"134","0.2799999999999999","0.0","-0.2000000000000001"
"135","0.2799999999999999","0.0","-0.040000000000000084"
